name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
main,2936,2777,3393,2819,3166,2814,9495,8410,1.1556539509536785,1.0783378746594006,1.01512423478574,1.0133237306445806
f,2338,55,60,2,724,23,3122,80,0.02566295979469632,0.30966638152266895,0.03636363636363636,0.41818181818181815
in,2689,39,0,0,260,6,2949,45,0.0,0.09669021941242098,0.0,0.15384615384615385
dfs,1243,246,573,182,849,213,2665,641,0.46098149637972646,0.6830249396621078,0.7398373983739838,0.8658536585365854
solve,870,291,80,26,573,210,1523,527,0.09195402298850575,0.6586206896551724,0.08934707903780069,0.7216494845360825
query,690,76,187,41,395,69,1272,186,0.2710144927536232,0.572463768115942,0.5394736842105263,0.9078947368421053
update,486,84,168,34,426,78,1080,196,0.345679012345679,0.8765432098765432,0.40476190476190477,0.9285714285714286
gcd,733,149,47,15,138,47,918,211,0.06412005457025921,0.1882673942701228,0.10067114093959731,0.31543624161073824
sc,880,3,0,0,0,0,880,3,0.0,0.0,0.0,0.0
add,419,82,38,7,311,70,768,159,0.09069212410501193,0.7422434367541766,0.08536585365853659,0.8536585365853658
get,485,63,10,3,202,39,697,105,0.020618556701030927,0.41649484536082476,0.047619047619047616,0.6190476190476191
read,428,90,0,0,196,44,624,134,0.0,0.45794392523364486,0.0,0.4888888888888889
build,324,60,91,23,198,50,613,133,0.2808641975308642,0.6111111111111112,0.38333333333333336,0.8333333333333334
find,163,29,228,33,171,27,562,89,1.3987730061349692,1.049079754601227,1.1379310344827587,0.9310344827586207
check,258,91,17,6,164,63,439,160,0.06589147286821706,0.6356589147286822,0.06593406593406594,0.6923076923076923
o,202,1,0,0,202,1,404,2,0.0,1.0,0.0,1.0
dist,143,34,132,18,104,17,379,69,0.9230769230769231,0.7272727272727273,0.5294117647058824,0.5
calc,218,52,3,1,156,35,377,88,0.013761467889908258,0.7155963302752294,0.019230769230769232,0.6730769230769231
g,190,11,0,0,176,8,366,19,0.0,0.9263157894736842,0.0,0.7272727272727273
r,233,5,0,0,115,3,348,8,0.0,0.49356223175965663,0.0,0.6
gn,282,6,0,0,60,1,342,7,0.0,0.2127659574468085,0.0,0.16666666666666666
upd,297,25,0,0,22,6,319,31,0.0,0.07407407407407407,0.0,0.24
insert,156,23,32,10,118,20,306,53,0.20512820512820512,0.7564102564102564,0.43478260869565216,0.8695652173913043
init,189,74,2,1,103,39,294,114,0.010582010582010581,0.544973544973545,0.013513513513513514,0.527027027027027
push,130,21,51,13,110,19,291,53,0.3923076923076923,0.8461538461538461,0.6190476190476191,0.9047619047619048
bfs,69,31,101,37,115,47,285,115,1.463768115942029,1.6666666666666667,1.1935483870967742,1.5161290322580645
sqr,185,28,0,0,85,9,270,37,0.0,0.4594594594594595,0.0,0.32142857142857145
power,133,37,47,20,86,21,266,78,0.3533834586466165,0.6466165413533834,0.5405405405405406,0.5675675675675675
d,161,2,0,0,100,1,261,3,0.0,0.6211180124223602,0.0,0.5
merge,151,37,0,0,100,28,251,65,0.0,0.6622516556291391,0.0,0.7567567567567568
cross,92,14,60,16,60,12,212,42,0.6521739130434783,0.6521739130434783,1.1428571428571428,0.8571428571428571
mul,113,23,4,1,88,13,205,37,0.035398230088495575,0.7787610619469026,0.043478260869565216,0.5652173913043478
range,182,4,0,0,10,1,192,5,0.0,0.054945054945054944,0.0,0.25
cmp,114,53,10,4,67,30,191,87,0.08771929824561403,0.5877192982456141,0.07547169811320754,0.5660377358490566
modify,105,8,0,0,81,7,186,15,0.0,0.7714285714285715,0.0,0.875
go,134,26,0,0,49,11,183,37,0.0,0.3656716417910448,0.0,0.4230769230769231
dfs2,104,27,3,1,67,19,174,47,0.028846153846153848,0.6442307692307693,0.037037037037037035,0.7037037037037037
R,171,1,0,0,0,0,171,1,0.0,0.0,0.0,0.0
