submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
15926,0.3500,0.7600,0.5000
55246,0.2338,0.3014,0.6000
19768,0.4318,0.5806,0.4419
75920,0.4737,1.0000,0.4737
19821,0.3636,0.5294,0.5250
1,0.2727,0.2969,0.8000
64080,0.3220,0.6279,0.4128
3,0.3871,0.6400,0.4615
108733,0.6250,0.6000,0.6667
112112,0.2111,0.2326,0.5312
101612,0.2600,0.3913,0.5769
47057,0.3037,0.9059,0.3231
69382,0.2333,0.5652,0.3667
43242,0.2061,0.6154,0.2759
45907,0.2807,0.6458,0.3818
55387,0.3118,0.9375,0.3053
133788,0.3571,0.3673,0.6667
75817,0.4348,0.8158,0.4681
129419,0.1809,0.6863,0.2151
118342,0.4444,0.5185,0.6296
147830,0.3333,0.4167,0.4590
96634,0.5938,0.7857,0.5806
156010,0.2250,0.2895,0.6667
185783,0.6250,0.8182,0.7500
161617,0.2561,0.9718,0.2625
112137,0.2344,0.5378,0.4322
118364,0.2564,0.2895,0.7333
118445,0.2113,0.2677,0.5091
192365,0.2476,0.2700,0.4154
192392,0.2059,0.1781,0.4286
200570,0.2245,0.2396,0.8966
200270,0.1367,0.1591,0.5667
148341,0.2308,0.3295,0.3594
192311,0.3167,0.2299,0.3333
210996,0.2532,0.2593,0.8529
112077,0.2500,0.3500,0.3750
211002,0.3378,0.3896,0.5082
218090,0.3788,0.4531,0.7500
224339,0.1811,0.1818,0.5366
143196,0.3529,1.0000,0.3529
224151,0.2326,0.3902,0.2453
200214,0.3023,0.4583,0.4844
178292,0.2979,0.8649,0.3333
239732,0.6333,0.6786,0.9259
244683,0.5500,0.6667,0.6667
178390,0.4286,0.5312,0.5455
258060,0.4571,0.5000,0.3636
249813,0.1892,0.2115,0.6250
258061,0.3939,0.2889,0.3818
272361,0.5000,1.0000,0.5000
297611,0.4444,0.4444,1.0000
200168,0.3929,0.5385,0.3521
297601,0.2581,0.2674,0.6190
303113,0.2593,0.3514,0.4419
224382,0.1680,0.4419,0.2381
307903,0.5357,0.6154,0.6087
285017,0.2326,0.3008,0.3768
258309,0.5000,0.7333,0.6667
244637,0.4364,0.8478,0.4643
224283,0.3478,0.4545,0.4444
307917,0.5909,0.7727,0.6842
307987,0.8500,0.8500,1.0000
308031,0.1869,0.2323,0.6286
315047,0.4146,0.4103,0.5667
303554,0.3077,0.4030,0.4507
308146,0.1867,0.2278,0.6429
293441,0.2614,0.9474,0.2527
249812,0.1748,0.2079,0.6579
308152,0.1913,0.1753,0.2535
337884,0.3333,0.5385,0.3721
293603,0.4054,0.2308,0.2778
344382,0.4000,0.7027,0.4200
344389,0.5161,1.0000,0.5161
297638,0.3382,0.3731,0.6750
327914,0.2102,0.2500,0.4556
344361,0.2958,0.5116,0.3919
307911,0.3061,0.5116,0.3947
307952,0.7368,0.9444,0.7778
354706,0.6000,0.7317,0.5750
308151,0.1860,0.2500,0.4634
354671,0.3095,0.3889,0.5000
368339,0.2721,0.7593,0.3310
398136,0.2115,0.2105,0.5714
303119,0.2177,0.4444,0.3056
398280,0.3729,0.5135,0.3462
337831,0.3636,0.7838,0.4444
327735,0.1481,0.1927,0.5758
354720,0.3788,0.4923,0.4375
414709,0.3488,0.1875,0.2209
444190,0.2353,0.2469,0.2500
414801,0.4444,0.5128,0.6857
376048,0.2500,0.8861,0.2875
430764,0.1474,0.5133,0.2308
363101,0.5417,1.0000,0.5417
444038,0.1118,0.0530,0.4286
424904,0.1749,0.3270,0.3500
392629,0.2530,0.3333,0.4576
456940,0.5238,0.5000,0.4706
451108,0.2328,0.2308,0.3452
440977,0.3636,0.2903,0.3158
465910,0.3833,0.6735,0.5156
392682,0.2667,0.5104,0.3814
385739,0.3617,0.6190,0.4359
479666,0.3165,0.5410,0.4000
484650,0.6538,0.6538,0.8947
441060,0.1630,0.2747,0.2914
444170,0.2436,0.4127,0.3793
457000,0.4464,0.5357,0.3281
458200,0.2805,0.5362,0.4844
458326,0.5600,0.8500,0.5833
516298,0.1217,0.1415,0.5758
518995,0.1980,0.2330,0.5111
458299,0.3200,0.5192,0.4545
441059,0.4688,0.9310,0.5312
568688,0.5263,0.9286,0.5789
516427,0.3171,0.3867,0.6923
465906,0.3958,1.0000,0.3958
484553,0.3086,0.5714,0.3333
489953,0.2444,0.4762,0.3088
504447,0.3276,0.7321,0.4483
568648,0.2405,0.3108,0.6765
474537,0.1818,0.2406,0.4127
532024,0.4706,0.7931,0.4000
518909,0.2535,0.5000,0.4545
568697,0.4468,0.6000,0.6190
588303,0.2083,0.2424,0.5227
549069,0.5926,0.7600,0.7917
588277,0.5946,0.6389,0.8667
588254,0.1970,0.2950,0.3171
548611,0.2063,0.5686,0.2917
518938,0.4688,1.0000,0.4688
594810,0.3864,0.5278,0.4857
627111,0.2952,0.8800,0.3107
555643,0.1792,0.3136,0.3333
562129,0.6429,0.8400,0.7600
648677,0.3636,0.5455,0.6000
595910,0.2289,0.9683,0.2235
619383,0.3659,0.7143,0.3778
626577,0.2700,0.9310,0.2900
