submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
47,0.6400,0.7083,0.7391
126,0.3684,0.3500,0.7857
13097,0.4722,0.6552,0.6452
20121,0.6154,0.8889,0.6923
20647,0.4250,0.2283,0.2564
27941,0.2336,0.2600,0.2908
33376,0.3621,0.2211,0.2976
45936,0.2927,0.2632,0.5769
46428,0.4500,0.5714,0.2812
52537,0.3373,0.5067,0.3400
52900,0.5000,0.6897,0.4242
55553,0.5610,0.6389,0.6750
59962,0.2424,0.4576,0.3913
60092,0.2424,0.9000,0.2769
65738,0.4167,0.2778,0.3103
65995,0.2881,0.5208,0.5000
73002,0.3016,0.3137,0.3710
73585,0.8333,0.8333,1.0000
79294,0.4255,0.5806,0.4000
92079,0.4828,0.5357,0.8182
92163,0.2769,0.3725,0.5000
99074,0.6190,0.5500,0.5714
99111,0.4412,0.2024,0.2911
105411,0.6154,0.6667,0.9000
112768,0.4375,0.3500,0.4783
118431,0.2727,0.3333,0.6250
119336,0.3768,0.4000,0.3238
119337,0.2941,0.3247,0.1781
125226,0.3837,0.2772,0.4259
132357,0.4688,0.5667,0.6774
132798,0.1897,0.4000,0.2909
145319,0.2826,0.4130,0.3846
146515,0.1105,0.2469,0.3061
152784,0.2812,0.3125,0.5517
159033,0.2200,0.3065,0.3750
159238,0.4444,0.5152,0.7500
159240,0.5435,0.3562,0.3580
171693,0.5000,0.4545,0.8421
178275,0.2258,0.2258,0.9048
178344,0.3095,0.5000,0.5000
184937,0.8182,1.0000,0.8182
185133,0.3810,0.4412,0.5455
186540,0.3939,0.4000,0.4167
188429,0.2247,0.3175,0.2578
191418,0.3902,0.2135,0.1932
192136,0.2826,0.0865,0.1243
195257,0.2361,0.3793,0.2976
199687,0.4324,0.8333,0.4211
200165,0.5600,0.6667,0.5833
211035,0.4286,0.5938,0.5250
211368,0.2292,0.6053,0.3488
218888,0.4571,0.5312,0.7857
219465,0.3171,0.3182,0.5610
220199,0.3778,0.3194,0.3167
224899,0.6500,0.6500,0.8947
225018,0.4231,0.5263,0.6364
226689,0.3864,0.3953,0.6047
230355,0.3333,0.9000,0.3636
231061,0.4643,0.9500,0.5000
236602,0.3667,0.5862,0.3235
236606,0.5152,0.4878,0.4773
243459,0.3500,0.4211,0.8571
246537,0.3542,0.3889,0.5556
246741,0.5000,0.3396,0.4167
249795,0.1385,0.5600,0.1408
249798,0.4516,0.6129,0.4242
249868,0.3333,0.5000,0.5294
256380,0.2857,0.3103,0.4839
256381,0.2258,0.6250,0.3214
269813,0.4211,0.7778,0.5500
276001,0.1509,0.4783,0.3148
282647,0.3125,0.5385,0.5455
294959,0.4524,0.3188,0.3421
301434,0.3939,0.3333,0.4737
301649,0.4091,0.5918,0.3962
308359,0.8000,0.7000,0.8889
308363,0.5556,0.7500,0.6923
308383,0.2609,0.3333,0.3889
308388,0.3333,0.5600,0.2963
308698,0.4194,0.3714,0.5294
308959,0.2857,0.3846,0.7000
314332,0.1852,0.1786,0.9524
315229,0.5405,0.8000,0.5250
317693,0.3333,0.7727,0.3095
321012,0.4054,0.4250,0.4773
321399,0.3077,0.4444,0.3778
327651,0.2615,0.3818,0.4800
328005,0.5000,0.4688,0.4722
328576,0.2955,0.2826,0.6571
338632,0.3171,0.4324,0.4324
350668,0.2927,0.3696,0.2542
350859,0.1333,0.2414,0.3103
357134,1.0000,1.0000,1.0000
364523,0.3585,0.3878,0.7021
371210,0.4314,0.3623,0.4762
372104,0.4286,0.2530,0.2471
373818,0.1083,0.1987,0.3902
386756,0.2537,0.3673,0.4364
387527,0.3279,0.3134,0.5606
