submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
31543,0.2408,0.4441,0.3480
15926,0.4992,0.4838,0.6446
19768,0.6828,0.7289,0.9447
3,0.2704,0.7003,0.4398
35393,0.3132,0.3559,0.4841
11776,0.1372,0.2007,0.3101
6,0.1863,0.9912,0.1997
1,0.2506,0.4091,0.4974
35394,0.1939,0.5135,0.2511
16484,0.2824,0.4197,0.3925
11501,0.3232,0.4262,0.3900
11549,0.3816,0.7455,0.4879
16001,0.1587,0.6721,0.3175
35453,0.2460,0.3498,0.4745
87,0.4515,0.4790,0.5031
19821,0.0440,0.0724,0.2502
55246,0.3124,0.4806,0.4585
11553,0.4112,0.6212,0.5581
19829,0.3710,0.6027,0.3577
20122,0.2892,0.5758,0.4501
45970,0.0754,0.3831,0.0954
17873,0.5249,0.9843,0.5042
31504,0.2434,0.8090,0.3160
16181,0.2433,0.2693,0.8954
43241,0.3711,0.4897,0.5097
43242,0.4044,0.9454,0.4267
43205,0.4432,0.6278,0.3675
55503,0.1784,0.9867,0.1616
55393,0.1898,0.3271,0.1928
31790,0.1722,0.6654,0.1173
47057,0.5511,0.9160,0.5887
45907,0.4628,0.7435,0.3729
75920,0.7175,1.0000,0.7175
55271,0.1077,0.9461,0.1380
64065,0.3504,0.4109,0.2492
55387,0.3058,0.2341,0.4481
69382,0.2078,0.4264,0.3964
56371,0.3081,0.6732,0.3649
69337,0.5736,0.6622,0.7426
64088,0.1292,0.6059,0.1946
55390,0.3911,0.3623,0.3725
83873,0.2585,0.3770,0.4230
46775,0.2914,0.8342,0.3195
64080,0.2567,0.3715,0.7329
75817,0.2086,0.5089,0.2184
69622,0.4187,0.9512,0.4015
101612,0.5443,0.3610,0.6436
84059,0.1276,0.7973,0.1998
76824,0.1893,0.9996,0.1893
108733,0.1748,0.4572,0.2195
56363,0.3661,0.9728,0.4072
112081,0.1937,0.5438,0.2908
55395,0.2580,0.2652,0.3421
112112,0.1314,0.2888,0.5966
84138,0.2996,0.7965,0.2770
96634,0.2132,0.4821,0.2856
55394,0.0415,0.8377,0.1035
83937,0.3669,0.5545,0.4836
108743,0.3474,0.8605,0.3928
91549,0.2015,0.2894,0.5482
96588,0.1970,0.9617,0.2504
118342,0.4954,0.7047,0.7188
101601,0.4839,1.0000,0.4839
133788,0.3825,0.2794,0.5928
118445,0.1791,0.2829,0.6555
101961,0.1515,0.4399,0.4128
129419,0.4521,0.9185,0.5248
119358,0.2897,0.9936,0.2992
98122,0.3808,0.5972,0.4347
133845,0.1618,0.1424,0.1594
129246,0.2950,0.4712,0.3390
118364,0.2009,0.3734,0.3412
101742,0.2233,0.5131,0.3448
112077,0.4034,0.7609,0.5148
156010,0.2716,0.4512,0.4273
129325,0.2776,0.3434,0.7167
161617,0.2330,0.4202,0.0496
129489,0.3877,0.8985,0.4422
135140,0.2918,0.2223,0.5308
161624,0.2575,0.5367,0.4052
143196,0.2471,0.8647,0.3205
109105,0.2575,0.3867,0.3313
147830,0.3834,0.4433,0.5177
112137,0.3100,0.3032,0.6986
143252,0.2989,0.1648,0.3081
147780,0.1378,0.6540,0.3229
156125,0.2539,0.4726,0.5144
112424,0.1224,0.2508,0.4276
174534,0.1466,0.1207,0.1734
143071,0.2614,0.4484,0.3013
156160,0.0703,0.3288,0.1131
147951,0.2204,0.5185,0.2561
156003,0.3524,0.9392,0.3976
185783,0.4927,0.8259,0.5944
185877,0.2754,0.5015,0.1721
178590,0.2569,0.3189,0.4692
168425,0.6655,0.8205,0.6186
168932,0.1160,0.8980,0.1236
174497,0.2903,0.6178,0.4016
134367,0.2553,0.8298,0.2572
192392,0.2022,0.2061,0.6120
148341,0.3575,0.8538,0.3912
148114,0.3451,0.7984,0.4179
156144,0.1129,0.8235,0.2661
162199,0.1463,0.2092,0.4934
178390,0.5068,0.5177,0.4372
200270,0.2925,0.3069,0.9251
200570,0.2540,0.2749,0.7977
178639,0.2056,0.3563,0.3360
161613,0.1386,0.5650,0.1463
175068,0.2010,0.8105,0.2562
178292,0.4366,0.6851,0.5584
208759,0.2376,0.9020,0.2632
210996,0.3169,0.4043,0.4273
143199,0.1477,0.6894,0.3027
192311,0.2429,0.2208,0.2661
164646,0.0822,0.1933,0.1390
175836,0.1850,0.4848,0.2296
200214,0.4391,0.6074,0.8050
218045,0.4274,0.6845,0.5823
211002,0.2981,0.2790,0.6815
224339,0.1081,0.2991,0.1888
230367,0.5603,0.8744,0.5705
168408,0.3235,0.4503,0.4597
200168,0.1718,0.1626,0.4012
193179,0.4278,0.7728,0.5334
239732,0.1470,0.9750,0.1774
174673,0.4324,0.5824,0.4756
178306,0.2646,0.4344,0.3708
186506,0.1044,0.5661,0.3526
208764,0.2362,0.3488,0.5507
224206,0.2785,0.3978,0.3974
192461,0.2073,0.9440,0.2514
218458,0.1301,0.3740,0.3661
201028,0.2827,0.6558,0.3414
244683,0.3863,0.5784,0.7208
224283,0.1657,0.1766,0.4673
213660,0.3146,0.5761,0.4469
194640,0.4020,0.4086,0.4500
230535,0.3129,0.2973,0.3994
217915,0.3340,0.6668,0.4906
193180,0.4212,0.9421,0.4216
218317,0.2220,0.3135,0.2961
258060,0.3489,0.6866,0.5206
192365,0.3899,0.4131,0.6389
249813,0.1922,0.2029,0.5980
211122,0.1260,0.2857,0.4905
258061,0.5152,0.5915,0.7838
224382,0.5831,0.6510,0.7459
249812,0.0960,0.1159,0.4569
258309,0.3650,0.3889,0.9126
239736,0.5992,0.4449,0.4948
224151,0.4248,0.4649,0.6330
208621,0.2994,0.2743,0.6955
244637,0.1415,0.1572,0.6139
272361,0.5437,0.7091,0.7634
224402,0.2208,0.9769,0.1894
