submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
126,0.2080,0.4283,0.1433
13097,0.2237,1.0000,0.2237
47,0.3327,0.5995,0.2322
19968,0.1359,0.1745,0.4489
20121,0.1906,1.0000,0.1906
20647,0.4014,0.4054,0.8161
32545,0.1483,0.2095,0.1662
30695,0.2957,1.0000,0.2957
45936,0.2572,0.2919,0.9397
27941,0.1783,0.1912,0.3839
33376,0.2072,0.1454,0.3063
39142,0.2819,1.0000,0.2819
33321,0.2234,1.0000,0.2234
46428,0.3625,1.0000,0.3625
55553,0.5390,1.0000,0.5390
65738,0.2195,0.9910,0.2175
52900,0.2705,0.2738,0.4095
59962,0.2936,1.0000,0.2936
52537,0.2265,1.0000,0.2265
65995,0.1581,1.0000,0.1581
60092,0.0732,0.7815,0.0911
65740,0.9590,1.0000,0.9590
79294,0.4234,1.0000,0.4234
73585,0.5581,1.0000,0.5581
73002,0.2999,0.2297,0.3615
92079,0.2433,0.9234,0.2399
73007,0.6567,1.0000,0.6567
99074,0.7992,1.0000,0.7992
92791,0.3704,1.0000,0.3704
92163,0.2346,0.9473,0.2457
92833,0.1581,1.0000,0.1581
99111,0.1864,1.0000,0.1864
105411,0.3212,1.0000,0.3212
112199,0.0810,0.0865,0.3621
112768,0.4322,1.0000,0.4322
105521,0.0909,0.4074,0.3883
103043,0.3966,1.0000,0.3966
118431,0.1675,0.1353,0.8080
132357,0.5916,1.0000,0.5916
119337,0.1289,0.1289,0.3370
119336,0.3761,1.0000,0.3761
125226,0.3017,1.0000,0.3017
132798,0.0566,0.0989,0.1391
134628,0.2128,0.2302,0.5059
119342,0.1473,1.0000,0.1473
138721,0.0910,0.8367,0.1324
152784,0.1016,0.4936,0.1172
145319,0.1877,0.2288,0.9373
159033,0.0821,0.3284,0.1610
159238,0.1280,0.2801,0.6259
146515,0.2895,1.0000,0.2895
159240,0.2642,1.0000,0.2642
162839,0.1446,0.1427,0.2668
154797,0.1230,1.0000,0.1230
172201,0.3603,0.6417,0.2674
171693,0.1776,1.0000,0.1776
178275,0.1016,0.5543,0.4031
178344,0.2198,1.0000,0.2198
186540,0.3039,1.0000,0.3039
162836,0.3369,0.3166,0.3648
185133,0.1049,0.2097,0.0964
191418,0.3401,0.8485,0.3045
192136,0.2578,1.0000,0.2578
188429,0.2013,0.2880,0.5096
200165,0.2268,1.0000,0.2268
195257,0.2534,0.9748,0.2518
199687,0.1539,0.8346,0.1880
211035,0.1792,1.0000,0.1792
200167,0.1859,1.0000,0.1859
205014,0.1179,0.5760,0.2627
211368,0.1521,0.1598,0.4248
218888,0.5225,0.9708,0.5294
220199,0.2669,0.2892,0.2319
224899,0.3985,1.0000,0.3985
219465,0.1242,1.0000,0.1242
225018,0.3598,0.3470,0.8613
220207,0.0917,1.0000,0.0917
230355,0.2884,0.8612,0.3113
226689,0.0940,0.1213,0.0939
231061,0.1834,0.6085,0.1589
236602,0.0576,1.0000,0.0576
231063,0.2868,1.0000,0.2868
211375,0.1633,0.9991,0.1653
243459,0.3458,0.5929,0.7830
236615,0.0433,1.0000,0.0433
249798,0.1837,1.0000,0.1837
236606,0.2802,1.0000,0.2802
246537,0.1567,0.1848,0.3309
249868,0.2504,1.0000,0.2504
249795,0.0132,1.0000,0.0132
246741,0.1506,0.1586,0.6501
256380,0.1371,1.0000,0.1371
256381,0.2181,1.0000,0.2181
251915,0.2008,1.0000,0.2008
256405,0.5352,0.9529,0.4847
269557,0.1486,1.0000,0.1486
269813,0.7035,1.0000,0.7035
276001,0.1752,1.0000,0.1752
277555,0.4383,1.0000,0.4383
262960,0.4317,0.5331,0.2695
270632,0.2541,1.0000,0.2541
282647,0.0577,1.0000,0.0577
276004,0.2860,0.2994,0.2994
294765,0.1267,1.0000,0.1267
301434,0.4686,0.9542,0.4911
