submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
19821,0.1749,0.1420,0.5819
11549,0.3907,0.4257,0.8013
11553,0.4668,1.0000,0.4668
11776,0.2751,1.0000,0.2751
15926,0.3963,1.0000,0.3963
16001,0.1637,0.1810,0.1765
6,0.1901,0.8201,0.1865
19829,0.8315,0.9141,0.8888
16484,0.3041,0.4724,0.4880
3,0.2520,1.0000,0.2520
35393,0.3281,0.5548,0.6024
31504,0.2007,1.0000,0.2007
31543,0.1004,0.3634,0.1552
11501,0.2174,1.0000,0.2174
47057,0.4264,0.5012,0.5008
43241,0.5518,0.9355,0.5821
87,0.2560,0.8779,0.2684
55503,0.3588,0.3605,0.2254
1,0.3855,1.0000,0.3855
35394,0.4222,1.0000,0.4222
31644,0.2156,0.5381,0.2408
20122,0.5689,1.0000,0.5689
43242,0.5052,1.0000,0.5052
55394,0.0481,0.0322,0.5968
55246,0.3591,1.0000,0.3591
31790,0.1761,1.0000,0.1761
56363,0.3357,0.9671,0.3346
64065,0.4029,0.3738,0.9771
56371,0.1246,1.0000,0.1246
17873,0.5787,0.9963,0.5791
75920,0.4890,1.0000,0.4890
19768,0.4518,1.0000,0.4518
46775,0.3719,1.0000,0.3719
69622,0.3342,0.3760,0.6853
64088,0.3382,1.0000,0.3382
55271,0.0972,1.0000,0.0972
55390,0.2295,0.9812,0.2367
75874,0.6558,0.5483,0.8215
55395,0.3805,0.9604,0.4123
76824,0.1409,0.3408,0.2016
45907,0.6319,1.0000,0.6319
43205,0.2990,1.0000,0.2990
84059,0.3703,1.0000,0.3703
91551,0.2737,0.9958,0.2632
91549,0.2516,0.9367,0.2073
84138,0.1497,0.6258,0.3125
55393,0.3249,0.9113,0.3593
96634,0.5385,0.9104,0.5520
83937,0.2820,1.0000,0.2820
69337,0.8206,1.0000,0.8206
75817,0.4572,1.0000,0.4572
55387,0.2817,0.7942,0.3980
101961,0.1953,1.0000,0.1953
101612,0.2234,0.5050,0.2645
108733,0.3269,1.0000,0.3269
69584,0.2649,0.9912,0.2681
83873,0.2742,0.8183,0.2946
69382,0.2494,0.7407,0.4092
108743,0.4202,1.0000,0.4202
118342,0.6029,0.6164,0.9182
112081,0.3047,0.9916,0.3312
112112,0.1735,1.0000,0.1735
129246,0.2075,1.0000,0.2075
109105,0.3510,0.9831,0.3450
133788,0.4920,0.3843,0.6358
96588,0.3327,1.0000,0.3327
101601,0.2028,1.0000,0.2028
129419,0.3914,0.8040,0.5169
143196,0.3302,0.9990,0.3295
98122,0.2971,1.0000,0.2971
118364,0.3887,1.0000,0.3887
147951,0.2973,0.6724,0.2905
118445,0.2707,1.0000,0.2707
112137,0.2675,0.9736,0.2607
133845,0.2242,0.2242,1.0000
112424,0.1506,0.9972,0.1571
156003,0.3645,0.8895,0.3242
112077,0.2119,1.0000,0.2119
161617,0.2666,0.2666,1.0000
135140,0.1699,0.9139,0.1857
101742,0.4991,1.0000,0.4991
168408,0.1624,0.1351,0.9513
161624,0.2655,0.9982,0.2783
156144,0.1315,0.1023,0.6800
156160,0.1468,1.0000,0.1468
156125,0.1292,0.1666,0.8036
148341,0.3835,0.9653,0.3919
156010,0.3215,1.0000,0.3215
147830,0.2288,1.0000,0.2288
174497,0.2611,0.4761,0.6447
129325,0.2853,1.0000,0.2853
185783,0.4354,0.8602,0.5062
174534,0.1691,0.4352,0.6871
168932,0.1190,1.0000,0.1190
147780,0.0781,1.0000,0.0781
143252,0.1999,1.0000,0.1999
178639,0.2206,0.5857,0.2909
143199,0.0316,0.9977,0.0316
161613,0.1732,1.0000,0.1732
148114,0.1235,1.0000,0.1235
162199,0.1819,0.9926,0.1823
168425,0.2022,0.9941,0.1928
185877,0.2575,1.0000,0.2575
178590,0.4198,0.3286,0.7421
169147,0.2256,1.0000,0.2256
186506,0.0951,0.0761,0.6270
164646,0.1727,0.8745,0.1945
175836,0.2828,1.0000,0.2828
192392,0.2385,0.3481,0.5144
178390,0.5528,1.0000,0.5528
192365,0.2796,0.9954,0.2969
192311,0.2761,1.0000,0.2761
200214,0.2033,0.6114,0.3426
185883,0.1481,0.3122,0.3254
211002,0.2008,0.2685,0.7078
174673,0.2663,0.9994,0.2651
178292,0.1591,1.0000,0.1591
210996,0.3535,0.4182,0.3581
208621,0.0997,0.1356,0.4649
218045,0.4638,0.4576,0.7682
217915,0.3533,1.0000,0.3533
213660,0.3310,1.0000,0.3310
200270,0.4159,1.0000,0.4159
192461,0.2184,1.0000,0.2184
193180,0.3222,0.7292,0.3162
224382,0.1556,0.1556,1.0000
218458,0.1304,0.1626,0.2076
175068,0.2595,1.0000,0.2595
178306,0.2165,0.9885,0.2110
200168,0.2840,1.0000,0.2840
200570,0.2376,1.0000,0.2376
218317,0.3064,0.3297,0.3426
224206,0.3283,1.0000,0.3283
218090,0.3844,1.0000,0.3844
230367,0.6374,1.0000,0.6374
224339,0.1469,1.0000,0.1469
239747,0.0629,0.4329,0.1681
194640,0.3153,1.0000,0.3153
201028,0.5185,1.0000,0.5185
208764,0.1249,0.9607,0.1565
239732,0.1454,1.0000,0.1454
211122,0.0456,0.9998,0.0464
239736,0.6717,0.6056,0.8391
258061,0.6916,1.0000,0.6916
249813,0.0894,0.3654,0.2616
258060,0.2437,0.2808,0.9080
193179,0.1969,1.0000,0.1969
244683,0.4293,1.0000,0.4293
230661,0.0566,0.2775,0.3936
208643,0.4407,1.0000,0.4407
230535,0.4394,1.0000,0.4394
224402,0.2999,1.0000,0.2999
224283,0.2001,0.9634,0.1936
268565,0.2442,0.1935,0.5577
258140,0.5052,0.6909,0.7334
258182,0.5302,0.5302,1.0000
276232,0.0717,0.0519,0.8008
272361,0.5552,1.0000,0.5552
249797,0.5109,0.9904,0.5004
276028,0.4760,0.9473,0.5063
272485,0.2322,0.8569,0.3593
245547,0.3868,1.0000,0.3868
239869,0.3650,0.8651,0.3566
258309,0.4401,1.0000,0.4401
273966,0.2487,0.1914,0.2497
284581,0.5737,1.0000,0.5737
258213,0.0396,1.0000,0.0396
246046,0.4262,1.0000,0.4262
284588,0.2316,0.3595,0.7736
268270,0.0683,1.0000,0.0683
279022,0.3046,0.9835,0.2976
284580,0.2828,0.4278,0.3150
293603,0.1535,0.1612,0.9914
268145,0.1906,0.8543,0.1629
277093,0.1619,0.1411,0.8026
273055,0.5389,0.9822,0.5250
249812,0.0415,0.9959,0.0416
293546,0.2970,0.2124,0.4227
297839,0.3715,0.9017,0.3927
297638,0.4802,0.5001,0.7784
297766,0.3720,1.0000,0.3720
244637,0.2246,0.9887,0.2302
297611,0.1729,0.2257,0.6635
268633,0.1869,1.0000,0.1869
285017,0.2152,0.9996,0.2162
276289,0.1254,1.0000,0.1254
303112,0.2339,1.0000,0.2339
303113,0.2992,1.0000,0.2992
297601,0.1826,0.3508,0.4790
303554,0.3517,0.5142,0.4389
307992,0.2816,0.3375,0.8051
308145,0.1609,0.1658,0.9112
303119,0.4171,0.9996,0.4176
308152,0.0970,0.0817,0.4124
284587,0.2352,1.0000,0.2352
307911,0.3431,1.0000,0.3431
308148,0.0603,0.0972,0.2456
307917,0.4427,1.0000,0.4427
307987,0.5833,1.0000,0.5833
307952,0.6654,1.0000,0.6654
293768,0.3994,1.0000,0.3994
308151,0.1953,0.1615,0.4782
308143,0.0820,1.0000,0.0820
323278,0.3071,1.0000,0.3071
293441,0.1975,0.9879,0.1788
315075,0.1904,0.4566,0.1578
293824,0.3013,1.0000,0.3013
315047,0.6174,1.0000,0.6174
323287,0.2283,1.0000,0.2283
323288,0.4794,1.0000,0.4794
293810,0.3222,1.0000,0.3222
323225,0.6073,1.0000,0.6073
323346,0.4317,0.4077,0.7918
327735,0.0535,0.1459,0.6080
307903,0.5947,1.0000,0.5947
308031,0.1010,0.9838,0.0989
337884,0.4055,0.9997,0.4057
327795,0.4282,0.5117,0.3419
328170,0.1230,0.1124,0.4812
327797,0.3574,0.9001,0.3195
337860,0.2652,0.2654,0.9524
308156,0.2556,1.0000,0.2556
344389,0.3972,0.7403,0.4691
344382,0.2765,0.3518,0.2649
337889,0.3080,1.0000,0.3080
308146,0.1266,1.0000,0.1266
308153,0.1464,0.9981,0.1539
327914,0.1788,0.2939,0.2962
315722,0.2580,1.0000,0.2580
344359,0.3104,1.0000,0.3104
344361,0.5402,0.6353,0.8437
354671,0.2336,0.2751,0.4950
308432,0.2727,0.9790,0.2925
337831,0.6580,0.8450,0.8129
328217,0.3888,0.9658,0.3941
354720,0.2058,1.0000,0.2058
376048,0.2113,0.2943,0.2855
368165,0.5806,1.0000,0.5806
376007,0.3624,0.4213,0.3773
368958,0.2303,0.2659,0.7590
