submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
19821,0.3158,0.3684,0.6053
11549,0.4348,0.4082,0.8276
11553,0.3571,1.0000,0.3571
11776,0.1401,1.0000,0.1401
15926,0.4118,1.0000,0.4118
16001,0.3659,0.2632,0.4576
6,0.2466,0.8222,0.2466
19829,0.5833,0.7500,0.7667
16484,0.2500,0.2973,0.5556
3,0.3750,1.0000,0.3750
35393,0.2857,0.3188,0.6571
31504,0.3146,1.0000,0.3146
31543,0.2336,0.3140,0.4310
11501,0.2794,1.0000,0.2794
47057,0.2857,0.4595,0.3367
43241,0.2500,0.9565,0.2530
87,0.2500,0.9667,0.2500
55503,0.2500,0.4286,0.1681
1,0.2500,1.0000,0.2500
35394,0.2785,1.0000,0.2785
31644,0.2987,0.6351,0.3108
20122,0.4355,1.0000,0.4355
43242,0.2300,1.0000,0.2300
55394,0.2405,0.2317,0.5946
55246,0.2468,1.0000,0.2468
31790,0.3556,1.0000,0.3556
56363,0.3038,0.9048,0.3200
64065,0.3333,0.3261,0.9143
56371,0.2277,1.0000,0.2277
17873,0.3462,1.0000,0.3462
75920,0.4762,1.0000,0.4762
19768,0.5312,1.0000,0.5312
46775,0.3425,1.0000,0.3425
69622,0.3793,0.3281,0.7442
64088,0.2424,1.0000,0.2424
55271,0.2588,1.0000,0.2588
55390,0.2353,0.9706,0.2410
75874,0.3571,0.3415,0.7857
55395,0.2935,0.9545,0.3043
76824,0.2235,0.5534,0.1923
45907,0.4898,1.0000,0.4898
43205,0.4048,1.0000,0.4048
84059,0.5000,1.0000,0.5000
91551,0.2697,0.9167,0.2644
91549,0.2830,0.8636,0.2593
84138,0.2000,0.6042,0.2703
55393,0.2136,0.9848,0.2157
96634,0.6250,0.8148,0.7500
83937,0.2222,1.0000,0.2222
69337,0.5588,1.0000,0.5588
75817,0.4884,1.0000,0.4884
55387,0.2755,0.8906,0.2917
101961,0.2674,1.0000,0.2674
101612,0.3269,0.3542,0.5484
108733,0.6522,1.0000,0.6522
69584,0.3000,0.9841,0.3034
83873,0.2469,0.6842,0.2969
69382,0.2258,0.7368,0.3448
108743,0.3725,1.0000,0.3725
118342,0.5833,0.5600,0.8636
112081,0.3387,0.9464,0.3667
112112,0.1954,1.0000,0.1954
129246,0.2000,1.0000,0.2000
109105,0.3019,0.9773,0.2963
133788,0.3774,0.3800,0.8000
96588,0.4118,1.0000,0.4118
101601,0.4222,1.0000,0.4222
129419,0.2727,0.7037,0.2958
143196,0.3556,1.0000,0.3556
98122,0.2286,1.0000,0.2286
118364,0.2051,1.0000,0.2051
147951,0.5500,0.4583,0.4694
118445,0.2000,1.0000,0.2000
112137,0.2458,0.9651,0.2414
133845,0.2903,0.2903,1.0000
112424,0.1758,0.9857,0.1778
156003,0.3500,0.7333,0.2763
112077,0.2895,1.0000,0.2895
161617,0.2568,0.2568,1.0000
135140,0.1226,0.6593,0.1743
101742,0.4444,1.0000,0.4444
168408,0.1852,0.2430,0.5000
161624,0.1728,0.9697,0.1829
156144,0.2268,0.2150,0.4923
156160,0.2750,1.0000,0.2750
156125,0.2162,0.2278,0.6829
148341,0.2368,0.8310,0.2812
156010,0.2381,1.0000,0.2381
147830,0.4898,1.0000,0.4898
174497,0.2667,0.3333,0.6562
129325,0.2941,1.0000,0.2941
185783,0.7083,0.8182,0.8500
174534,0.3158,0.3115,0.7250
168932,0.3636,1.0000,0.3636
147780,0.3077,1.0000,0.3077
143252,0.2338,1.0000,0.2338
178639,0.2212,0.7864,0.2991
143199,0.2159,0.9655,0.2159
161613,0.2500,1.0000,0.2500
148114,0.3478,1.0000,0.3478
162199,0.3857,0.9464,0.3429
168425,0.3778,1.0000,0.3778
185877,0.3492,1.0000,0.3492
178590,0.5000,0.4737,0.8621
169147,0.2595,1.0000,0.2595
186506,0.2373,0.2333,0.5769
164646,0.2385,0.7901,0.2381
175836,0.1667,1.0000,0.1667
192392,0.1880,0.1953,0.5476
178390,0.4412,1.0000,0.4412
192365,0.2316,1.0000,0.2316
192311,0.3030,1.0000,0.3030
200214,0.3766,0.4861,0.5965
185883,0.3108,0.4348,0.4762
211002,0.2623,0.2881,0.7727
174673,0.2658,1.0000,0.2658
178292,0.2909,1.0000,0.2909
210996,0.2658,0.2785,0.5750
208621,0.2673,0.2381,0.6604
218045,0.3538,0.3768,0.5952
217915,0.4600,1.0000,0.4600
213660,0.4894,1.0000,0.4894
200270,0.1407,1.0000,0.1407
192461,0.1986,1.0000,0.1986
193180,0.2889,0.7571,0.2907
224382,0.1798,0.1798,1.0000
218458,0.2564,0.4359,0.3846
175068,0.2286,1.0000,0.2286
178306,0.1869,0.8911,0.1695
200168,0.4259,1.0000,0.4259
200570,0.2376,1.0000,0.2376
218317,0.3944,0.3714,0.6250
224206,0.4348,1.0000,0.4348
218090,0.3415,1.0000,0.3415
230367,0.6000,1.0000,0.6000
224339,0.1545,1.0000,0.1545
239747,0.2466,0.4600,0.4426
194640,0.2243,1.0000,0.2243
201028,0.2090,1.0000,0.2090
208764,0.2105,0.9750,0.2188
239732,0.7308,1.0000,0.7308
211122,0.1619,1.0000,0.1619
239736,0.5000,0.4872,0.7097
258061,0.5652,1.0000,0.5652
249813,0.1709,0.2330,0.5263
258060,0.3784,0.4444,0.8333
193179,0.2907,1.0000,0.2907
244683,0.5682,1.0000,0.5682
230661,0.2469,0.3387,0.4688
208643,0.2160,1.0000,0.2160
230535,0.2812,1.0000,0.2812
224402,0.2376,1.0000,0.2376
224283,0.4091,0.9189,0.4390
268565,0.1583,0.1613,0.7500
258140,0.3913,0.6094,0.5660
258182,0.4717,0.4717,1.0000
276232,0.1259,0.1233,0.6786
272361,0.3448,1.0000,0.3448
249797,0.3250,0.9714,0.3333
276028,0.4762,0.9697,0.4651
272485,0.2784,0.6207,0.3544
245547,0.3218,1.0000,0.3218
239869,0.2826,0.8133,0.3483
258309,0.4516,1.0000,0.4516
273966,0.3099,0.2000,0.3830
284581,0.7333,1.0000,0.7333
258213,0.3214,1.0000,0.3214
246046,0.1325,1.0000,0.1325
284588,0.2909,0.2881,0.7317
268270,0.2857,1.0000,0.2857
279022,0.3494,0.7949,0.3196
284580,0.5750,0.4615,0.5000
293603,0.4118,0.4412,0.9524
268145,0.1667,0.4706,0.2500
277093,0.2982,0.3333,0.7447
273055,0.4688,0.9400,0.5000
249812,0.1837,0.9000,0.2022
293546,0.2667,0.2016,0.3902
297839,0.4839,0.9804,0.4677
297638,0.2969,0.2561,0.5217
297766,0.2297,1.0000,0.2297
244637,0.5000,1.0000,0.5000
297611,0.3939,0.4444,0.7308
268633,0.2297,1.0000,0.2297
285017,0.2097,1.0000,0.2097
276289,0.1642,1.0000,0.1642
303112,0.4600,1.0000,0.4600
303113,0.2469,1.0000,0.2469
297601,0.2857,0.3038,0.7667
303554,0.3788,0.5593,0.5532
307992,0.2449,0.2500,0.9375
308145,0.2468,0.2405,0.9259
303119,0.1963,1.0000,0.1963
308152,0.2000,0.2277,0.6170
284587,0.3462,1.0000,0.3462
