submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
3,0.2086,0.2168,0.5220
35393,0.2781,0.3600,0.3532
16001,0.2195,0.2123,0.2298
11553,0.4890,1.0000,0.4890
15926,0.3994,1.0000,0.3994
11549,0.4671,0.9952,0.4653
19768,0.4466,0.8584,0.4962
31543,0.1733,0.5632,0.2441
6,0.2078,0.9953,0.2036
19821,0.0543,0.8827,0.0594
17873,0.5645,1.0000,0.5645
1,0.2699,1.0000,0.2699
35394,0.3914,0.6537,0.5289
35453,0.2492,0.5119,0.5827
31504,0.2701,1.0000,0.2701
11501,0.5718,1.0000,0.5718
55246,0.2820,0.4445,0.5002
45970,0.0847,0.4278,0.1069
20122,0.5510,0.9464,0.5238
55503,0.1552,1.0000,0.1552
87,0.2728,0.8705,0.2954
16484,0.3676,0.9785,0.3757
56242,0.1218,0.3936,0.3958
19829,0.5937,0.9220,0.6534
43205,0.3658,1.0000,0.3658
64088,0.4233,1.0000,0.4233
56363,0.3973,0.9979,0.3976
56371,0.1929,1.0000,0.1929
64065,0.3375,1.0000,0.3375
75920,0.6765,1.0000,0.6765
69622,0.3676,0.9912,0.3556
69337,0.4821,0.8474,0.5398
55394,0.0506,0.9935,0.0565
76824,0.1364,1.0000,0.1364
55393,0.1985,0.3517,0.1556
69382,0.2435,0.6904,0.2943
43241,0.3148,0.9771,0.3194
43242,0.2798,0.9638,0.2855
96634,0.3438,0.5877,0.5470
91549,0.1728,1.0000,0.1728
84059,0.1722,0.9198,0.1801
55390,0.2986,0.9810,0.3079
75817,0.3915,1.0000,0.3915
91551,0.1815,1.0000,0.1815
112112,0.1559,0.5007,0.3384
16181,0.2729,0.5929,0.1898
112081,0.1578,0.5697,0.2475
83937,0.2842,1.0000,0.2842
108743,0.3243,0.9935,0.3167
69584,0.6265,1.0000,0.6265
83873,0.2164,0.8166,0.2289
101612,0.4879,1.0000,0.4879
84138,0.3008,0.9823,0.2954
31644,0.3168,1.0000,0.3168
118342,0.3949,0.5640,0.4447
129419,0.2308,0.9661,0.2445
109105,0.4311,0.3150,0.2920
75874,0.8511,0.9663,0.8941
101961,0.1962,1.0000,0.1962
133788,0.3906,0.4297,0.3957
101742,0.4614,0.9978,0.4786
98122,0.3097,0.9823,0.3394
133845,0.2138,0.2574,0.3448
