submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
13097,0.3421,1.0000,0.3421
47,0.5455,0.9524,0.5625
126,0.3077,1.0000,0.3077
19968,0.3750,0.3571,0.4286
20121,0.2222,1.0000,0.2222
27941,0.3378,0.8095,0.3750
13664,0.3714,0.9630,0.3913
20647,0.3509,0.5686,0.3281
45936,0.2381,0.5484,0.3793
32545,0.4412,0.5806,0.3846
33321,0.2881,1.0000,0.2881
30695,0.2195,0.5789,0.2603
33376,0.2462,0.6818,0.3019
60092,0.4359,0.9333,0.4872
39142,0.5676,1.0000,0.5676
46428,0.3824,1.0000,0.3824
52900,0.2632,0.4516,0.3774
52537,0.4394,0.9783,0.4545
73002,0.4255,0.9062,0.4222
65995,0.2951,0.5510,0.5000
73007,0.4167,1.0000,0.4167
59962,0.3051,1.0000,0.3051
65740,0.2143,1.0000,0.2143
73585,0.1471,1.0000,0.1471
55553,0.4762,0.9310,0.5122
92791,0.6087,0.9375,0.5833
92163,0.3455,0.8056,0.3958
92079,0.4516,0.8462,0.4688
79294,0.2712,1.0000,0.2712
92833,0.2568,1.0000,0.2568
99111,0.3953,1.0000,0.3953
99074,0.5000,1.0000,0.5000
112199,0.2407,0.6744,0.3250
105521,0.3115,0.7333,0.3333
105411,0.4000,1.0000,0.4000
112768,0.2973,1.0000,0.2973
119336,0.4483,1.0000,0.4483
118431,0.1579,0.7857,0.1944
119337,0.3061,1.0000,0.3061
103043,0.3625,1.0000,0.3625
132357,0.3542,1.0000,0.3542
132798,0.3000,0.9500,0.3077
125226,0.4923,1.0000,0.4923
119342,0.2391,1.0000,0.2391
145319,0.2745,0.7143,0.3415
134628,0.3378,0.3649,0.9245
146515,0.4211,1.0000,0.4211
152784,0.1385,0.9500,0.1538
148905,0.6500,1.0000,0.6500
159240,0.4615,1.0000,0.4615
154797,0.3295,1.0000,0.3295
159238,0.5000,1.0000,0.5000
159033,0.2364,0.4048,0.4167
162836,0.3968,1.0000,0.3968
162839,0.4268,1.0000,0.4268
178275,0.2121,0.2258,0.7500
184937,0.6429,1.0000,0.6429
171693,0.3056,1.0000,0.3056
185133,0.4359,1.0000,0.4359
178344,0.2553,1.0000,0.2553
191418,0.2917,0.4915,0.2000
192136,0.3784,0.3784,0.6667
200165,0.3500,1.0000,0.3500
186540,0.4571,1.0000,0.4571
200167,0.4000,0.8182,0.4483
195257,0.3696,0.9032,0.3478
199687,0.4419,0.9286,0.4419
211368,0.1607,1.0000,0.1607
188429,0.4074,1.0000,0.4074
211035,0.4194,0.9524,0.4062
218888,0.4103,0.8148,0.5000
219465,0.3095,1.0000,0.3095
224899,0.3250,1.0000,0.3250
211375,0.2474,0.9524,0.2449
225018,0.1935,0.8750,0.1935
205014,0.3248,0.7473,0.3524
220199,0.3548,1.0000,0.3548
220207,0.3200,1.0000,0.3200
231063,0.4364,1.0000,0.4364
226689,0.3846,1.0000,0.3846
230355,0.1905,0.9000,0.1951
236606,0.4048,1.0000,0.4048
231061,0.3824,1.0000,0.3824
236602,0.2759,1.0000,0.2759
243459,0.1250,0.9333,0.1500
236615,0.3860,1.0000,0.3860
249798,0.5000,0.9600,0.5294
246537,0.3684,0.8864,0.3750
256381,0.2432,1.0000,0.2432
246741,0.3125,0.9032,0.3191
256380,0.2414,1.0000,0.2414
249868,0.3947,0.9600,0.3846
269557,0.2564,0.7727,0.3333
249795,0.2812,1.0000,0.2812
256405,0.4211,1.0000,0.4211
251915,0.3443,1.0000,0.3443
269813,0.6316,0.8667,0.7222
276001,0.1633,1.0000,0.1633
277555,0.4186,1.0000,0.4186
262960,0.3182,0.9231,0.3134
276004,0.2558,0.9286,0.2791
270632,0.3412,1.0000,0.3412
294765,0.4444,0.6071,0.5172
282647,0.3400,0.5000,0.5714
301434,0.4286,0.8261,0.4839
294959,0.4667,1.0000,0.4667
301649,0.4524,0.6341,0.4091
308359,0.5385,1.0000,0.5385
308363,0.2857,0.8182,0.3125
308695,0.3750,1.0000,0.3750
308698,0.2857,0.8000,0.3111
308383,0.2424,1.0000,0.2424
308959,0.1404,1.0000,0.1404
308932,0.1458,0.9231,0.1522
308388,0.3704,1.0000,0.3704
315229,0.4878,0.9259,0.5366
320852,0.2700,0.3418,0.4630
308985,0.2051,1.0000,0.2051
314332,0.1429,1.0000,0.1429
315284,0.3019,1.0000,0.3019
328005,0.4375,0.8000,0.5333
321012,0.4848,1.0000,0.4848
338632,0.3333,0.7742,0.3556
321399,0.2931,0.4583,0.3261
327651,0.2812,0.6190,0.3200
317693,0.2500,1.0000,0.2500
328576,0.3148,0.3778,0.4706
350668,0.2340,0.9545,0.2553
334269,0.3182,1.0000,0.3182
350859,0.1389,1.0000,0.1389
340310,0.4333,1.0000,0.4333
357133,0.2286,1.0000,0.2286
357134,0.5000,1.0000,0.5000
364523,0.1875,1.0000,0.1875
350662,0.3725,1.0000,0.3725
364500,0.5938,1.0000,0.5938
371210,0.5000,0.9189,0.5000
373818,0.1139,0.2349,0.3191
387527,0.3684,1.0000,0.3684
394276,0.3659,0.3696,0.4375
393560,0.4118,0.8750,0.4808
386756,0.2982,0.8333,0.3077
367351,0.3455,1.0000,0.3455
400059,0.5556,1.0000,0.5556
399990,0.2000,0.4118,0.3077
401734,0.2955,0.4412,0.4872
402474,0.4359,1.0000,0.4359
402452,0.5000,1.0000,0.5000
387301,0.2857,0.9375,0.2933
372104,0.3200,1.0000,0.3200
396610,0.4783,0.8500,0.5909
405431,0.3750,1.0000,0.3750
401562,0.5357,0.9091,0.5769
414703,0.2750,0.5128,0.2857
408249,0.2105,0.3333,0.5278
405890,0.2909,1.0000,0.2909
406095,0.2642,0.9697,0.2830
414924,0.4400,1.0000,0.4400
406342,0.3111,0.7667,0.3488
428331,0.4054,0.6061,0.4688
434619,0.3462,1.0000,0.3462
421638,0.4545,1.0000,0.4545
441324,0.5484,1.0000,0.5484
427912,0.5319,1.0000,0.5319
440485,0.3043,0.8246,0.3731
441487,0.0820,0.1220,0.1538
435888,0.2424,0.4545,0.4062
451759,0.6286,0.7931,0.6286
458218,0.6471,0.6429,0.6429
441342,0.2500,0.4419,0.4000
442057,0.2955,0.9118,0.3023
458220,0.5122,1.0000,0.5122
467323,0.4615,0.8276,0.5135
452729,0.4583,0.7500,0.4545
452491,0.2903,1.0000,0.2903
459191,0.7037,1.0000,0.7037
458239,0.4762,0.7222,0.4000
465134,0.3488,1.0000,0.3488
480807,0.3077,1.0000,0.3077
476972,0.2174,1.0000,0.2174
475227,0.3167,0.4151,0.3548
483172,0.2143,1.0000,0.2143
465049,0.4595,0.7692,0.5000
473729,0.3333,0.5897,0.4091
487593,0.3684,0.8333,0.4286
501451,0.2105,0.5000,0.2941
482635,0.2917,1.0000,0.2917
487585,0.2857,0.9048,0.2979
512226,0.7143,1.0000,0.7143
501509,0.3019,0.9259,0.3137
487592,0.2237,0.8235,0.2692
519078,0.2167,0.8696,0.2281
501265,0.4250,0.9286,0.4390
519013,0.2368,1.0000,0.2368
514587,0.5500,1.0000,0.5500
513750,0.2973,0.8077,0.4000
519562,0.3542,0.9667,0.3333
528003,0.4769,1.0000,0.4769
538764,0.5000,1.0000,0.5000
532027,0.1935,0.6957,0.2143
519221,0.5000,0.8261,0.6111
549197,0.4783,1.0000,0.4783
532031,0.3059,1.0000,0.3059
553069,0.4483,1.0000,0.4483
552585,0.4510,0.9048,0.5000
540491,0.5000,1.0000,0.5000
555667,0.2857,0.3750,0.4231
556536,0.5152,0.7200,0.6562
555732,0.4359,0.7333,0.5294
528349,0.3279,1.0000,0.3279
550892,0.3429,1.0000,0.3429
562217,0.3421,1.0000,0.3421
562247,0.2667,1.0000,0.2667
568991,0.2807,1.0000,0.2807
569159,0.2258,0.7500,0.3226
582007,0.2778,0.3529,0.6774
575939,0.5745,0.6604,0.6071
568779,0.3077,1.0000,0.3077
582019,0.3158,0.9565,0.3077
562376,0.4583,1.0000,0.4583
588321,0.3714,0.6786,0.5312
588293,0.4444,1.0000,0.4444
575981,0.2093,0.8929,0.2250
588331,0.5652,1.0000,0.5652
582781,0.3867,0.5692,0.5493
595523,0.4348,1.0000,0.4348
583990,0.2203,0.5455,0.3000
595333,0.3400,0.8400,0.3000
596699,0.3200,0.3750,0.4717
618692,0.4643,0.9474,0.4815
631957,0.1600,0.5000,0.1905
631956,0.3333,0.5556,0.4444
638429,0.2419,1.0000,0.2419
625347,0.5000,0.7000,0.5000
612934,0.4681,0.9355,0.4681
645581,0.3514,0.9048,0.3714
640288,0.3333,1.0000,0.3333
626365,0.2769,0.9815,0.2923
646826,0.4667,1.0000,0.4667
646212,0.4643,1.0000,0.4643
650290,0.4583,0.8649,0.4151
646828,0.4688,1.0000,0.4688
650289,0.2326,1.0000,0.2326
646832,0.3091,0.9512,0.2982
650297,0.3191,0.9545,0.3261
652913,0.4444,1.0000,0.4444
652920,0.2000,0.7742,0.2115
650299,0.0625,0.3571,0.0824
665301,0.6250,0.9444,0.6667
676252,0.3279,1.0000,0.3279
660046,0.3696,1.0000,0.3696
665449,0.1429,1.0000,0.1429
679480,0.4571,0.7667,0.5882
678536,0.5758,0.7692,0.6364
687047,0.2740,0.8571,0.2778
678548,0.4500,1.0000,0.4500
671555,0.4524,0.6667,0.6111
691493,0.2500,1.0000,0.2500
691615,0.4118,1.0000,0.4118
693165,0.4211,1.0000,0.4211
695356,0.4324,1.0000,0.4324
698265,0.5417,1.0000,0.5417
717534,0.6000,1.0000,0.6000
698360,0.2329,1.0000,0.2329
698431,0.3023,0.9615,0.2791
725904,0.1571,1.0000,0.1571
704214,0.6129,1.0000,0.6129
701580,0.3191,0.3500,0.5652
724887,0.2400,0.4255,0.5143
730311,0.3846,0.5667,0.6061
729924,0.3167,0.8049,0.3654
706242,0.3636,1.0000,0.3636
743934,0.3571,0.8889,0.3846
737009,0.5714,1.0000,0.5714
731399,0.3333,1.0000,0.3333
744434,0.3636,1.0000,0.3636
749429,0.5455,0.7059,0.4500
745132,0.4118,1.0000,0.4118
749740,0.2162,1.0000,0.2162
762725,0.6667,1.0000,0.6667
756133,0.3051,1.0000,0.3051
775838,0.5667,1.0000,0.5667
739534,0.3778,1.0000,0.3778
770711,0.2759,1.0000,0.2759
755774,0.4423,0.6667,0.5641
762871,0.3667,1.0000,0.3667
762730,0.3500,0.9032,0.3750
788786,0.2951,0.8421,0.3393
781297,0.2121,0.7083,0.2692
788785,0.2600,0.4865,0.2542
795639,0.4783,1.0000,0.4783
