variable,ac_frequency,ans_frequency,ref_frequency,increase_ratio
CMD_TYPEDEF,0,0,1,inf
CMD_TYPEOF,0,0,1,inf
NUM_AMPERSAND,0,0,1,inf
NUM_ASTERISK,0,0,1,inf
OverflowError,0,0,1,inf
PriorityQueue,0,0,1,inf
ROUND_HALF_UP,0,0,1,inf
Solution,0,0,1,inf
TYPE_ERRTYPE,0,0,1,inf
TYPE_VOID,0,0,1,inf
a00,0,1,1,inf
a01,0,1,1,inf
a10,0,2,1,inf
a11,0,2,1,inf
a_indices,0,0,1,inf
a_int,0,0,1,inf
a_move,0,0,1,inf
abbreviation,0,1,1,inf
add_friend,0,0,1,inf
add_self,0,0,1,inf
add_to_adjacency_list,0,0,1,inf
added,0,2,1,inf
adil_best_bottle_index,0,0,1,inf
adil_best_saving,0,0,1,inf
adil_second_best_bottle_index,0,0,1,inf
adil_second_best_saving,0,0,1,inf
adj_list,0,2,3,inf
adj_matrix,0,3,1,inf
adj_set,0,0,1,inf
adjacency_matrix,0,0,1,inf
adjusted_permutation,0,0,1,inf
adjusted_volume,0,0,1,inf
alan_max_distance,0,0,1,inf
all_chars,0,0,1,inf
all_delights,0,0,1,inf
all_super_lucky_numbers,0,0,1,inf
almost,0,1,1,inf
almost_satisfied,0,1,1,inf
alphabet,0,0,1,inf
alt_name,0,0,2,inf
alt_names,0,0,1,inf
alternating_sum,0,0,1,inf
amazing_count,0,1,1,inf
andrey_ones,0,0,1,inf
andrey_total,0,0,1,inf
ans_max,0,0,1,inf
ans_min,0,0,1,inf
anton_wins,0,1,1,inf
assign_colors,0,0,1,inf
assigned_dates,0,1,1,inf
assignments,0,3,1,inf
asterisk_count,0,0,1,inf
asterisk_positions,0,0,1,inf
at_found,0,0,1,inf
at_index,0,0,2,inf
attendant,0,1,1,inf
available_nodes,0,0,1,inf
available_scrolls,0,0,1,inf
available_women,0,0,1,inf
average_volume,0,0,1,inf
b_indices,0,0,1,inf
b_int,0,0,1,inf
b_move,0,0,1,inf
back_colors,0,0,1,inf
backtrack,0,2,1,inf
ball_position,0,1,1,inf
base64_to_int,0,0,1,inf
base_names,0,0,1,inf
beauty,0,1,1,inf
bera_best_bottle_index,0,0,1,inf
bera_best_saving,0,0,1,inf
bera_second_best_bottle_index,0,0,1,inf
bera_second_best_saving,0,0,1,inf
bessie_start,0,0,1,inf
best_bottle_index,0,0,1,inf
best_color,0,1,1,inf
best_end,0,0,2,inf
best_end_index,0,0,1,inf
best_genre,0,1,1,inf
best_index,0,3,1,inf
best_laptop,0,0,1,inf
best_len,0,2,1,inf
best_movie,0,1,1,inf
best_num,0,1,1,inf
best_remoteness,0,0,1,inf
best_row,0,0,1,inf
best_saving,0,0,1,inf
best_scroll,0,1,1,inf
best_start,0,0,2,inf
best_stop,0,1,1,inf
best_strength,0,0,1,inf
best_substring,0,1,1,inf
best_sum,0,0,1,inf
bf,0,0,1,inf
bin_x,0,0,1,inf
bin_y,0,0,1,inf
binary,0,1,2,inf
binary_representation,0,0,1,inf
binary_string,0,1,1,inf
black_cell_count,0,0,1,inf
black_count,0,1,1,inf
black_counts,0,0,1,inf
black_found,0,0,1,inf
black_min_steps,0,0,1,inf
block,0,2,3,inf
block_a_idx,0,0,1,inf
blocks,0,5,1,inf
board,0,9,1,inf
board_size,0,0,1,inf
board_string,0,0,1,inf
bob_max_distance,0,0,1,inf
boring_string,0,1,1,inf
bottle_x,0,0,1,inf
bottle_y,0,0,1,inf
bought,0,1,1,inf
bound_l,0,0,1,inf
bound_r,0,0,1,inf
breaks,0,0,1,inf
brick,0,0,1,inf
budget,0,0,1,inf
bus_time,0,1,1,inf
buy_amount,0,0,1,inf
buy_mice,0,0,1,inf
buyer_colors,0,0,1,inf
