variable,ac_frequency,ans_frequency,ref_frequency,increase_ratio
IMPOSSIBLE,0,0,1,inf
Solution,0,0,1,inf
a1_plus_a2,0,0,1,inf
a1_plus_ai,0,0,1,inf
a_i,0,0,1,inf
a_index,0,0,1,inf
a_sq,0,0,1,inf
a_sub,0,0,1,inf
a_type,0,0,1,inf
a_values,0,0,1,inf
abbr,0,2,2,inf
accident_possible,0,0,1,inf
action_parts,0,0,1,inf
action_type,0,0,1,inf
actor,0,1,1,inf
actor1,0,0,1,inf
actor2,0,0,1,inf
actors,0,1,1,inf
actual_count,0,0,1,inf
addition,0,0,1,inf
address,0,0,1,inf
adil_cost,0,0,1,inf
adil_costs,0,0,1,inf
adil_dist,0,0,1,inf
adil_x,0,0,1,inf
adil_y,0,0,1,inf
adults,0,2,2,inf
ages,0,0,1,inf
alice_set,0,1,1,inf
all_acceptable_values,0,0,1,inf
all_digits,0,0,1,inf
all_elements,0,0,1,inf
all_objects_mask,0,0,1,inf
all_prime,0,0,1,inf
all_rows_sortable,0,0,1,inf
all_same_color,0,0,1,inf
all_strings,0,0,1,inf
all_traitors,0,1,1,inf
allocations,0,0,1,inf
amounts,0,0,1,inf
angle_deg,0,1,1,inf
angle_rad,0,1,1,inf
ans_matrix,0,0,1,inf
ans_str,0,0,1,inf
arrival_time,0,4,1,inf
arrivals,0,1,1,inf
ascent,0,0,1,inf
attendant,0,0,1,inf
available_men,0,0,1,inf
available_mice,0,0,1,inf
available_rooms,0,0,1,inf
available_scrolls,0,0,1,inf
available_servers,0,1,1,inf
available_sockets,0,0,1,inf
available_time,0,0,1,inf
available_women,0,0,1,inf
b_index,0,0,1,inf
b_sq,0,0,1,inf
b_sub,0,0,1,inf
b_values,0,0,1,inf
back_color,0,1,1,inf
backtrack,0,2,1,inf
bank,0,0,1,inf
bench,0,0,1,inf
bera_cost,0,0,1,inf
bera_costs,0,0,1,inf
bera_dist,0,0,1,inf
bera_x,0,0,1,inf
bera_y,0,0,1,inf
best_a,0,2,2,inf
best_b,0,2,2,inf
best_color,0,1,1,inf
best_count,0,0,1,inf
best_genre,0,1,1,inf
best_h,0,1,1,inf
best_i,0,1,1,inf
best_item,0,0,1,inf
best_j,0,2,1,inf
best_lucky,0,0,1,inf
best_moves,0,0,1,inf
best_price,0,2,1,inf
best_rank,0,1,1,inf
best_result,0,0,1,inf
best_row,0,0,1,inf
best_scroll,0,1,1,inf
best_start,0,0,2,inf
best_subsequence,0,0,1,inf
best_val,0,0,1,inf
best_w,0,1,1,inf
best_x,0,3,1,inf
binary,0,5,2,inf
binary_search,0,0,2,inf
blocks,0,4,1,inf
blocks1,0,0,1,inf
blocks2,0,0,1,inf
board,0,10,1,inf
bob_score,0,0,1,inf
bob_set,0,1,1,inf
boring_minutes,0,1,1,inf
boring_string,0,1,1,inf
boring_strings,0,1,1,inf
boss_count,0,0,1,inf
both_used,0,0,1,inf
bottle_coords,0,0,1,inf
bp,0,0,1,inf
bracket_count,0,0,1,inf
bracket_type,0,0,1,inf
brightness,0,1,1,inf
building,0,2,1,inf
bulb,0,1,1,inf
bus_time,0,0,1,inf
busy,0,0,1,inf
busy_end,0,0,1,inf
busy_intervals,0,0,1,inf
busy_start,0,0,1,inf
button,0,0,1,inf
buttonConnections,0,0,1,inf
c_sq,0,0,1,inf
cakes_baked_before_second_oven,0,0,1,inf
calculate_days,0,1,1,inf
calculate_distance,0,0,1,inf
calculate_las,0,0,1,inf
calculate_liking,0,0,1,inf
calculate_max_blocks,0,0,1,inf
calculate_max_consecutive_n,0,0,1,inf
calculate_score,0,1,1,inf
calculate_sum,0,0,1,inf
call_definition,0,0,1,inf
call_name,0,1,1,inf
call_variables,0,0,1,inf
can_hack_all,0,0,1,inf
can_obtain_p,0,0,1,inf
can_place_1x2,0,0,1,inf
can_place_2x1,0,0,1,inf
can_place_2x2,0,0,1,inf
cancelable_groups,0,0,1,inf
candies_to_give,0,1,1,inf
card,0,2,1,inf
card1,0,1,1,inf
card2,0,1,1,inf
cashes_needed,0,0,1,inf
caught_criminals,0,1,1,inf
cell,0,1,1,inf
center_row,0,1,1,inf
center_valid,0,0,1,inf
centered_line,0,0,1,inf
changes_b,0,0,1,inf
changes_p,0,1,1,inf
char_code,0,6,1,inf
char_to_replace,0,0,1,inf
check_count,0,0,1,inf
check_horizontal,0,1,1,inf
check_k,0,0,1,inf
check_row,0,0,1,inf
check_vertical,0,1,1,inf
check_win,0,1,1,inf
children,0,5,2,inf
chore,0,0,1,inf
clockwise_dist,0,0,1,inf
clones_needed,0,0,1,inf
closest_prime,0,0,1,inf
clubs,0,3,1,inf
codes,0,0,1,inf
coin,0,1,1,inf
col_index,0,4,1,inf
col_moves,0,1,1,inf
col_ops,0,1,1,inf
col_sum,0,1,1,inf
col_sums,0,1,1,inf
col_values,0,0,1,inf
col_walls,0,0,1,inf
column_name,0,0,1,inf
column_number,0,1,1,inf
column_to_number,0,1,1,inf
combination,0,1,2,inf
common_divisors,0,1,1,inf
common_words,0,0,1,inf
completed,0,1,1,inf
component_nodes,0,0,1,inf
computer_strength,0,0,1,inf
concentration,0,0,1,inf
connected,0,0,1,inf
connections,0,0,1,inf
consecutive,0,0,1,inf
construct_matrix,0,0,1,inf
construct_row,0,0,1,inf
containing_unions,0,0,1,inf
controller_direction,0,1,1,inf
controller_position,0,0,1,inf
count_divisors,0,0,1,inf
count_lucky_permutations,0,0,1,inf
count_s,0,0,1,inf
count_t,0,0,1,inf
count_trailing_zeros,0,0,1,inf
count_vk,0,1,1,inf
counterclockwise_dist,0,0,1,inf
course_order,0,0,1,inf
course_to_take,0,0,1,inf
cow_room,0,1,1,inf
cow_rooms,0,2,2,inf
cp,0,0,1,inf
criminal,0,1,1,inf
criminals,0,0,1,inf
cross_product,0,2,1,inf
crossword,0,0,1,inf
crushes,0,0,1,inf
cry_volume,0,1,1,inf
cube_root,0,0,1,inf
cultivated_cells,0,0,1,inf
cured,0,0,1,inf
curr_bank,0,0,1,inf
curr_num,0,0,1,inf
curr_y,0,0,1,inf
current_capacity,0,0,1,inf
current_child,0,0,1,inf
current_color,0,2,1,inf
current_computer,0,2,1,inf
current_consecutive,0,0,1,inf
current_course,0,0,1,inf
current_gas,0,1,1,inf
current_happiness,0,0,1,inf
current_height,0,2,2,inf
current_len,0,2,1,inf
current_length,0,0,1,inf
current_level,0,1,1,inf
current_max,0,0,1,inf
current_min,0,0,1,inf
current_node,0,0,1,inf
current_number,0,1,2,inf
current_permutation,0,0,1,inf
current_plays,0,0,1,inf
current_position,0,2,1,inf
current_score,0,1,2,inf
current_set,0,0,1,inf
current_state,0,0,2,inf
current_station,0,1,1,inf
current_sum,0,8,3,inf
current_value,0,0,1,inf
current_volume,0,0,1,inf
current_xor,0,1,1,inf
cycle_length,0,1,1,inf
cycle_lengths,0,0,1,inf
cycle_num,0,0,1,inf
cycles,0,0,1,inf
d_count,0,1,2,inf
dancing_couples,0,0,1,inf
danger,0,0,1,inf
dasha_arrival,0,1,1,inf
dasha_count,0,1,1,inf
day_index,0,0,1,inf
days_in_week,0,0,1,inf
days_in_year,0,0,1,inf
days_offset,0,0,1,inf
dc2,0,0,1,inf
dc_val,0,0,1,inf
decimal_part,0,2,1,inf
decimal_val,0,0,1,inf
deck,0,1,2,inf
dep,0,0,1,inf
dependencies,0,3,2,inf
dependency,0,2,1,inf
descent,0,0,1,inf
desk,0,0,1,inf
determinant,0,0,1,inf
diag1_sum,0,1,1,inf
diag2_sum,0,1,1,inf
diameter,0,1,1,inf
diff_count,0,2,1,inf
diff_count_a,0,0,1,inf
diff_count_b,0,0,1,inf
diff_indices,0,2,2,inf
diff_minutes,0,0,1,inf
digit_map,0,0,1,inf
digit_sum,0,1,1,inf
directions,0,5,2,inf
discriminant,0,2,1,inf
displayed,0,2,1,inf
displeasures,0,0,1,inf
dist_adil,0,2,1,inf
dist_bera,0,2,1,inf
dist_sq,0,2,1,inf
dist_to_line,0,0,1,inf
distance1,0,1,1,inf
distance2,0,1,1,inf
distinct_chars,0,3,2,inf
distinct_shifts,0,0,1,inf
diversity,0,1,1,inf
divisor,0,3,1,inf
divisor_counts,0,0,1,inf
divisors_s1,0,1,1,inf
divisors_s2,0,1,1,inf
dollars,0,0,1,inf
down_found,0,0,1,inf
dr2,0,0,1,inf
dr_val,0,0,1,inf
drive_capacities,0,0,1,inf
drive_files,0,0,1,inf
drive_folders,0,0,1,inf
duplicate_found,0,0,1,inf
duration,0,1,1,inf
duration1,0,1,1,inf
duration2,0,1,1,inf
duration_based_vouchers,0,0,1,inf
eaten_honey,0,0,1,inf
edge,0,3,1,inf
element_to_set,0,0,1,inf
empties,0,0,1,inf
empty_col,0,1,1,inf
empty_row,0,1,1,inf
end_col,0,0,1,inf
end_day,0,1,1,inf
end_row,0,1,1,inf
end_x,0,0,1,inf
end_y,0,0,1,inf
exception_type,0,1,1,inf
exception_type_catch,0,0,1,inf
exclude_genre,0,0,1,inf
expected_min,0,0,1,inf
expected_points,0,0,1,inf
expected_times,0,1,1,inf
expected_value,0,0,1,inf
experience,0,1,1,inf
experiences,0,1,1,inf
exponent,0,3,1,inf
ext,0,1,1,inf
extended_euclidean,0,0,1,inf
fact,0,1,1,inf
farmer_john_room,0,2,1,inf
farmer_room,0,0,1,inf
favorite_actors,0,0,1,inf
fib_list,0,0,1,inf
file_paths,0,0,1,inf
file_size,0,0,1,inf
filename,0,2,1,inf
filtered_a,0,0,1,inf
final_sets,0,0,1,inf
find_all_acceptable_sets,0,0,1,inf
find_all_solutions,0,0,1,inf
find_divisors,0,2,1,inf
find_furthest_younger,0,0,1,inf
find_path,0,0,1,inf
first_col,0,0,1,inf
first_index,0,0,1,inf
first_k_names,0,0,1,inf
first_l,0,0,1,inf
first_non_zero_index,0,0,1,inf
first_note,0,0,1,inf
first_occurrence_index,0,0,1,inf
first_r,0,1,1,inf
first_val,0,0,1,inf
first_winner,0,0,1,inf
flower_counts,0,1,1,inf
fo2,0,0,1,inf
footmen,0,0,1,inf
forbidden_pairs,0,1,1,inf
format_integer,0,0,1,inf
format_range,0,0,1,inf
formatted_integer,0,1,1,inf
formatted_integer_part,0,0,1,inf
found_catamaran,0,0,1,inf
found_set,0,0,1,inf
found_spot,0,1,1,inf
fractional_part,0,3,1,inf
fragments,0,1,1,inf
free_items_cost,0,0,1,inf
free_rooms,0,1,1,inf
friendships,0,0,1,inf
front_color,0,1,1,inf
full_ip,0,0,1,inf
garden,0,1,1,inf
gender_list,0,0,1,inf
generate_lucky_numbers,0,2,2,inf
generate_name,0,0,2,inf
generated_scores,0,0,1,inf
genre,0,1,1,inf
get_neighbors,0,1,1,inf
get_size_index,0,0,1,inf
get_type,0,0,1,inf
give,0,1,1,inf
glass_bottles,0,0,1,inf
gov_nodes_in_component,0,0,1,inf
greater,0,0,1,inf
greater_count,0,0,1,inf
group_set,0,0,1,inf
group_size,0,3,2,inf
group_size_current,0,0,1,inf
groups_kicked,0,0,1,inf
growth,0,1,1,inf
h_str,0,0,1,inf
h_to_use,0,0,1,inf
hamming_distance,0,1,1,inf
handbag_coords,0,0,1,inf
has_0,0,0,1,inf
has_147,0,0,1,inf
has_258,0,0,1,inf
has_369,0,0,1,inf
has_larger,0,0,1,inf
has_mixed_colors,0,0,2,inf
has_smaller,0,0,1,inf
heaviest_coin_index,0,0,1,inf
hero1,0,2,1,inf
hero2,0,2,1,inf
hint,0,1,1,inf
hints,0,0,1,inf
holes,0,1,1,inf
hometown,0,2,2,inf
hometowns,0,0,1,inf
