model,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
claude_standard_py,mean,6.218314852,20.36384509,18.01020027,35.12729469,26.58215995,53.13749496,114.8625722,277.8771318,5.297373679,2303.852904,127.9918752,0.09262585,9.371724798,29.06317809,29.21952251,20.47236097,72.61709398,72.72415002
claude_standard_py,var,1.308271223,8.136719014,8.256458023,16.27434094,9.073397908,24.51490316,58.32849452,164.0894987,1.48623075,2061.306739,114.517003,0.05469595,4.711982144,9.708587311,9.704772661,11.12616541,7.450891813,7.452416658
deepseek_chat_py,mean,6.095789544,18.36545985,17.23335891,33.28180264,24.4612494,50.51516155,100.7296237,254.7468007,5.489055716,2102.240602,116.7910754,0.084915729,4.164175229,27.69399239,27.8826877,8.95790582,63.27624946,63.95442995
deepseek_chat_py,var,0.769983708,4.138688595,4.580282704,8.930805442,4.65245282,13.49708563,28.67664172,85.88435221,0.993522112,1111.111249,61.72844145,0.028627772,1.907573923,5.535624578,5.585371842,8.34552255,4.724086431,4.681493954
deepseek_reasoner_py,mean,6.83577911,22.28557325,20.54250287,39.59033992,29.12135236,60.13284279,128.8438828,319.4482806,6.04896751,2902.89856,161.2720626,0.106481496,5.628682845,33.15783749,33.62266528,18.92171015,56.58063676,57.286206
deepseek_reasoner_py,var,1.232750036,7.262999612,7.635055337,14.86989891,8.125058814,22.48808747,51.49045353,147.1926283,1.467108097,1927.678343,107.093145,0.049064881,3.528588782,9.562670714,9.672524129,47.74471931,7.548985376,7.489991574
gemma_py,mean,5.523170007,21.19677627,17.90141011,36.1356658,26.71994628,54.0370759,115.7538427,278.8260357,4.601496676,1792.061434,99.55893399,0.092940555,11.63836123,31.13599149,31.48547101,0.54117533,52.74457855,52.73592748
gemma_py,var,0.918348247,6.323129007,5.915960771,12.27620791,6.858782557,18.17383787,42.98624868,117.6981484,0.975040058,1076.676911,59.8154157,0.039233353,3.763540023,6.822165277,6.887753665,0.628551381,3.797037406,3.793318612
gpt_py,mean,5.011460109,13.60369056,11.32069917,22.03910085,18.61515067,33.35980002,67.50241733,151.6473546,4.065535462,912.1762167,50.67635061,0.050548844,4.344923035,19.76561165,20.1823782,7.346326109,66.80748078,67.10721031
gpt_py,var,1.016062245,3.800470541,3.583605033,7.069497007,4.531865739,10.64035974,23.91008175,59.84665305,1.074064385,528.8200104,29.37893238,0.019948418,2.382917567,3.889111137,3.994451075,8.254086905,8.399586623,8.398297561
llama_py,mean,5.804466072,17.89001974,15.24488549,29.68381945,23.69448581,44.92870494,95.89207402,222.0914299,4.784287549,1582.117886,87.89536387,0.074029486,6.672839157,24.24592924,24.66847967,3.595168874,59.23079657,59.4497281
llama_py,var,1.272179765,6.217653839,6.216869911,12.21422092,7.117646836,18.41522973,41.72854756,112.5522717,1.438187264,1201.019104,66.72334085,0.037516946,3.851300947,7.103086997,7.272340419,7.096579138,7.04671526,7.04075261
qwen_14b_py,mean,5.641285608,16.86169662,14.26525804,27.66519184,22.50298223,41.93044988,88.47713195,201.9742299,4.61825639,1330.553941,73.91978101,0.067324939,5.681989108,27.67843449,28.20074498,9.603806186,64.47581281,64.77306213
qwen_14b_py,var,0.904885013,4.236297422,4.164586792,8.169302503,4.902062,12.32221761,28.49024238,74.60552665,0.98821561,763.017729,42.38983236,0.024869023,1.972386386,5.145111736,5.197795897,7.132382717,4.71710014,4.716374454
qwen_32b_py,mean,5.901808117,17.55826061,14.72348192,28.49878591,23.46006872,43.22226782,93.84311167,211.8978888,4.759476055,1458.62084,81.03455151,0.070633058,4.710376024,26.86293348,27.27418634,4.783453144,61.56360483,62.00059963
qwen_32b_py,var,1.14016946,5.011240571,4.868223037,9.498208518,5.831601369,14.3496179,33.83116171,87.1233553,1.222346808,921.8146761,51.21188131,0.029040703,2.445333323,6.028195294,6.088427482,4.686045296,5.789863625,5.762136278
qwen_4b_py,mean,5.20306143,15.25184124,12.8670317,24.96954414,20.45490267,37.83657584,78.39240239,178.5376138,4.2668556,1105.911854,61.43931656,0.059513681,5.43276897,25.24754358,25.60826803,14.78300517,66.60001087,66.90117983
qwen_4b_py,var,0.853830698,4.137832186,3.874022675,7.659887878,4.766655925,11.52086138,28.29267967,70.75182141,0.914663139,651.1715297,36.1761316,0.023583609,1.79742977,4.610264566,4.626663587,11.41653739,5.082683244,5.07349892
qwen_8b_py,mean,5.11459372,15.04875743,12.86345212,24.95965566,20.16335116,37.82310778,77.20975405,180.0589306,4.190524682,1174.214967,65.23415962,0.060020462,4.626011288,23.17399133,23.5704071,6.587011719,62.92333301,63.25566808
qwen_8b_py,var,1.086038448,4.859211312,4.922030354,9.693060344,5.652341025,14.60307085,32.14647701,86.64294833,1.213583959,852.5158945,47.36208388,0.028880993,2.226618401,5.839738483,5.905286107,8.359125573,6.050002499,6.034769437
qwen_coder_py,mean,5.511489038,17.08668241,14.74315307,28.5662577,22.59817144,43.30941077,90.8251938,212.5955003,4.583083242,1457.380733,80.96549601,0.070863987,6.194176673,23.44759528,23.9318725,1.264758265,57.80501254,57.94245109
qwen_coder_py,var,1.273734448,6.298249236,6.221508555,12.1680801,7.219905196,18.37023088,42.42870103,112.5441309,1.445445901,1142.832704,63.49076309,0.037514276,3.003405949,7.004682053,7.128707293,3.009573914,5.883387736,5.899885355
human_py,mean,5.89,20.2,17.3,33.84,26.09,51.14,111.9,263.59,4.96,1973.81,109.66,0.09,2.64,36.01,23.59,6.51,60.82,60.82
human_py,var,0.83,4,3.72,7.41,4.58,11.13,25.66,66.45,0.85,624.38,34.69,0.02,1.45,9.26,4.76,11.64,5.64,5.64
claude_standard_cpp,mean,8.542242944,65.89644153,96.67830645,312.9587298,74.43868448,409.6370363,430.8432884,2611.6587,19.75977787,67162.32949,3731.240489,0.870552619,11.82578125,49.27583165,40.61196069,0.090411139,53.69971179,39.47184798
claude_standard_cpp,var,0.907606608,11.60041299,23.72112161,75.43713097,11.94137044,96.3567267,89.76370552,698.9481716,4.313910565,34582.01192,1921.222888,0.232983267,3.54966081,10.43544347,9.128454735,0.046020598,5.628404829,2.708145395
