problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,1,10.0,65.0,89.0,362.0,75.0,451.0,424.67,2809.2,27.85,78225.34,4345.85,0.9364,14.0,54.0,41.0,0.11,54.45,36.18
586C,2,6.0,66.0,81.0,335.0,72.0,416.0,414.44,2566.69,15.23,39083.67,2171.32,0.8556,10.0,50.0,39.0,0.09,54.81,37.72
586C,3,9.0,64.0,72.0,264.0,73.0,336.0,412.53,2079.78,18.56,38605.94,2144.77,0.6933,10.0,37.0,31.0,0.09,57.91,41.21
586C,4,7.0,43.0,62.0,231.0,50.0,293.0,252.98,1653.65,18.8,31092.46,1727.36,0.5512,10.0,33.0,30.0,0.0,42.99,42.99
586C,5,6.0,66.0,81.0,337.0,72.0,418.0,414.44,2579.03,15.32,39506.03,2194.78,0.8597,9.0,53.0,40.0,0.13,56.99,37.29
586C,6,7.0,44.0,61.0,238.0,51.0,299.0,259.87,1696.06,18.93,32109.41,1783.86,0.5654,11.0,39.0,36.0,0.0,41.2,41.2
586C,7,9.0,53.0,69.0,264.0,62.0,333.0,332.11,1982.75,22.42,44443.47,2469.08,0.6609,12.0,40.0,37.0,0.0,40.35,40.35
586C,8,9.0,62.0,101.0,383.0,71.0,484.0,397.69,2976.48,27.8,82741.28,4596.74,0.9922,15.0,53.0,43.0,0.07,50.64,36.05
586C,9,5.0,43.0,63.0,248.0,48.0,311.0,244.94,1736.92,14.42,25044.01,1391.33,0.579,11.0,41.0,38.0,0.0,40.65,40.65
586C,10,8.0,66.0,83.0,330.0,74.0,413.0,422.93,2564.5,20.0,51290.08,2849.45,0.8548,9.0,49.0,36.0,0.14,58.48,38.05
586C,11,9.0,43.0,74.0,262.0,52.0,336.0,261.86,1915.35,27.42,52516.16,2917.56,0.6384,14.0,39.0,36.0,0.0,40.43,40.43
586C,12,5.0,46.0,69.0,298.0,51.0,367.0,265.69,2081.78,16.2,33715.79,1873.1,0.6939,10.0,41.0,34.0,0.0,40.24,40.24
586C,13,8.0,49.0,73.0,297.0,57.0,370.0,299.12,2158.17,24.24,52324.59,2906.92,0.7194,10.0,41.0,34.0,0.03,50.04,40.13
586C,14,8.0,59.0,76.0,297.0,67.0,373.0,371.08,2262.65,20.14,45559.83,2531.1,0.7542,10.0,39.0,30.0,0.09,57.38,40.46
586C,15,8.0,55.0,73.0,267.0,63.0,340.0,341.97,2032.28,19.42,39463.09,2192.39,0.6774,10.0,40.0,34.0,0.06,54.11,40.55
586C,16,5.0,43.0,58.0,229.0,48.0,287.0,244.94,1602.88,13.31,21340.73,1185.6,0.5343,10.0,37.0,34.0,0.0,42.01,42.01
586C,17,8.0,43.0,65.0,251.0,51.0,316.0,257.33,1792.49,23.35,41852.47,2325.14,0.5975,12.0,37.0,34.0,0.0,41.4,41.4
