problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,pass@10,4.0,10.0,8.0,15.0,14.0,23.0,41.22,87.57,3.0,262.71,14.59,0.0292,0.0,33.0,33.0,9.09,68.9,70.38
586C,pass@15,6.0,20.0,20.0,40.0,26.0,60.0,101.95,282.03,6.0,1692.16,94.01,0.094,0.0,48.0,48.0,0.0,43.88,46.17
586C,pass@1,5.0,14.0,11.0,22.0,19.0,33.0,64.91,140.18,3.93,550.71,30.6,0.0467,0.0,29.0,31.0,0.0,51.23,52.44
586C,pass@5,7.0,15.0,15.0,28.0,22.0,43.0,78.25,191.76,6.53,1252.8,69.6,0.0639,0.0,54.0,54.0,0.0,43.54,46.23
586C,pass@12,6.0,17.0,17.0,34.0,23.0,51.0,85.0,230.7,6.0,1384.21,76.9,0.0769,0.0,35.0,35.0,0.0,48.56,49.77
586C,pass@8,4.0,11.0,8.0,16.0,15.0,24.0,46.05,93.77,2.91,272.77,15.15,0.0313,0.0,27.0,27.0,0.0,53.89,54.97
586C,pass@16,6.0,15.0,15.0,29.0,21.0,44.0,74.11,193.26,5.8,1120.92,62.27,0.0644,0.0,34.0,34.0,0.0,49.24,50.58
586C,pass@13,4.0,10.0,7.0,13.0,14.0,20.0,41.22,76.15,2.6,197.98,11.0,0.0254,0.0,28.0,28.0,0.0,53.91,55.26
586C,pass@9,5.0,16.0,15.0,29.0,21.0,44.0,75.61,193.26,4.53,875.72,48.65,0.0644,0.0,31.0,31.0,0.0,50.11,51.46
586C,pass@14,6.0,18.0,16.0,31.0,24.0,47.0,90.57,215.49,5.17,1113.38,61.85,0.0718,0.0,37.0,37.0,10.81,66.52,67.87
586C,pass@6,5.0,13.0,10.0,19.0,18.0,29.0,59.72,120.93,3.65,441.85,24.55,0.0403,0.0,35.0,35.0,0.0,50.39,51.74
586C,pass@11,3.0,12.0,12.0,24.0,15.0,36.0,47.77,140.65,3.0,421.94,23.44,0.0469,0.0,37.0,37.0,0.0,49.54,50.75
586C,pass@7,7.0,17.0,15.0,30.0,24.0,45.0,89.14,206.32,6.18,1274.35,70.8,0.0688,0.0,40.0,40.0,0.0,46.96,48.85
586C,pass@4,5.0,13.0,11.0,21.0,18.0,32.0,59.72,133.44,4.04,538.88,29.94,0.0445,0.0,30.0,31.0,0.0,51.24,52.59
586C,pass@3,4.0,20.0,18.0,36.0,24.0,54.0,94.44,247.59,3.6,891.32,49.52,0.0825,0.0,37.0,37.0,0.0,47.82,49.03
586C,pass@2,7.0,19.0,13.0,26.0,26.0,39.0,100.36,183.32,4.79,877.99,48.78,0.0611,0.0,32.0,32.0,0.0,49.44,51.32
586C,pass@17,10.0,25.0,22.0,42.0,35.0,64.0,149.32,328.27,8.4,2757.5,153.19,0.1094,0.0,43.0,43.0,0.0,44.73,46.75
586C,pass@18,3.0,13.0,9.0,18.0,16.0,27.0,52.86,108.0,2.08,224.31,12.46,0.036,0.0,26.0,28.0,0.0,53.12,54.19
586C,pass@19,5.0,15.0,13.0,26.0,20.0,39.0,70.21,168.56,4.33,730.41,40.58,0.0562,0.0,43.0,43.0,0.0,47.3,48.78
586C,pass@20,6.0,21.0,15.0,31.0,27.0,46.0,107.75,218.72,4.43,968.64,53.81,0.0729,0.0,30.0,30.0,0.0,49.24,51.39
586C,pass@21,5.0,13.0,11.0,22.0,18.0,33.0,59.72,137.61,4.23,582.19,32.34,0.0459,0.0,28.0,28.0,0.0,52.38,53.46
586C,pass@22,5.0,15.0,14.0,28.0,20.0,42.0,70.21,181.52,4.67,847.1,47.06,0.0605,0.0,31.0,31.0,0.0,50.57,51.65
586C,pass@23,5.0,19.0,17.0,34.0,24.0,51.0,92.32,233.83,4.47,1046.1,58.12,0.0779,0.0,38.0,40.0,0.0,46.99,48.47
586C,pass@24,6.0,13.0,11.0,20.0,19.0,31.0,63.62,131.69,4.62,607.78,33.77,0.0439,0.0,43.0,43.0,0.0,47.51,49.53
586C,pass@25,8.0,21.0,16.0,32.0,29.0,48.0,116.24,233.18,6.1,1421.31,78.96,0.0777,0.0,49.0,49.0,0.0,44.0,46.55
586C,pass@26,6.0,18.0,12.0,24.0,24.0,36.0,90.57,165.06,4.0,660.23,36.68,0.055,0.0,28.0,28.0,0.0,51.29,52.9
586C,pass@27,5.0,20.0,22.0,43.0,25.0,65.0,98.05,301.85,5.38,1622.45,90.14,0.1006,0.0,42.0,42.0,0.0,45.75,47.23
586C,pass@28,6.0,13.0,10.0,18.0,19.0,28.0,63.62,118.94,4.15,494.07,27.45,0.0396,0.0,39.0,39.0,17.95,71.64,73.26
586C,pass@29,7.0,22.0,19.0,38.0,29.0,57.0,117.76,276.9,6.05,1674.02,93.0,0.0923,0.0,40.0,40.0,0.0,46.2,47.95
586C,pass@30,6.0,19.0,15.0,30.0,25.0,45.0,96.22,208.97,4.74,989.87,54.99,0.0697,0.0,30.0,32.0,0.0,49.17,50.92
586C,pass@31,5.0,12.0,10.0,19.0,17.0,29.0,54.63,118.54,3.96,469.21,26.07,0.0395,0.0,33.0,33.0,0.0,51.01,52.35
586C,pass@32,6.0,18.0,14.0,28.0,24.0,42.0,90.57,192.57,4.67,898.65,49.93,0.0642,0.0,31.0,31.0,0.0,49.59,51.47
590B,pass@2,5.0,27.0,15.0,30.0,32.0,45.0,139.99,225.0,2.78,625.0,34.72,0.075,1.0,26.0,26.0,0.0,52.26,52.53
590B,pass@1,5.0,27.0,19.0,38.0,32.0,57.0,139.99,285.0,3.52,1002.78,55.71,0.095,3.0,29.0,29.0,0.0,50.37,50.51
590B,pass@4,8.0,47.0,29.0,58.0,55.0,87.0,285.07,502.98,4.94,2482.79,137.93,0.1677,4.0,40.0,40.0,0.0,45.46,45.6
590B,pass@8,5.0,27.0,15.0,30.0,32.0,45.0,139.99,225.0,2.78,625.0,34.72,0.075,3.0,26.0,26.0,0.0,52.26,52.26
590B,pass@3,5.0,27.0,19.0,38.0,32.0,57.0,139.99,285.0,3.52,1002.78,55.71,0.095,3.0,32.0,32.0,0.0,49.44,49.57
590B,pass@5,5.0,27.0,15.0,30.0,32.0,45.0,139.99,225.0,2.78,625.0,34.72,0.075,3.0,27.0,27.0,0.0,51.9,51.9
590B,pass@11,5.0,27.0,19.0,38.0,32.0,57.0,139.99,285.0,3.52,1002.78,55.71,0.095,3.0,30.0,30.0,0.0,50.19,50.19
590B,pass@7,5.0,27.0,19.0,38.0,32.0,57.0,139.99,285.0,3.52,1002.78,55.71,0.095,4.0,28.0,28.0,0.0,50.7,50.7
590B,pass@9,5.0,27.0,19.0,38.0,32.0,57.0,139.99,285.0,3.52,1002.78,55.71,0.095,3.0,30.0,30.0,0.0,50.05,50.19
590B,pass@13,5.0,27.0,19.0,38.0,32.0,57.0,139.99,285.0,3.52,1002.78,55.71,0.095,4.0,29.0,29.0,0.0,50.37,50.37
590B,pass@6,5.0,27.0,21.0,42.0,32.0,63.0,139.99,315.0,3.89,1225.0,68.06,0.105,4.0,26.0,26.0,0.0,51.1,51.1
