problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,pass@1,7.0,22.0,14.0,28.0,29.0,42.0,117.76,204.04,4.45,908.88,50.49,0.068,10.0,35.0,35.0,0.0,48.8,48.8
586C,pass@2,6.0,21.0,12.0,24.0,27.0,36.0,107.75,171.18,3.43,586.89,32.6,0.0571,12.0,36.0,36.0,0.0,48.8,48.8
586C,pass@3,3.0,11.0,6.0,12.0,14.0,18.0,42.81,68.53,1.64,112.14,6.23,0.0228,8.0,33.0,34.0,0.0,52.66,52.66
586C,pass@4,3.0,10.0,5.0,10.0,13.0,15.0,37.97,55.51,1.5,83.26,4.63,0.0185,6.0,25.0,25.0,0.0,56.48,56.48
586C,pass@5,6.0,20.0,14.0,28.0,26.0,42.0,101.95,197.42,4.2,829.16,46.06,0.0658,12.0,37.0,37.0,0.0,48.1,48.1
586C,pass@6,6.0,21.0,14.0,28.0,27.0,42.0,107.75,199.71,4.0,798.82,44.38,0.0666,14.0,41.0,41.0,0.0,46.83,46.83
586C,pass@7,5.0,20.0,13.0,26.0,25.0,39.0,98.05,181.11,3.25,588.61,32.7,0.0604,11.0,33.0,34.0,0.0,49.3,49.3
586C,pass@8,6.0,21.0,13.0,26.0,27.0,39.0,107.75,185.44,3.71,688.78,38.27,0.0618,14.0,43.0,43.0,0.0,46.6,46.6
586C,pass@9,5.0,19.0,11.0,22.0,24.0,33.0,92.32,151.3,2.89,437.98,24.33,0.0504,11.0,35.0,35.0,0.0,49.57,49.57
586C,pass@10,3.0,11.0,7.0,14.0,14.0,21.0,42.81,79.95,1.91,152.64,8.48,0.0267,7.0,25.0,26.0,0.0,54.87,54.87
586C,pass@11,7.0,23.0,16.0,32.0,30.0,48.0,123.69,235.53,4.87,1146.93,63.72,0.0785,16.0,37.0,37.0,0.0,47.03,47.03
586C,pass@12,4.0,12.0,6.0,12.0,16.0,18.0,51.02,72.0,2.0,144.0,8.0,0.024,9.0,28.0,28.0,3.57,65.38,65.38
586C,pass@14,4.0,11.0,7.0,13.0,15.0,20.0,46.05,78.14,2.36,184.69,10.26,0.026,7.0,29.0,30.0,0.0,53.58,53.58
586C,pass@15,6.0,24.0,18.0,35.0,30.0,53.0,125.55,260.07,4.38,1137.79,63.21,0.0867,12.0,41.0,41.0,0.0,46.29,46.29
586C,pass@16,5.0,44.0,19.0,46.0,49.0,65.0,251.82,364.96,2.61,953.86,52.99,0.1217,19.0,34.0,34.0,0.0,46.1,46.1
586C,pass@17,3.0,11.0,7.0,14.0,14.0,21.0,42.81,79.95,1.91,152.64,8.48,0.0267,7.0,25.0,26.0,0.0,54.87,54.87
586C,pass@18,3.0,10.0,6.0,12.0,13.0,18.0,37.97,66.61,1.8,119.89,6.66,0.0222,7.0,27.0,27.0,0.0,55.07,55.07
586C,pass@19,6.0,19.0,12.0,24.0,25.0,36.0,96.22,167.18,3.79,633.52,35.2,0.0557,15.0,42.0,42.0,0.0,47.01,47.01
586C,pass@20,7.0,23.0,16.0,32.0,30.0,48.0,123.69,235.53,4.87,1146.93,63.72,0.0785,11.0,32.0,33.0,0.0,48.79,48.79
586C,pass@21,6.0,19.0,14.0,28.0,25.0,42.0,96.22,195.04,4.42,862.29,47.91,0.065,11.0,35.0,35.0,0.0,48.8,48.8
586C,pass@22,3.0,11.0,7.0,14.0,14.0,21.0,42.81,79.95,1.91,152.64,8.48,0.0267,7.0,26.0,27.0,0.0,54.51,54.51
586C,pass@23,5.0,22.0,15.0,30.0,27.0,45.0,109.72,213.97,3.41,729.44,40.52,0.0713,16.0,46.0,46.0,0.0,45.26,45.26
586C,pass@24,5.0,19.0,11.0,22.0,24.0,33.0,92.32,151.3,2.89,437.98,24.33,0.0504,11.0,37.0,37.0,0.0,49.05,49.05
586C,pass@25,4.0,12.0,7.0,14.0,16.0,21.0,51.02,84.0,2.33,196.0,10.89,0.028,7.0,27.0,27.0,0.0,54.36,54.36
