problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,1,7.0,59.0,67.0,326.0,66.0,393.0,366.73,2375.45,19.34,45938.73,2552.15,0.7918,12.0,54.0,49.0,0.0,36.96,36.96
586C,2,10.0,68.0,90.0,402.0,78.0,492.0,447.17,3092.42,29.56,91408.23,5078.24,1.0308,18.0,63.0,57.0,0.0,33.89,33.89
586C,3,7.0,52.0,62.0,287.0,59.0,349.0,316.07,2053.04,19.32,39659.25,2203.29,0.6843,9.0,46.0,40.0,0.0,39.32,39.32
586C,4,8.0,53.0,60.0,279.0,61.0,339.0,327.58,2010.52,21.06,42334.72,2351.93,0.6702,9.0,46.0,39.0,0.0,39.39,39.39
586C,5,8.0,63.0,67.0,321.0,71.0,388.0,400.57,2386.1,20.38,48631.03,2701.72,0.7954,10.0,52.0,46.0,0.0,37.57,37.57
586C,6,8.0,58.0,67.0,316.0,66.0,383.0,363.76,2315.0,21.79,50451.1,2802.84,0.7717,9.0,53.0,45.0,0.0,37.62,37.62
586C,7,7.0,53.0,61.0,288.0,60.0,349.0,323.23,2061.5,19.02,39207.49,2178.19,0.6872,9.0,46.0,40.0,0.0,39.31,39.31
586C,8,9.0,54.0,62.0,288.0,63.0,350.0,339.29,2092.05,24.0,50209.15,2789.4,0.6973,9.0,47.0,41.0,0.0,39.06,39.06
586C,9,9.0,71.0,85.0,307.0,80.0,392.0,465.16,2478.2,19.46,48220.11,2678.89,0.8261,10.0,55.0,46.0,0.0,36.92,36.92
586C,10,8.0,64.0,72.0,272.0,72.0,344.0,408.0,2122.45,17.0,36081.72,2004.54,0.7075,8.0,49.0,41.0,0.0,38.76,38.76
586C,11,8.0,57.0,58.0,275.0,65.0,333.0,356.47,2005.45,19.3,38701.64,2150.09,0.6685,8.0,48.0,40.0,0.0,39.13,39.13
586C,12,8.0,69.0,69.0,308.0,77.0,377.0,445.49,2362.58,17.86,42184.01,2343.56,0.7875,9.0,51.0,42.0,0.09,54.52,37.92
586C,13,8.0,63.0,64.0,328.0,71.0,392.0,400.57,2410.7,20.83,50203.8,2789.1,0.8036,11.0,52.0,44.0,0.0,37.41,37.41
586C,14,8.0,56.0,64.0,308.0,64.0,372.0,349.21,2232.0,22.0,49104.0,2728.0,0.744,8.0,46.0,40.0,0.0,39.21,39.21
586C,15,8.0,65.0,70.0,267.0,73.0,337.0,415.45,2085.97,16.43,34274.11,1904.12,0.6953,7.0,48.0,42.0,0.0,39.14,39.14
586C,16,9.0,92.0,114.0,507.0,101.0,621.0,628.7,4134.75,24.8,102537.29,5696.52,1.3782,21.0,82.0,69.0,0.08,46.1,30.11
586C,17,9.0,70.0,87.0,322.0,79.0,409.0,457.58,2578.25,20.7,53369.7,2964.98,0.8594,10.0,59.0,51.0,0.0,36.14,36.14
586C,18,8.0,78.0,98.0,358.0,86.0,456.0,514.26,2930.38,18.36,53798.71,2988.82,0.9768,11.0,64.0,52.0,0.07,50.05,34.85
