Period,Count
2020-01-01 to 2020-03-31,583
2020-04-01 to 2020-06-30,789
2020-07-01 to 2020-09-30,924
2020-10-01 to 2020-12-31,1003
2021-01-01 to 2021-03-31,1001
2021-04-01 to 2021-06-30,1350
2021-07-01 to 2021-09-30,1301
2021-10-01 to 2021-12-31,1391
2022-01-01 to 2022-03-31,1386
2022-04-01 to 2022-06-30,1660
2022-07-01 to 2022-09-30,1802
2022-10-01 to 2022-12-31,2003
2023-01-01 to 2023-03-31,1886
2023-04-01 to 2023-06-30,2393
2023-07-01 to 2023-09-30,2467
2023-10-01 to 2023-12-31,2919
2024-01-01 to 2024-03-31,2874
2024-04-01 to 2024-06-30,3842
2024-07-01 to 2024-09-30,3912
2024-10-01 to 2024-12-31,5201
2025-01-01 to 2025-03-31,3913
