variable,ac_frequency,ans_frequency,ref_frequency,increase_ratio
A1,0,2,1,inf
A2,0,2,1,inf
AB_len_sq,0,0,1,inf
ABx,0,0,1,inf
ABy,0,0,1,inf
APx,0,0,1,inf
APy,0,0,1,inf
B1,0,2,1,inf
B2,0,2,1,inf
C1,0,1,1,inf
C2,0,1,1,inf
C3,0,0,1,inf
DAY,0,0,1,inf
GRID_SIZE,0,0,1,inf
H,0,5,1,inf
IMPOSSIBLE,0,0,1,inf
MAX_COORD,0,1,1,inf
MAX_POINT,0,0,1,inf
MAX_SIEVE,0,0,1,inf
MAX_TEMP,0,1,1,inf
MAX_VAL,0,1,1,inf
MAX_X,0,0,1,inf
MIN_COORD,0,0,1,inf
M_pow,0,2,1,inf
NINETY_MIN,0,0,1,inf
NO_STICK,0,0,1,inf
OFFSET,0,0,1,inf
ONE_TRIP,0,0,1,inf
P1,0,1,1,inf
P2,0,2,1,inf
P3,0,1,1,inf
T1,0,1,1,inf
T2,0,1,1,inf
Tiles,0,0,1,inf
a00,0,1,1,inf
a01,0,1,1,inf
a10,0,1,1,inf
a11,0,1,1,inf
a_char,0,0,1,inf
a_coef,0,0,1,inf
a_digits,0,0,2,inf
a_div,0,0,1,inf
a_extended,0,0,1,inf
a_i,0,2,3,inf
a_move,0,1,1,inf
a_no_zero,0,0,1,inf
a_sq,0,0,1,inf
a_total,0,0,1,inf
ab_sq,0,0,1,inf
abbr,0,3,1,inf
accel_time,0,0,1,inf
accident_possible,0,0,1,inf
active_colliders,0,0,1,inf
actors,0,1,1,inf
add_book,0,0,1,inf
add_edge,0,0,1,inf
add_sec,0,0,1,inf
add_top,0,0,1,inf
added_accounts,0,0,1,inf
addition,0,0,1,inf
adil_saving,0,0,1,inf
adil_savings,0,0,1,inf
adj_pos,0,0,1,inf
ai_name,0,1,1,inf
all_nodes,0,0,1,inf
all_ors,0,0,1,inf
all_segments,0,0,1,inf
allowed,0,1,1,inf
allowed_letters,0,0,2,inf
almost_pleased,0,0,1,inf
alpha_rad,0,0,1,inf
alphabet,0,1,1,inf
alternations,0,0,1,inf
amulets,0,1,1,inf
anc,0,1,1,inf
ans_left,0,0,1,inf
ans_right,0,0,1,inf
answers,0,1,2,inf
apocalypse_date,0,1,1,inf
apply_moves,0,0,1,inf
armor,0,0,1,inf
arrival,0,2,2,inf
arrival_time,0,1,1,inf
arrival_times,0,1,1,inf
ascend,0,0,1,inf
ascii_uppercase,0,1,2,inf
asks_in_row,0,0,1,inf
assigned_order,0,0,1,inf
assigned_rod,0,0,1,inf
assigned_set,0,0,1,inf
assigned_weights,0,0,1,inf
at_positions,0,0,1,inf
at_used,0,0,1,inf
athletes,0,0,1,inf
attacked,0,1,1,inf
attacked_by_white,0,0,1,inf
attacked_cols,0,1,1,inf
attacked_rows,0,1,1,inf
attacks_new_knight,0,0,1,inf
avail,0,0,3,inf
available_parts,0,0,1,inf
available_rods,0,0,1,inf
available_women,0,0,1,inf
avg_width,0,0,1,inf
b_allowed,0,0,1,inf
b_char,0,0,1,inf
b_coef,0,0,1,inf
b_digits,0,0,1,inf
b_div,0,0,1,inf
b_extended,0,0,1,inf
b_idx,0,1,1,inf
b_letters,0,0,1,inf
b_move,0,1,1,inf
b_no_zero,0,0,1,inf
b_total,0,0,1,inf
back_count,0,1,1,inf
backtrack,0,7,2,inf
bacteria_count,0,0,1,inf
bad_index,0,0,1,inf
ball,0,0,1,inf
balls,0,1,1,inf
bars,0,1,1,inf
bars_left,0,0,1,inf
base_height,0,0,1,inf
base_length,0,0,2,inf
base_off,0,0,1,inf
base_ptr_count,0,0,1,inf
base_set,0,0,1,inf
base_suffixes,0,0,1,inf
base_time,0,0,1,inf
base_val,0,0,1,inf
base_year,0,0,2,inf
base_years,0,0,1,inf
batches,0,0,1,inf
beats,0,1,1,inf
beauty,0,0,2,inf
bench,0,0,1,inf
bera_saving,0,0,1,inf
bera_savings,0,0,1,inf
best_a,0,1,1,inf
best_b,0,1,1,inf
best_case,0,0,1,inf
best_delta,0,0,1,inf
best_dist,0,1,1,inf
best_index,0,1,1,inf
best_item,0,0,1,inf
best_len,0,0,1,inf
best_pair,0,0,1,inf
best_rank,0,0,1,inf
best_team,0,0,1,inf
best_val,0,0,1,inf
bigger,0,0,1,inf
bijous,0,1,1,inf
binary_search,0,0,2,inf
binary_str,0,1,1,inf
bird_pos,0,0,1,inf
birds,0,1,1,inf
black,0,0,2,inf
black_cells,0,1,1,inf
black_count,0,1,1,inf
block,0,3,3,inf
block_size,0,0,2,inf
blocks,0,3,3,inf
blue_cars,0,0,1,inf
blue_time,0,0,1,inf
board,0,10,2,inf
bonus_left,0,0,1,inf
bonus_points,0,0,1,inf
bonus_val,0,0,1,inf
