variable,ac_frequency,ans_frequency,ref_frequency,increase_ratio
A1,0,1,1,inf
A2,0,1,1,inf
ALPHABET,0,0,1,inf
B1,0,1,1,inf
B2,0,1,1,inf
C1,0,1,1,inf
C2,0,1,1,inf
DOWN,0,0,1,inf
Folder,0,0,1,inf
HEROES,0,0,1,inf
IMPOSSIBLE,0,0,1,inf
MAX_DEPTH,0,0,1,inf
NUM_COMPUTERS,0,0,1,inf
NUM_HEROES,0,0,1,inf
POSSIBLE_NAMES,0,0,1,inf
RIGHT,0,0,1,inf
Solution,0,0,1,inf
TRANSITION_TIMES,0,0,1,inf
Tiles,0,0,1,inf
UPPERCASE_LETTERS,0,0,1,inf
UnionFind,0,3,1,inf
a_asc,0,0,1,inf
a_desc,0,0,1,inf
a_index,0,0,1,inf
a_set,0,1,1,inf
a_unique,0,0,1,inf
a_values,0,0,1,inf
a_words,0,0,1,inf
ab,0,0,1,inf
abbr,0,2,1,inf
abbreviation,0,1,3,inf
abbreviations,0,3,2,inf
accident_possible,0,0,1,inf
activation_code,0,1,1,inf
active_colliders,0,0,1,inf
actor,0,1,1,inf
actors,0,1,1,inf
ad_text,0,1,1,inf
add_box,0,0,1,inf
add_knight_attacks,0,0,1,inf
additional_needed,0,1,1,inf
additions,0,2,1,inf
adil_max_benefit,0,0,1,inf
adil_max_index,0,0,1,inf
adil_second_max_benefit,0,0,1,inf
adil_second_max_index,0,0,1,inf
adj_list,0,12,1,inf
adjective_endings,0,0,1,inf
adjusted_b,0,0,1,inf
adjusted_index,0,0,1,inf
adults,0,0,1,inf
advancers,0,0,1,inf
age,0,1,1,inf
aij,0,0,1,inf
airport_companies,0,0,1,inf
alice_bars,0,1,1,inf
alice_counts,0,0,1,inf
alice_time,0,0,1,inf
alice_unique,0,0,1,inf
all_days,0,0,1,inf
all_distances,0,2,1,inf
all_greater,0,0,1,inf
all_less,0,0,1,inf
all_objects_state,0,0,1,inf
all_primes,0,0,1,inf
all_same_except_min_max,0,0,1,inf
all_scores,0,0,1,inf
all_sums,0,0,1,inf
allowed_characters,0,0,1,inf
almost_prime_count,0,1,1,inf
almost_satisfied,0,1,1,inf
alpha_rad,0,1,1,inf
alphabet,0,3,1,inf
ampersand_count,0,0,1,inf
ans_y1,0,0,1,inf
ans_y2,0,0,1,inf
arg,0,0,1,inf
armor,0,1,1,inf
arr1,0,0,1,inf
arr2,0,0,1,inf
array_element,0,1,1,inf
arrival,0,1,1,inf
arrival_minutes,0,0,1,inf
arrivals,0,1,1,inf
assign_dates,0,0,1,inf
assign_residents,0,0,1,inf
assign_seats,0,0,1,inf
assign_short_names,0,3,1,inf
assigned_dates,0,1,1,inf
assigned_names,0,2,1,inf
assigned_servers,0,0,1,inf
assigned_size,0,0,1,inf
at_least_one_teammate_prob,0,0,1,inf
atk,0,1,1,inf
available_bits,0,0,1,inf
available_chars,0,1,1,inf
available_scrolls,0,0,1,inf
available_seats,0,0,1,inf
available_segments,0,0,1,inf
available_servers,0,0,1,inf
available_sockets,0,0,1,inf
available_steps,0,0,1,inf
b2_squared,0,0,1,inf
b_index,0,0,1,inf
b_unique,0,0,1,inf
b_values,0,0,1,inf
b_words,0,0,1,inf
backtrack,0,3,1,inf
ball,0,1,1,inf
barriers,0,0,1,inf
base_convert,0,0,1,inf
base_count,0,1,1,inf
base_length,0,0,1,inf
base_name,0,0,1,inf
base_pattern,0,0,1,inf
base_x,0,0,1,inf
base_y,0,0,1,inf
basket,0,0,1,inf
baskets,0,1,1,inf
batches_needed,0,0,1,inf
benefit,0,0,1,inf
bera_max_benefit,0,0,1,inf
bera_max_index,0,0,1,inf
bera_second_max_benefit,0,0,1,inf
bera_second_max_index,0,0,1,inf
bessie_moves,0,0,1,inf
bessie_puzzle,0,0,1,inf
best_a,0,0,1,inf
best_b,0,0,1,inf
best_case,0,1,1,inf
