variable,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,slope,r_squared
num_heads,0.0432900432900432,0.0696721311475409,0.0491452991452991,0.0821643286573146,0.075,0.0975143403441682,0.098076923076923,0.1318897637795275,0.139917695473251,0.1546184738955823,0.1919191919191919,0.2097087378640776,0.2610364683301343,0.2362204724409448,0.2865612648221344,0.2742857142857143,0.2881679389312977,0.3076923076923077,0.2886792452830188,0.3043478260869565,0.2673076923076923,0.014771879185611453,0.9320095654570243
embed_dim,0.0367965367965368,0.0368852459016393,0.0299145299145299,0.0621242484969939,0.0479166666666666,0.0783938814531548,0.0846153846153846,0.1161417322834645,0.1172839506172839,0.1184738955823293,0.1616161616161616,0.1825242718446602,0.2207293666026871,0.2066929133858267,0.2430830039525691,0.2228571428571428,0.2404580152671755,0.2701688555347092,0.260377358490566,0.2684310018903592,0.2423076923076923,0.01362736086284972,0.9465552391791586
patch_size,0.0303030303030303,0.0245901639344262,0.0448717948717948,0.0300601202404809,0.0291666666666666,0.0611854684512428,0.0634615384615384,0.0964566929133858,0.1131687242798353,0.1024096385542168,0.1474747474747474,0.1475728155339805,0.2130518234165067,0.171259842519685,0.2193675889328063,0.1809523809523809,0.2404580152671755,0.2363977485928705,0.2490566037735849,0.2646502835538752,0.2173076923076923,0.013075292527751334,0.9276194261065115
head_dim,0.0173160173160173,0.0102459016393442,0.0149572649572649,0.0360721442885771,0.0270833333333333,0.0592734225621414,0.048076923076923,0.0807086614173228,0.0823045267489712,0.0823293172690763,0.1171717171717171,0.1300970873786407,0.1477927063339731,0.1161417322834645,0.1600790513833992,0.16,0.1908396946564885,0.1876172607879924,0.1981132075471698,0.2041587901701323,0.1865384615384615,0.010626917799284161,0.9602618504811146
mlp_ratio,0.0064935064935064,0.0020491803278688,0.0064102564102564,0.0040080160320641,0.0104166666666666,0.02868068833652,0.0269230769230769,0.0610236220472441,0.0699588477366255,0.0602409638554216,0.1171717171717171,0.0990291262135922,0.1381957773512476,0.108267716535433,0.1620553359683794,0.1295238095238095,0.1793893129770992,0.1669793621013133,0.1735849056603773,0.1682419659735349,0.1557692307692307,0.010184758123488551,0.9195574136970734
model_name,0.1558441558441558,0.2131147540983606,0.1816239316239316,0.2545090180360721,0.225,0.2466539196940726,0.2519230769230769,0.2519685039370078,0.2510288065843621,0.2650602409638554,0.2464646464646464,0.2776699029126213,0.2763915547024952,0.2618110236220472,0.2984189723320158,0.3066666666666666,0.3148854961832061,0.3921200750469043,0.3716981132075471,0.4026465028355387,0.4057692307692307,0.010139130325283395,0.8554701596939639
qkv_bias,0.0108225108225108,0.0020491803278688,0.0064102564102564,0.0040080160320641,0.0104166666666666,0.02868068833652,0.0269230769230769,0.0590551181102362,0.0679012345679012,0.0662650602409638,0.1131313131313131,0.1029126213592233,0.1266794625719769,0.1043307086614173,0.1561264822134387,0.1295238095238095,0.1679389312977099,0.1594746716697936,0.1698113207547169,0.1568998109640831,0.1403846153846153,0.009533695362637498,0.9132571016710261
attn_mask,0.0173160173160173,0.0348360655737704,0.0213675213675213,0.0621242484969939,0.0458333333333333,0.0592734225621414,0.0673076923076923,0.0748031496062992,0.074074074074074,0.0903614457831325,0.1212121212121212,0.1359223300970873,0.1573896353166986,0.1259842519685039,0.1521739130434782,0.1809523809523809,0.1469465648854961,0.1707317073170731,0.1886792452830188,0.22117202268431,0.1711538461538461,0.009395353614975085,0.9277105549714304
input_ids,0.0367965367965368,0.0573770491803278,0.0683760683760683,0.1342685370741483,0.0729166666666666,0.1166347992351816,0.1269230769230769,0.0629921259842519,0.0925925925925925,0.1224899598393574,0.109090909090909,0.1398058252427184,0.1209213051823416,0.1633858267716535,0.1304347826086956,0.1942857142857142,0.1908396946564885,0.2326454033771107,0.2037735849056604,0.2589792060491493,0.2403846153846154,0.009230016042775046,0.814699806039705
drop_path_rate,0.0086580086580086,0.0020491803278688,0.0064102564102564,0.0040080160320641,0.0125,0.0248565965583174,0.0269230769230769,0.0629921259842519,0.0679012345679012,0.0582329317269076,0.1131313131313131,0.1029126213592233,0.1381957773512476,0.0984251968503937,0.1403162055335968,0.12,0.1564885496183206,0.1369606003752345,0.1547169811320754,0.1455576559546313,0.1557692307692307,0.009044934035178804,0.915235927365959
drop_path,0.0043290043290043,0.0,0.0064102564102564,0.0040080160320641,0.0104166666666666,0.0305927342256214,0.025,0.0610236220472441,0.0720164609053498,0.0542168674698795,0.105050505050505,0.0932038834951456,0.1305182341650671,0.1003937007874015,0.1403162055335968,0.1085714285714285,0.1507633587786259,0.1444652908067542,0.1509433962264151,0.1512287334593572,0.1461538461538461,0.00894300299562998,0.9249577284882797
in_features,0.08008658008658,0.0655737704918032,0.0897435897435897,0.1302605210420841,0.1291666666666666,0.152963671128107,0.1461538461538461,0.1771653543307086,0.1543209876543209,0.1606425702811245,0.1898989898989899,0.2349514563106796,0.2687140115163148,0.1791338582677165,0.2312252964426877,0.2228571428571428,0.2175572519083969,0.2326454033771107,0.2339622641509434,0.2665406427221172,0.2365384615384615,0.008795793964949545,0.8227129211305865
act_layer,0.0064935064935064,0.0020491803278688,0.0106837606837606,0.0120240480961923,0.0145833333333333,0.0305927342256214,0.0288461538461538,0.0669291338582677,0.0720164609053498,0.0542168674698795,0.109090909090909,0.0990291262135922,0.1228406909788867,0.1122047244094488,0.150197628458498,0.1123809523809523,0.1641221374045801,0.1425891181988743,0.1584905660377358,0.1436672967863894,0.1384615384615384,0.008785091695526524,0.9061600836042364
out_features,0.0844155844155844,0.0655737704918032,0.0918803418803418,0.1222444889779559,0.1291666666666666,0.1548757170172084,0.1326923076923077,0.1850393700787401,0.1584362139917695,0.1566265060240964,0.1878787878787878,0.2407766990291262,0.2571976967370441,0.171259842519685,0.233201581027668,0.219047619047619,0.2080152671755725,0.2382739212007504,0.2283018867924528,0.2627599243856333,0.2403846153846154,0.008667879041502045,0.8151591597261307
attn_drop,0.0064935064935064,0.0061475409836065,0.0128205128205128,0.0080160320641282,0.0145833333333333,0.02868068833652,0.0307692307692307,0.0590551181102362,0.0761316872427983,0.0622489959839357,0.109090909090909,0.1067961165048543,0.1228406909788867,0.0944881889763779,0.1541501976284585,0.1276190476190476,0.1507633587786259,0.148217636022514,0.1509433962264151,0.1379962192816635,0.1365384615384615,0.008601353385975074,0.9029536965071606
d_model,0.0259740259740259,0.055327868852459,0.032051282051282,0.0861723446893787,0.05,0.0936902485659655,0.098076923076923,0.0787401574803149,0.0864197530864197,0.0963855421686747,0.1252525252525252,0.1106796116504854,0.145873320537428,0.155511811023622,0.1640316205533596,0.1904761904761904,0.148854961832061,0.1763602251407129,0.1886792452830188,0.2098298676748582,0.1846153846153846,0.008526837506871946,0.9137244849549245
proj_drop,0.0064935064935064,0.0020491803278688,0.0064102564102564,0.0040080160320641,0.0104166666666666,0.022944550669216,0.025,0.0570866141732283,0.0679012345679012,0.0562248995983935,0.105050505050505,0.1009708737864077,0.1190019193857965,0.0885826771653543,0.1521739130434782,0.12,0.1450381679389313,0.1425891181988743,0.1471698113207547,0.1323251417769376,0.1307692307692307,0.008512366869496264,0.894051737404288
num_patches,0.0108225108225108,0.0061475409836065,0.0128205128205128,0.002004008016032,0.00625,0.0191204588910133,0.0288461538461538,0.0531496062992126,0.0390946502057613,0.0602409638554216,0.0787878787878787,0.0796116504854368,0.1074856046065259,0.0787401574803149,0.1225296442687747,0.1142857142857142,0.1431297709923664,0.1425891181988743,0.1377358490566037,0.1568998109640831,0.1307692307692307,0.008369375589679415,0.933196615781236
