Quarter,CS_Comment_Ratio,NonCS_Comment_Ratio
2020_Q1,0.1323,0.1942
2020_Q2,0.1146,0.1402
2020_Q3,0.1201,0.1724
2020_Q4,0.1557,0.1671
2021_Q1,0.1187,0.1905
2021_Q2,0.1193,0.1758
2021_Q3,0.1302,0.1393
2021_Q4,0.1525,0.1277
2022_Q1,0.1258,0.1749
2022_Q2,0.1230,0.1659
2022_Q3,0.1335,0.1677
2022_Q4,0.1436,0.1543
2023_Q1,0.1329,0.1471
2023_Q2,0.1406,0.1748
2023_Q3,0.1399,0.2127
2023_Q4,0.1520,0.1661
2024_Q1,0.1346,0.1046
2024_Q2,0.1453,0.1351
2024_Q3,0.1373,0.1488
2024_Q4,0.1433,0.1705
2025_Q1,0.1354,0.1420
2025_Q2,0.1290,0.1803
2025_Q3,0.1429,0.1312
