Word,Frequency
the,887475
of,470877
to,382495
a,291266
for,251728
is,217898
in,216650
and,213761
if,116391
with,114180
tensor,113205
this,110286
be,109673
or,100833
model,99437
list,93072
from,84949
x,84691
args,83459
shape,83374
int,80742
default,80054
returns,74291
each,71961
obj,71301
that,70804
optional,67910
input,67579
as,67473
are,67218
torch,64647
not,62215
array,61627
number,60334
data,59677
image,59112
true,57424
by,57084
on,56492
class,56056
n,54891
dict,54605
all,53474
self,52302
it,51103
an,50477
will,49972
used,49251
output,49125
none,46933
we,46635
license,46355
b,45808
return,45557
function,45221
size,45009
str,43823
parameters,43413
c,42861
use,41658
loss,41107
param,40858
ivy,40657
float,38946
file,38276
batch,37878
layer,37676
tuple,37624
s,36724
set,36407
which,35747
bool,35089
false,33961
when,33926
can,33818
config,33107
dataset,32170
y,31713
value,31566
at,31452
training,31150
https,30168
t,30044
type,29553
whether,29125
one,29122
only,28397
sequence,28343
print,27870
w,27716
np,27664
i,27572
should,27218
values,26701
e,26690
method,25817
test,25793
mask,25655
h,25425
see,25199
attention,25169
module,24082
have,23891
name,23547
same,23110
using,22242
you,21963
defaults,21851
org,21743
get,21731
path,21702
weights,21558
under,21469
source,21137
compute,21084
first,20981
feature,20850
index,20753
token,20511
given,20384
k,20247
time,20211
object,20017
labels,19689
has,19613
where,19356
g,19345
any,18898
length,18842
target,18819
arguments,18571
load,18453
string,17881
results,17832
boxes,17761
tokens,17640
level,17441
into,17421
copyright,17259
numpy,17217
ndarray,17144
features,17101
add,16980
images,16972
scale,16895
inputs,16773
forward,16738
models,16727
m,16683
outputs,16460
channels,16407
single,16400
box,16322
layers,16268
must,16244
format,16212
may,15984
d,15930
its,15809
indices,15745
no,15743
head,15738
so,15668
also,15631
code,15487
result,15380
returned,14790
configuration,14763
nn,14757
note,14715
points,14653
dictionary,14507
matrix,14496
after,14451
instance,14409
transformers,14332
but,14280
sample,14028
directory,13955
label,13913
check,13906
then,13877
dimension,13815
weight,13688
out,13545
map,13449
base,13447
arxiv,13357
com,13329
pytorch,13255
containing,13230
classification,12983
create,12781
samples,12777
distributed,12757
key,12747
encoder,12735
last,12678
original,12656
tf,12623
random,12610
example,12560
mean,12541
examples,12529
train,12462
different,12408
without,12199
between,12183
container,12162
import,12091
more,12082
point,12066
padding,12062
axis,11993
block,11949
two,11920
based,11848
specific,11839
new,11807
contains,11654
end,11644
state,11550
network,11485
learning,11407
order,11345
version,11342
specified,11260
save,11231
root,11225
linear,11177
per,11152
scores,11146
case,11101
bbox,11055
step,11051
range,11050
mode,11047
abs,11023
github,11015
over,11002
device,10945
floattensor,10910
log,10814
prediction,10805
than,10802
do,10756
series,10731
hidden,10726
parameter,10714
convert,10708
apply,10691
py,10691
dim,10654
decoder,10622
copy,10549
before,10535
bboxes,10515
current,10473
f,10211
r,10199
truth,10198
update,10192
rate,10166
pretrained,10120
either,10117
embedding,10073
other,9999
corresponding,9972
licensed,9943
language,9914
non,9894
dtype,9827
information,9722
position,9703
keys,9676
make,9635
text,9629
classes,9597
need,9546
multiple,9530
tokenizer,9500
some,9429
here,9411
provided,9356
math,9354
z,9353
passed,9352
ground,9351
required,9337
apache,9313
optimizer,9299
python,9263
width,9241
max,9138
otherwise,9120
len,9065
average,9043
files,8926
like,8916
start,8892
states,8879
ids,8847
id,8830
top,8819
split,8711
run,8672
generate,8654
inc,8633
elements,8624
convolution,8600
factor,8583
initialize,8534
tensors,8393
maximum,8365
conv,8343
element,8328
these,8244
up,8170
score,8167
transform,8141
p,8063
following,8052
found,8043
line,7991
gt,7990
sum,7954
checkpoint,7938
j,7872
calculate,7862
software,7862
positive,7836
channel,7819
masks,7814
embeddings,7801
stride,7782
process,7775
evaluation,7723
multi,7641
height,7634
implementation,7614
l,7606
predictions,7600
instead,7590
second,7538
dropout,7529
build,7501
there,7464
task,7458
epoch,7458
pre,7457
vector,7452
todo,7407
facebook,7386
center,7362
during,7343
anchors,7251
bounding,7199
search,7174
heads,7136
they,7134
normalization,7126
transformer,7109
does,7086
tree,7068
column,7066
http,7051
targets,7026
writing,6981
masked,6972
standard,6960
applied,6959
predicted,6920
was,6912
error,6870
right,6826
left,6811
sequences,6790
kernel,6731
how,6723
pass,6715
rights,6714
call,6696
both,6672
func,6659
coordinates,6571
bias,6571
affiliates,6553
v,6551
memory,6512
argument,6487
info,6485
pdf,6475
activation,6472
zero,6440
norm,6415
gpu,6387
reserved,6338
every,6314
regression,6301
vocabulary,6281
remove,6274
integer,6273
datasets,6259
sentence,6250
computed,6246
instances,6243
softmax,6179
initial,6156
resnet,6140
except,6086
valid,6086
dimensions,6079
iou,6073
space,6068
negative,6005
segmentation,6000
www,5993
proposals,5993
names,5980
json,5977
just,5972
mit,5971
means,5964
objects,5950
gradient,5949
fit,5930
bert,5921
longtensor,5876
paper,5863
settings,5854
them,5851
metrics,5817
trained,5816
testing,5811
logits,5805
computing,5796
ratio,5788
cpu,5744
depth,5727
stage,5721
arrays,5679
params,5650
global,5640
generated,5638
obtain,5628
details,5624
else,5615
basis,5598
options,5598
conditions,5547
distribution,5546
keep,5543
filter,5538
added,5529
total,5501
item,5489
sampling,5483
kwargs,5453
special,5441
threshold,5408
defined,5375
reference,5366
functions,5349
empty,5349
loading,5342
along,5331
kind,5301
want,5295
probability,5279
variable,5269
attentions,5264
window,5257
grid,5251
html,5137
according,5089
contain,5087
graph,5075
support,5056
anchor,5048
plot,5037
query,5030
residual,5030
don,5017
local,5016
next,5011
blocks,4984
such,4981
spatial,4966
ignored,4930
relative,4929
word,4917
licenses,4911
lr,4904
unless,4904
maps,4902
metric,4896
user,4889
uses,4882
their,4873
filename,4867
field,4853
implied,4853
read,4851
now,4842
color,4791
img,4785
q,4770
frame,4769
above,4744
