Variable Name,Frequency
x,62866
model,30493
out,21295
loss,16714
hidden_states,14991
output,13989
outputs,13413
data,11118
args,10289
img,10132
parser,9540
mask,8738
y,7838
logger,7661
result,7089
logits,6949
labels,6918
device,6875
config,6517
batch_size,6086
results,6040
optimizer,5583
inputs,5253
dataset,5240
scores,5004
input_ids,4831
text,4661
image,4652
_base_,4621
h,4599
attention_mask,4455
target,4272
s,4220
tokenizer,4078
features,4034
v,3787
name,3752
label,3677
__all__,3577
res,3439
cfg,3418
k,3410
indices,3339
idx,3274
batch,3166
p,3166
filename,3116
attn,2954
checkpoint,2896
start,2836
m,2803
t,2754
w,2732
residual,2728
n,2644
losses,2634
images,2626
path,2598
end,2596
input_shape,2596
config_and_inputs,2499
tokens,2484
weight,2479
d,2476
q,2469
points,2430
return_dict,2428
net,2411
i,2395
ret,2394
_backends,2386
params,2367
attn_weights,2345
f,2328
a,2309
key,2302
pred,2242
loss_fct,2212
x1,2211
img_norm_cfg,2163
index,2142
state,2120
c,2108
preds,2075
z,2070
boxes,2065
r,2037
value,2015
score,2010
scale,2004
state_dict,1981
input,1968
lr_config,1968
train_pipeline,1937
imgs,1930
test_pipeline,1927
b,1925
metrics,1905
targets,1899
pooled_output,1820
feat,1813
data_root,1813
sequence_output,1811
line,1789
embeddings,1783
msg,1779
attn_output,1769
token_type_ids,1752
runner,1751
df,1729
src,1725
dtype,1723
optimizer_config,1713
masks,1695
weights,1694
position_ids,1690
evaluation,1685
all_hidden_states,1672
bboxes,1660
offset,1644
sample,1638
feature,1635
size,1627
x2,1613
layers,1612
predictions,1604
lines,1577
dataset_type,1577
tmp,1558
padding,1548
train_dataset,1544
lr,1541
transform,1539
tensor,1517
config_class,1493
X,1486
outs,1484
checkpoint_config,1480
alpha,1471
N,1419
shape,1370
encoder,1370
std,1341
pointer,1326
trainer,1313
probs,1301
mean,1290
num_classes,1290
pos,1281
layer_outputs,1272
samples,1251
scheduler,1250
bbox,1241
attentions,1240
env,1226
inds,1222
total_loss,1215
tgt,1212
seed,1211
in_channels,1208
prefix,1208
gt_bboxes,1197
attn_mask,1194
filenames,1193
dist,1182
output_hidden_states,1173
ids,1146
info,1144
B,1140
count,1139
decoder,1139
_,1136
key_states,1135
work_dir,1128
start_time,1121
g,1120
output_dir,1118
value_states,1117
node,1108
temp,1101
stride,1098
module,1098
load_from,1092
attention_scores,1091
layer,1090
model_kwargs,1088
val,1079
acc,1077
values,1073
output_attentions,1066
repr_str,1044
encoder_outputs,1042
downsample,1040
criterion,1039
block,1039
workflow,1031
extended_attention_mask,1019
u,1008
kwargs,998
extension,996
width,996
im,996
query,990
gt_labels,988
feats,986
noise,984
j,973
prediction,968
attention_probs,968
input_mask,965
y1,964
base_model_prefix,962
attention_output,961
log_config,956
sampler,954
files,952
log_level,951
identity,949
norm,945
root,945
token,945
diff,944
l,940
past_key_values,938
decoder_input_ids,936
cls_score,935
ds,933
T,922
words,917
save_path,911
item,906
opt,905
expansion,899
head_mask,899
bbox_pred,891
states,883
vocab,880
inputs_embeds,880
model_type,876
hs,875
feature_extractor,872
context_layer,869
resume_from,869
hidden_features,866
rois,864
dist_params,863
emb,862
obs,853
correct,847
model_path,841
gt,840
train_loader,837
keep,834
kernel,831
encoder_out,827
A,826
keys,826
center,825
eps,821
use_cache,820
num,818
depth,812
all_attentions,811
datasets,810
train_cfg,809
task,804
max_length,802
cls,801
bias,800
inputs_dict,800
test_dataset,791
action,787
world_size,786
fig,784
height,783
context,783
ans,779
names,779
C,778
test_cfg,778
prob,777
anchors,771
G,770
obj,770
writer,769
cmd,767
dim,766
color,766
total,760
R,759
examples,758
model_name,753
proposals,744
classes,740
train,737
class_names,729
processor,728
word,727
grad,726
length,725
mode,725
seq_length,724
eval_dataset,723
_keys_to_ignore_on_load_missing,723
x0,722
dataloader,718
cache_dir,717
sentence,717
key_layer,715
total_epochs,714
file_name,711
value_layer,708
data_loader,707
train_dataloader,700
url,697
paths,695
src_tokens,694
ref,687
test,686
norm_layer,685
_CONFIG_FOR_DOC,682
ax,681
step,676
attns,676
rank,675
y2,674
K,673
st,672
xs,668
offsets,668
metric,662
hyps,662
delta,661
self,661
sample_size,659
frames,652
expected_shape,651
lengths,648
theta,642
meta,638
positions,637
decoder_out,637
layer_output,634
shortcut,631
x_sp_amp,629
query_states,626
pos_inds,626
stats,625
dx,623
precision,619
data_path,619
grid,618
prediction_scores,617
ind,614
ratio,607
coords,607
loader,604
texts,603
bbox_results,602
trial_copy,602
array,599
scale_factor,599
formatter,595
group,593
dataset_name,591
table,590
tot_loss,589
beta,589
hyp_tokens,589
file_path,586
xyz,586
