Variable Name,Projects Count
x,823
parser,805
args,787
model,783
loss,764
data,663
out,631
device,624
output,622
mask,598
optimizer,596
y,594
batch_size,541
dataset,528
n,483
labels,480
img,478
result,472
k,470
res,464
outputs,460
idx,458
v,451
t,446
p,441
i,437
s,437
logger,434
target,432
h,431
pred,430
label,414
w,410
indices,405
path,404
m,404
d,400
name,395
a,389
index,388
config,383
results,382
b,381
r,372
c,369
f,368
checkpoint,367
image,366
state_dict,365
inputs,364
q,363
filename,360
layers,356
x1,355
scale,354
end,352
start,348
mean,337
logits,329
alpha,321
z,321
N,318
x2,318
lr,316
std,313
batch,313
weight,312
features,312
params,310
images,309
shape,308
scores,305
lines,304
__all__,303
size,301
key,299
value,296
weights,294
start_time,293
count,285
score,281
B,278
losses,276
tmp,273
scheduler,271
ret,271
train_loader,270
width,268
input,268
norm,261
criterion,260
u,259
seed,259
padding,257
sample,253
acc,252
j,252
offset,251
pos,249
df,248
g,248
values,247
cfg,246
train_dataset,245
attn,245
targets,243
l,241
text,237
val,237
msg,236
eps,235
diff,234
dim,232
transform,231
save_path,227
keys,226
tensor,226
metrics,224
trainer,222
state,222
root,219
preds,218
noise,217
stride,217
line,217
temp,212
files,211
grid,211
correct,208
bs,207
residual,207
y1,206
writer,205
height,204
sampler,203
dist,203
dtype,203
delta,203
step,202
names,199
samples,198
kwargs,198
expansion,197
X,196
rank,194
num_classes,193
ax,193
total,192
num,192
tokens,191
output_dir,190
info,190
layer,189
qkv,188
x0,186
file_name,185
model_name,185
opt,185
model_path,184
tokenizer,184
fig,183
imgs,182
prefix,182
bias,181
block,180
epoch,179
C,178
coords,178
mode,177
cnt,177
sigma,176
classes,176
file_path,175
net,175
ratio,174
test_loader,173
masks,173
world_size,173
url,173
color,173
A,172
length,172
T,170
dataloader,169
_,169
module,168
predictions,168
feat,168
in_channels,168
left,167
query,167
ids,164
prob,164
colors,162
identity,162
gt,162
precision,162
out_features,161
K,160
total_loss,160
center,160
H,159
im,159
row,158
points,157
norm_layer,157
R,157
D,156
y2,156
img_path,156
formatter,154
x3,153
pad,153
header,153
split,152
M,152
data_loader,152
img_size,150
conv,150
kernel,150
L,149
loader,148
context,147
theta,147
head_dim,147
item,147
probs,146
recall,145
gamma,144
W,144
xs,144
beta,144
src,144
test_dataset,143
emb,143
dx,141
channels,141
P,140
feature,140
file,140
dataset_name,140
val_loader,139
ind,139
out_channels,139
distance,139
save_dir,138
mu,138
obj,138
data_path,138
num_samples,138
buffer,138
depth,137
t1,136
outs,136
input_shape,136
response,136
grad,135
fn,135
meta,135
e,135
input_ids,133
ckpt,133
__version__,133
prediction,132
paths,131
parameters,131
downsample,129
factor,129
feats,129
content,129
ds,129
val_dataset,128
var,128
log,127
splits,127
area,127
order,126
metadata,126
tp,126
threshold,126
transforms,126
hidden_features,126
patch_size,126
pool,125
datasets,125
stats,125
bbox,124
start_epoch,124
message,124
blocks,124
union,123
dpr,123
version,123
iou,122
prompt,122
counts,121
angle,121
metric,121
modules,120
rows,120
match,120
data_time,120
start_idx,119
arr,119
attention_mask,119
S,119
lr_scheduler,119
dy,118
kernel_size,118
fp,118
parts,118
counter,118
num_workers,117
right,117
o,117
image_size,116
flag,115
valid,115
token,114
groups,114
ch,114
mlp_hidden_dim,113
num_patches,113
embeddings,112
idxs,112
attn_mask,112
inds,111
total_time,111
t2,111
fmt,111
table,110
image_path,110
