File Name,Frequency
__init__,11996
utils,1607
train,616
setup,468
model,429
main,393
base,327
config,311
test,284
builder,236
generate,231
dataset,227
misc,207
metrics,205
util,203
logger,196
resnet,185
trainer,184
loss,161
transforms,151
common,150
data,145
inference,143
transformer,135
build,133
losses,128
eval,124
models,117
constants,116
conf,116
run,112
registry,108
dataloader,103
tool,98
attention,97
evaluate,94
layers,90
datasets,87
data_utils,86
modules,85
vit,82
pretrained,82
test_utils,81
_config,78
benchmark,77
version,74
conftest,70
tokenizer,68
decoder,63
evaluator,63
base_model,62
preprocess,61
optimizer,61
predict,61
evaluation,59
networks,59
logging,59
app,57
demo,57
unet,57
env,56
lr_scheduler,56
ema,56
asr_datamodule,55
decode,53
distributed,53
helpers,52
transform,52
sampler,52
cityscapes,52
_utils,52
mlp,50
tools,50
model_utils,49
activations,49
finetune,48
encoder,48
checkpoint,48
default_runtime,48
core,47
api,47
dist_utils,46
infer,45
conversation,45
blocks,44
export,44
vgg,44
io,42
coco,42
train_net,42
random,41
optim,41
download,40
data_loader,40
learner,40
metric,39
backbone,39
norm,39
loading,39
plot,39
eval_utils,39
wrappers,38
visualtester,38
training,37
conv,37
ops,37
collect_env,37
engine,35
predictor,35
__main__,34
module,34
base_dataset,34
position_encoding,34
net,34
distillation,34
val,34
example,33
functions,33
imagenet,33
dataset_utils,33
factory,32
visualizer,32
options,32
sample,32
parser,31
classification,31
fpn,31
scheduler,31
distributions,31
dataset_wrappers,31
prepare_dataset,31
sampling,30
matcher,30
swin,30
loader,30
retrain,30
pipeline,29
generator,29
custom,29
clip,29
defaults,29
formating,29
image,29
auxils,29
bad_distillation,29
dp_train,29
innovative_mi_multiimg,29
innovative_mi_singleimg,29
mia_forget_label,29
mia_forget_logit,29
mia_whole,29
sparisification,29
trivial_mi,29
ds_condensation_imrpvDM,29
modular_forgetting,29
offline_training,29
post_preprocedure,29
pre_procedure,29
pipeline_output,29
callbacks,28
visualize,28
convert,28
accuracy,28
modeling_llama,28
cli,27
configs,27
train_utils,27
test_config,27
upfirdn2d,27
prompts,27
utility,26
stat,26
file_utils,26
ms_deform_attn,26
run_qa,26
arguments,26
overture_to_proposed,26
task,25
plotting,25
preprocessing,25
memory,25
se_layer,25
visualization,25
streaming_decode,25
beam_search,25
browse_dataset,25
augment,25
params,25
randaugment,25
sam,25
lpips,25
utils_qa,25
textual_inversion,25
samplers,25
unlearn_relative_methods,25
focal_loss,24
autoencoder,24
network,24
general,24
server,24
voc,24
cross_entropy_loss,24
analyze_logs,24
torch_utils,24
mm_utils,24
clip_encoder,24
prompt,24
pico,24
encoders,23
nn,23
vision_transformer,23
vqa,23
pascal_context,23
eval_hooks,23
client,23
optimization,23
launch,23
lora,23
agent,22
analysis,22
layer,22
swin_transformer,22
chat,22
retrieval,22
ade20k,22
drive,22
print_config,22
publish_model,22
configuration_utils,22
llava_arch,22
ms_deform_attn_func,22
get_flops,22
openaimodel,22
image_encoder,22
amg,22
timer,22
comm,22
run_glue,22
safety_checker,22
features,21
cdr,21
discriminator,21
functional,21
adapter,21
jit_pretrained,21
pretrain,21
chase_db1,21
hrf,21
distributed_sampler,21
stare,21
encoder_decoder,21
embed,21
make_divisible,21
diffusion,21
classifier,21
mobilenet_v2,21
chia,21
default,20
augmentation,20
vae,20
fuse_conv_bn,20
scaling,20
compose,20
inverted_residual,20
res_layer,20
convnext,20
efficientnet,20
glue,20
squad,20
modeling_utils,20
testing_utils,20
hubconf,20
llava_llama,20
controller,20
llama_flash_attn_monkey_patch,20
ddim,20
weight_init,20
resnext,20
chemprot,20
medm,20
ncbi,20
segmentation,19
parallel,19
subsampling,19
experiment,19
zipformer,19
hifigan,19
testing,19
loss_utils,19
pos_embed,19
extractor,19
resnest,19
embeddings,18
creation,18
manipulation,18
statistical,18
profiler,18
hrnet,18
onnx_pretrained,18
test_time_aug,18
decode_head,18
encoding,18
generation,18
make_delta,18
coco_instance,18
ddpm,18
fp16_util,18
deform_conv,18
image_utils,18
box_ops,18
run_ner,18
import_utils,18
masking,18
eva_vit,18
overfitting_metric,18
unlearning_metric,18
_version,17
text,17
bert,17
linear,17
regnet,17
normalization,17
solver,17
linear_algebra,17
model_worker,17
class_names,17
joiner,17
text_encoder,17
validate,17
path,17
simple_tokenizer,17
mask_rcnn_r50_fpn,17
resample,17
quantize,17
alexnet,17
load_data,17
drop,17
roi_align,17
args,17
Qformer,17
gradcam,17
types,16
test_model,16
normalize,16
retinanet,16
espnet_model,16
elementwise,16
hub,16
template,16
speculative,16
coco_panoptic,16
dice_loss,16
scaling_converter,16
export-onnx,16
encoder_interface,16
dist,16
criterion,16
dist_util,16
dependency_versions_check,16
dependency_versions_table,16
modeling_flax_utils,16
dummy_flax_objects,16
dummy_pt_objects,16
apply_delta,16
llava_trainer,16
train_mem,16
h3dnet,16
parta2,16
votenet,16
schedule_2x,16
