Variable Name,Frequency
x,61385
model,19066
out,18291
img,10727
loss,10630
output,9203
data,8612
mask,8005
args,7874
hidden_states,7100
h,6892
parser,6372
y,6262
outputs,6171
result,6045
image,5883
device,5082
labels,5048
dataset,4897
results,4538
logger,4449
_base_,4288
batch_size,4070
text,3858
res,3827
optimizer,3754
config,3598
label,3462
attn,3398
v,3367
k,3365
target,3258
s,3248
t,3248
scores,3234
logits,3124
name,3086
cfg,3045
w,2929
indices,2923
f,2883
__all__,2836
points,2788
ret,2778
q,2679
p,2659
z,2652
inputs,2641
features,2640
idx,2622
pred,2568
input,2555
value,2549
n,2419
state_dict,2403
c,2389
x1,2383
images,2357
checkpoint,2350
losses,2334
r,2331
path,2297
m,2248
i,2223
d,2191
a,2105
attention_mask,2087
index,2080
weight,2074
b,2028
filename,1983
key,1910
start,1866
input_ids,1855
scale,1804
layers,1784
end,1775
feat,1764
sample,1720
state,1719
x2,1671
transform,1659
net,1624
imgs,1603
residual,1588
msg,1580
batch,1571
score,1531
alpha,1493
masks,1484
outs,1469
tensor,1462
weights,1456
noise,1450
lines,1442
tokenizer,1438
bboxes,1437
tokens,1419
df,1412
offset,1410
boxes,1405
tmp,1386
size,1386
targets,1352
N,1348
_backends,1344
params,1339
layer,1337
input_shape,1315
metrics,1290
lr,1287
test_pipeline,1267
predictions,1264
shape,1256
mean,1252
grid,1245
preds,1239
padding,1230
gt_bboxes,1227
line,1222
train_pipeline,1221
std,1206
attn_weights,1194
query,1192
emb,1190
pos,1189
prompt,1181
im,1176
dtype,1170
bbox,1166
return_dict,1157
info,1153
start_time,1147
val,1129
in_channels,1112
feats,1110
response,1097
values,1089
stride,1080
count,1077
gt_labels,1076
dist,1062
train_dataset,1056
num_classes,1050
attn_output,1048
identity,1012
width,1004
block,1004
g,1003
B,1001
samples,999
scheduler,997
acc,995
X,984
src,984
attn_mask,981
loss_fct,975
u,964
embeddings,953
runner,953
context,948
position_ids,941
action,931
seed,921
j,919
color,910
keys,909
temp,908
inds,901
_,901
criterion,894
y1,891
flag,879
sampler,876
opt,872
lr_config,865
module,856
kernel,856
self,846
norm_layer,835
gt,831
save_path,825
url,822
trainer,821
data_root,803
A,799
file_name,798
model_kwargs,793
all_hidden_states,791
total_loss,789
norm,786
obs,785
env,783
dataset_type,783
R,782
repr_str,781
class_names,779
height,777
l,774
kwargs,771
eps,770
expansion,769
img_norm_cfg,761
pooled_output,757
op,757
files,752
train_dataloader,748
downsample,747
sequence_output,743
timesteps,743
dim,737
ax,736
center,735
bias,735
cls_score,735
prefix,734
train_loader,733
bbox_pred,731
tgt,730
root,729
coords,725
world_size,718
content,718
optimizer_config,715
mode,714
qkv,713
rank,704
conv,703
ids,699
file_path,698
diff,695
model_name,691
item,691
classes,687
fig,681
new_features,680
num,680
depth,678
model_args,676
colors,669
names,665
length,658
dx,652
xs,647
new_k,646
data_path,645
x0,644
probs,644
K,642
buffer,638
prob,637
C,634
message,630
rois,630
attention_scores,626
prediction,624
writer,624
ap,616
T,614
bs,613
step,611
xyz,610
data_preprocessor,610
sigma,607
words,605
H,601
delta,600
dataset_name,598
crop_size,598
task,594
grad,589
evaluation,586
cnt,585
model_path,584
key_states,584
output_dir,583
M,582
total,579
value_states,579
y2,578
ds,577
anchors,575
output_hidden_states,575
ratio,572
loader,570
word,568
test_stats,568
obj,566
img_metas,565
config_class,564
iou,559
correct,558
theta,556
data_loader,556
img_path,553
use_cache,552
layer_outputs,551
token_type_ids,549
expected_tensor,549
metric,548
meta,547
frames,544
context_layer,544
keep,542
feature,542
o,541
out_channels,539
ch,536
shortcut,535
question,532
e,531
log,531
precision,528
test_dataset,527
dataloader,527
caption,527
extended_attention_mask,526
bbox_results,526
embedding,525
x3,524
latents,519
pad,518
img_size,518
paths,518
inputs_embeds,518
D,517
token,516
dims,516
gt_bboxes_3d,511
head_dim,510
row,508
arr,508
output_attentions,508
epoch,505
optim_wrapper,505
cls,502
sp,500
table,500
test_loader,498
W,497
attention_output,495
left,494
model_type,493
head,492
header,491
assign_result,491
split,490
transcription,490
x_out,489
t1,487
pos_embed,486
image_path,485
encoder,483
rgb,483
pointer,482
proposals,480
backbone,479
lr_scheduler,479
image_features,479
order,478
positions,478
tp,477
example,477
num_patches,477
pos_inds,477
graph,475
kernel_size,474
seg,473
test_dataloader,471
ious,471
pattern,471
scale_factor,470
train_cfg,470
val_dataloader,469
stats,467
y_pred,466
inp,464
attention_probs,464
ref,464
betas,464
datasets,462
data_dir,461
new_key,458
hs,455
