Skipped LLM_code/arxiv_dataset/2023/Q4/EEG_Riemannian/code/load_data.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2023/Q1/DAIR/CMNIST/main.py: unindent does not match any outer indentation level (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2023/Q3/Generative_MLZSL/evaluate.py: expected an indented block after 'with' statement on line 84 (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2023/Q3/CDistNet/utils/Evaluation_TextRecog/rrc_evaluation_funcs.py: multiple exception types must be parenthesized (<unknown>, line 306)
Skipped LLM_code/arxiv_dataset/2023/Q2/SEE-MTDA/detector/pcdet/datasets/kitti/kitti_object_eval_python/evaluate.py: invalid syntax (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q2/full_body_anonymization/dnnlib/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/full_body_anonymization/dnnlib/util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/full_body_anonymization/torch_utils/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/full_body_anonymization/torch_utils/ops/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q2/full_body_anonymization/torch_utils/persistence.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/unilm/edgelm/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/luckmatters/ssl/real-dataset/relu_2layer.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 148)
Skipped LLM_code/arxiv_dataset/2025/Q1/Auto-NBA/utils.py: invalid syntax (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2022/Q4/Pose2Drone/openpose_ros.py: unmatched ')' (<unknown>, line 155)
Skipped LLM_code/arxiv_dataset/2022/Q4/NeuralSpeech/FastCorrect/eval_aishell.py: invalid syntax (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2022/Q4/NeuralSpeech/FastCorrect2/eval_aishell_nbest.py: invalid syntax (<unknown>, line 54)
Skipped LLM_code/arxiv_dataset/2022/Q4/LARO/main_test_pmask.py: unexpected indent (<unknown>, line 157)
Skipped LLM_code/arxiv_dataset/2022/Q4/DeepRectangling/Codes/tensorDLT_local.py: 'utf-8' codec can't decode bytes in position 5989-5990: invalid continuation byte
Skipped LLM_code/arxiv_dataset/2022/Q4/DeepRectangling/Codes_for_Arbitrary_Resolution/tensorDLT_local.py: 'utf-8' codec can't decode bytes in position 5989-5990: invalid continuation byte
Skipped LLM_code/arxiv_dataset/2022/Q4/OFA/fairseq/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q4/POLAR_Tool/POLAR/neuralnetwork.py: cannot assign to attribute here. Maybe you meant '==' instead of '='? (<unknown>, line 652)
Skipped LLM_code/arxiv_dataset/2022/Q4/DeMFI/utils.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 271)
Skipped LLM_code/arxiv_dataset/2022/Q4/c19/My_covnet2.py: invalid syntax (<unknown>, line 7)
Skipped LLM_code/arxiv_dataset/2022/Q1/crabs/run/main.py: invalid syntax (<unknown>, line 438)
Skipped LLM_code/arxiv_dataset/2022/Q1/BBEA/xoa/rest_client/httplib2/__init__.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 704)
Skipped LLM_code/arxiv_dataset/2022/Q1/gansformer/dnnlib/util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
