Variable Name,Frequency
x,30320
model,16332
dataset_path,12435
out,10977
positives,10582
negatives,10556
cross_product,10526
loss,6817
df,5931
output,5507
instances,5338
_base_,5323
outputs,5310
negative,5289
positive,5288
samples_list,5274
fil,5265
idendities,5263
img,5246
data,5074
hidden_states,4398
args,4006
mask,3867
parser,3417
y,3396
results,3326
labels,3218
id,3043
optimizer,2965
result,2829
h,2636
config,2623
device,2613
batch_size,2527
logger,2367
dataset,2326
image,2219
scores,2170
logits,2022
__all__,1947
target,1839
inputs,1835
attn,1637
s,1601
name,1531
label,1528
input_ids,1464
cfg,1434
indices,1425
res,1424
idx,1408
net,1386
features,1383
attention_mask,1377
bboxes,1374
k,1368
w,1365
transform,1352
v,1344
n,1332
p,1320
text,1306
runner,1269
checkpoint,1268
imgs,1262
train_pipeline,1256
points,1256
losses,1247
filename,1243
lr_config,1236
img_norm_cfg,1228
t,1226
feat,1226
tokenizer,1218
test_pipeline,1191
pred,1187
i,1168
_backends,1157
m,1150
x1,1143
weight,1133
path,1119
gt_bboxes,1108
batch,1086
model_kwargs,1077
d,1075
state_dict,1055
input_shape,1011
optimizer_config,1003
outs,986
index,985
c,980
images,978
f,973
layers,962
z,960
q,958
evaluation,941
end,941
a,939
input,928
ret,924
start,915
score,915
r,899
metrics,897
gt_labels,890
x2,889
dataset_type,878
residual,877
config_and_inputs,864
model_args,862
data_root,855
b,850
lr,848
value,842
params,831
state,817
bbox,810
boxes,808
num_classes,801
tmp,792
padding,780
scale,770
masks,770
block,750
bbox_pred,748
alpha,747
weights,734
identity,723
targets,720
checkpoint_config,713
rois,713
return_dict,711
inds,710
stride,700
loss_fct,693
size,692
offset,689
tokens,685
key,684
cls_score,673
temp,672
line,659
msg,658
downsample,653
g,649
preds,648
sample,646
attn_weights,645
N,644
response,641
repr_str,636
tensor,635
pooled_output,632
dtype,628
token_type_ids,616
train_dataset,612
shape,606
lines,600
_,596
feats,591
layer,590
expansion,588
anchors,588
y1,580
in_channels,580
acc,579
work_dir,579
embeddings,576
trainer,570
sequence_output,564
width,555
mean,554
count,539
info,539
bbox_results,530
B,524
attn_mask,524
std,522
all_hidden_states,522
scheduler,512
pos_inds,511
gt,509
src,509
assign_result,502
norm_layer,500
workflow,499
opt,497
x_out,496
env,494
X,493
classes,492
predictions,492
self,480
probs,480
crop_size,479
l,479
im,475
position_ids,475
scale_factor,472
criterion,469
pos,469
y2,465
gt_bboxes_ignore,462
config_class,460
input_size,455
num_imgs,453
ids,449
bias,448
j,445
seed,444
img_shape,444
mask_pred,444
files,443
kwargs,442
model_name,441
values,439
rank,437
diff,432
shortcut,430
val,427
prefix,426
train_cfg,425
start_time,424
img_metas,424
sampler,424
total_loss,423
noise,423
height,421
tgt,421
depth,420
data_loader,419
norm_cfg,414
pointer,405
load_from,404
A,402
save_path,402
encoder,401
module,399
output_dir,399
grad,398
K,397
test_cfg,396
root,395
correct,395
color,395
bbox_targets,395
u,394
samples,393
flag,392
action,392
raw_masks,391
attention_scores,389
dist,386
train_loader,386
feature,386
loss_cls,385
head,385
mode,384
keep,383
keys,382
center,380
attentions,380
attn_output,377
eps,376
num,374
log_config,370
layer_outputs,369
R,367
proposals,366
x0,365
xs,364
names,363
ious,360
proposal_list,357
grid,354
extended_attention_mask,354
gt_masks,351
query,351
cls,351
log_level,349
url,348
C,348
resume_from,347
norm,347
kernel_size,345
test_dataset,343
fig,342
world_size,340
head_mask,340
input_mask,340
reference_x,340
obs,339
fp16,338
left,338
ds,338
featmap_sizes,337
total,333
lines_test,333
label_weights,332
delta,330
writer,329
xyz,327
dist_params,324
loader,324
dim,323
accuracy,320
context_layer,320
file,316
attention_probs,316
lines_valid,315
output_hidden_states,315
ap,314
encoder_outputs,313
context,312
attention_output,310
cnt,308
inputs_embeds,306
dataset_name,303
template,303
req,302
kernel,301
angle,300
iou,299
file_name,298
loss_bbox,296
pbar,295
conv,294
ratio,293
dataloader,292
ax,291
decoder_input_ids,291
coords,290
step,290
emb,290
ind,289
extension,289
H,289
num_points,288
bs,288
datasets,286
task,286
T,283
out_channels,283
output_size,282
feature_extractor,282
item,281
new_features,281
base_model_prefix,279
model_type,278
token,275
output_attentions,275
order,274
img_path,274
length,273
ys,273
e,273
class_names,271
seg,271
inputs_dict,270
new_k,269
backbone,269
word,269
num_channels,268
beta,267
save_dir,267
mask_results,265
examples,265
img_size,265
data_preprocessor,265
tmp_dir,264
dilation,264
model_path,263
vocab,263
new_key,261
total_epochs,260
fp,260
denom,260
seq_length,260
sentence,258
header,257
theta,257
file_path,257
assigned_labels,255
data_path,255
start_epoch,255
point_cloud_range,255
tp,254
patch_size,254
key_layer,254
area,253
gamma,253
cmd,253
key_states,253
value_states,253
use_cache,252
reward,251
neg_inds,250
num_pos,250
value_layer,250
union,249
precision,249
lam,248
hs,248
pool,248
eval_results,248
table,248
qkv,248
decoder,248
sigma,247
max_length,247
CLASSES,246
rng,245
D,245
split,245
voxel_size,245
all_attentions,245
flops,242
dx,241
M,241
ckpt,240
flip,239
valid,238
metric,238
W,237
find_unused_parameters,236
image_size,236
message,236
gt_boxes,236
epoch,235
img_id,235
frame,235
data_dict,234
top,233
cls_feat,233
bbox_weights,233
default_cfgs,233
stats,231
offsets,231
out_features,231
num_patches,230
error,230
fn,229
x_,229
head_dim,229
expected_shape,229
x3,228
content,228
pattern,228
groups,227
group,227
array,227
defaults,226
inp,225
processor,225
tgt2,225
colors,220
meta,220
annotations,220
step_size,219
prediction_scores,219
branch_1,219
words,218
pad,217
lr_scheduler,216
num_samples,216
dims,216
done,215
pos_embed,214
img2,214
obj,214
eval_dataset,214
train_loss,213
prob,213
global_step,213
lines_train,213
factor,212
right,212
sampling_result,212
dpr,212
relative_position_bias,212
t1,212
mlvl_scores,211
skip,210
cache_dir,210
overlaps,209
_keys_to_ignore_on_load_missing,209
cls_scores,208
metadata,208
shifted_x,207
embedding,207
ref,207
frames,207
distance,206
parameters,206
train_dataloader,206
annos,206
prediction,205
test_loader,205
progress,204
img1,204
layer_output,204
bitmap_masks,203
reduction,203
normalize,203
actions,203
reg_feat,202
label_list,202
img_list,202
recall,202
val_loss,201
bbox_preds,200
box,200
det_bboxes,199
plugins,199
L,199
positions,199
val_dataset,196
blocks,196
optim_wrapper,196
threshold,195
transforms,194
o,194
parts,193
sp,193
arr,193
mask_rois,191
var,190
drop_info,190
