Skipped LLM_code/arxiv_dataset/2023/Q4/ChatGPT-MBTI/Query_InsturctGPT.py: unindent does not match any outer indentation level (<unknown>, line 123)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Estimation/tests/og_gtsam_methods.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Estimation/tests/test_gtsam01.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2023/Q4/pbal/src/Modelling/modular_barrier_controller.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 152)
Skipped LLM_code/arxiv_dataset/2023/Q4/CVTNet/train/train_seqcvt.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/sGLMM/model/helpingMethods.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2023/Q1/sGLMM/model/sGLMM.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 35)
Skipped LLM_code/arxiv_dataset/2023/Q1/sGLMM/runsGLMM.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2023/Q1/sGLMM/utility/dataLoader.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2023/Q1/CRI/run_ds_offset_centroids_stage_inversion.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 102)
Skipped LLM_code/arxiv_dataset/2023/Q1/easyrobust/examples/attacks/transaudio/espnet/egs2/TEMPLATE/asr1/pyscripts/feats/feat-to-shape.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/easyrobust/examples/attacks/transaudio/espnet/egs2/TEMPLATE/asr1/pyscripts/utils/get_yaml.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/easyrobust/examples/attacks/transaudio/espnet/egs2/TEMPLATE/diar1/pyscripts/utils/get_yaml.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/easyrobust/examples/attacks/transaudio/espnet/egs2/TEMPLATE/diar1/pyscripts/utils/print_args.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/Flood_Mapping_Feature_Space_Importance/src/multipipeline.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/GCNet/baseline-mmin/preprocess/tools/denseface/densenet.py: invalid syntax (<unknown>, line 114)
Skipped LLM_code/arxiv_dataset/2023/Q1/GCNet/baseline-mmin/preprocess/tools/denseface/densenet_train.py: invalid syntax (<unknown>, line 8)
Skipped LLM_code/arxiv_dataset/2023/Q1/SFAGC/classification/SFAGC_cls/GraphPool_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/SFAGC/classification/SFAGC_cls/pointnet2_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/SFAGC/segmentation/SFAGC_seg/GraphPool_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/SFAGC/segmentation/SFAGC_seg/pointnet2_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/SFAGC/segmentation/existing_methods/pointASNL_part_seg/ASNL_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/SFAGC/segmentation/existing_methods/pointASNL_part_seg/pointnet2_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/cartographer_sync_markers_gt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/ethzasl_icp_mapper_sync_gt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 43)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/evaluate_ate.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 153)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/extract_rgbd.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 7)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/extract_scans.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 7)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/extract_stereo.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 7)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/filterBagOdomTF.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 11)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/filterBagTF.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 11)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/slam_karto_sync_markers_gt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 47)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/jfr2018/sync_path_gt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 42)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/tests/test_prior_rename_kinect_bag_tf.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 14)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/launch/tests/test_prior_tf_to_pose.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 18)
Skipped LLM_code/arxiv_dataset/2023/Q1/region-learner/rtabmap_ros/scripts/gazebo_ground_truth.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2023/Q1/SMC-Bench/Commonsense_Reasoning/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/Rote-DA/downstream/OpenPCDet/pcdet/datasets/kitti/kitti_object_eval_python/evaluate.py: invalid syntax (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q1/LoFT/LoFT_framework/fairseq_dev/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/OpenSpike/verilog-workbench/test/test_schmitt_trigger.py: expected an indented block after function definition on line 114 (<unknown>, line 240)
Skipped LLM_code/arxiv_dataset/2023/Q1/DFMGAN/metrics/metric_main.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/DFMGAN/training/loss.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/DFMGAN/training/networks.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/DFMGAN/training/training_loop.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/cpp-net/cppnet/train.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/cpp-net/feature_extractor/train.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/src/baselines/run_glue_no_trainer.py: '(' was never closed (<unknown>, line 119)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/examples/pytorch/text-classification/run_glue_no_trainer.py: '(' was never closed (<unknown>, line 119)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_missing_tokenization_test/cookiecutter-template-{{cookiecutter.modelname}}/test_tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py: invalid syntax (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/__init__.py: invalid syntax (<unknown>, line 24)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/configuration_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_flax_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_flax_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 18)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 30)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/tokenization_fast_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q1/MPCFormer/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2023/Q1/Specformer/Graph/large_model.py: unexpected indent (<unknown>, line 247)
Skipped LLM_code/arxiv_dataset/2023/Q1/Specformer/Graph/small_model.py: unexpected indent (<unknown>, line 247)
Skipped LLM_code/arxiv_dataset/2023/Q1/kdd_aibedo/aibedo/skeleton_framework/spherical_unet/utils/loss_functions.py: unindent does not match any outer indentation level (<unknown>, line 65)
Skipped LLM_code/arxiv_dataset/2023/Q1/GD-MAE/pcdet/datasets/kitti/kitti_object_eval_python/evaluate.py: invalid syntax (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2023/Q1/SpeechDewarping/text_kr/korean.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/imbalanced-ensemble/imbens/sampler/_over_sampling/_adasyn.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/imbalanced-ensemble/imbens/sampler/_over_sampling/_random_over_sampler.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/imbalanced-ensemble/imbens/sampler/_over_sampling/_smote/filter.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/imbalanced-ensemble/imbens/sampler/base.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2023/Q1/VPD/refer/refer/evaluation/bleu/bleu_scorer.py: Function parameters cannot be parenthesized (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2023/Q1/VPD/refer/refer/evaluation/refEvaluation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 39)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/lens_light/total/bpl_smbh/light_sersic_x2.py: invalid syntax (<unknown>, line 112)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/lens_light/total/pl/light_sersic.py: invalid syntax (<unknown>, line 113)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/lens_light/total/pl/light_sersic_x2_align_centre.py: invalid syntax (<unknown>, line 112)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/lens_light/total/pl/light_sersic_x2_align_centre_ell.py: invalid syntax (<unknown>, line 112)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/lens_light/total/pl/light_sersic_x3.py: invalid syntax (<unknown>, line 112)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/lens_light/total/pl_smbh/light_sersic_x3.py: invalid syntax (<unknown>, line 112)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/const_smbh/light_sersic_x3__smbh_free_centre.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_smbh/light_sersic_x2.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_smbh/light_sersic_x2__clump.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_smbh/light_sersic_x2__smbh_fixed.py: invalid syntax (<unknown>, line 190)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_smbh/light_sersic_x3__smbh_free_centre.py: invalid syntax (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2023/Q1/autolens_abell_1201/cosma/runners/no_lens_light/light_dark/grad_x1/light_sersic_x2__clump.py: invalid syntax (<unknown>, line 147)
