Function Name,Frequency
__init__,42520
forward,21825
__call__,3745
main,2584
__len__,2259
__getitem__,2210
call,1365
__repr__,1356
setUp,1040
train,798
backward,687
init_weights,672
parse_args,662
step,651
reset,613
from_pretrained,610
setup,588
__iter__,577
update,571
evaluate,551
_init_weights,549
add_args,467
get_input_embeddings,465
build_model,454
decode,448
run,448
test,431
predict,408
extra_repr,407
encode,400
__str__,394
set_input_embeddings,374
serving_output,354
prepare_config_and_inputs,351
loss,350
reset_parameters,340
sample,338
get_config,331
prepare_config_and_inputs_for_common,317
get_output_embeddings,316
load_state_dict,301
set_output_embeddings,289
test_config,284
load,278
_make_layer,274
state_dict,262
save,256
fit,250
max_positions,248
prepare_inputs_for_generation,240
test_model_from_pretrained,240
process,238
create_custom_forward,237
custom_forward,237
_construct_bottleneck,237
build,233
forward_train,233
Bottleneck,227
load_dataset,225
generate,224
from_config,222
test_model,221
BasicBlock,213
get,212
_prune_heads,208
close,204
collater,201
__setstate__,199
save_vocabulary,190
create_and_check_model,190
__post_init__,189
size,189
train_step,181
get_labels,180
get_lr,179
prune_heads,179
transpose_for_scores,177
tokenize,175
transform,174
preprocess,174
compute_metrics,173
inference,172
__exit__,171
Attention,169
load_model,168
normalize,166
__enter__,165
simple_test,165
ResNet,164
__getattr__,164
save_checkpoint,163
name,163
get_decoder,162
build_inputs_with_special_tokens,161
test_inputs_embeds,161
_set_gradient_checkpointing,160
get_encoder,160
upgrade_state_dict_named,157
get_args,156
forward_features,156
Mlp,155
get_parser,153
setup_task,153
set_epoch,152
conv3x3,151
tearDown,151
target_dictionary,151
reduce_metrics,150
get_targets,150
extract,149
_reorder_cache,147
num_tokens,146
training_step,145
MLP,145
test_model_common_attributes,145
__getstate__,144
vocab_size,144
device,143
_create_examples,141
extract_features,141
eval,140
get_dev_examples,140
initialize,140
create_token_type_ids_from_sequences,140
get_model,139
to,138
log,137
_forward,135
get_train_examples,135
dummy_inputs,135
_tokenize,135
get_test_examples,132
source_dictionary,131
_init_layers,130
accuracy,129
download,129
ModelArguments,128
test_forward_signature,128
__del__,127
Block,126
get_vocab,125
_convert_id_to_token,125
load_data,124
aug_test,124
convert_tokens_to_string,124
__next__,123
_convert_token_to_id,123
add,122
validate,119
ordered_indices,119
reorder_encoder_out,119
get_special_tokens_mask,118
set_seed,117
no_weight_decay,117
wrapper,116
DataTrainingArguments,115
to_dict,115
build_encoder,115
score,112
configure_optimizers,112
forward_single,112
init,111
AverageMeter,110
prepare_img,110
supports_prefetch,109
render,108
get_bboxes,108
resize,107
serving,106
execute,106
collate_fn,105
compute_loss,105
get_normalized_probs,105
cli_main,104
save_model,103
get_classifier,103
Model,103
build_decoder,103
Trainer,102
reset_classifier,102
flops,102
prefetch,102
extract_feat,101
get_examples,100
sizes,100
get_vector,100
validation_step,99
vector_dim,99
_shape,98
print,97
convert,97
test_hidden_states_output,95
base_architecture,95
calculate_loss,95
logging_outputs_can_be_summed,94
get_params,93
load_checkpoint,93
PatchEmbed,92
get_loss,92
write,91
_inner_forward,91
forward_test,90
pad,89
f,89
get_dataset,84
Normalize,84
exists,83
postprocess,82
test_retain_grad_hidden_states_attentions,82
conv1x1,81
Encoder,81
Config,80
get_transform,79
_expand_mask,79
setUpClass,79
_transform,78
Transformer,78
get_rank,78
get_world_size,78
synchronize_between_processes,78
load_annotations,77
inputs,77
start,76
from_dict,76
get_logger,75
losses,75
test_attention_outputs,75
build_embedding,75
compute,75
get_tokenizer,74
forward_decoder,74
to_tensor,73
query,73
_load_from_state_dict,73
Linear,73
reorder_incremental_state,73
feed_forward_chunk,71
_reset_parameters,71
supports_flat_params,71
with_pos_embed,70
test_training,70
get_args_parser,70
__eq__,69
test_step,69
rescale,69
valid_step,69
before_run,68
format_results,68
_cfg,68
explain,68
plot,67
resnet50,67
build_dataset,67
finalize,67
check_hidden_states_output,67
set_num_updates,67
rotate,66
get_example_from_tensor_dict,66
window_partition,66
doc_to_text,66
get_ann_info,65
crop,65
assign,65
test_initialization,65
avg,65
value,65
step_update,65
Embedding,65
resnet18,64
Logger,64
LayerNorm,64
attention,64
visualize,64
shift_tokens_right,64
output_layer,64
norm1,63
optimizer_config,63
build_dataset_for_inference,63
_freeze_stages,62
forward_dummy,62
test_for_token_classification,62
func,62
full_sort_predict,62
sample_predictor_configs,62
is_main_process,61
get_bias,61
test_for_question_answering,61
default,60
FeedForward,60
get_pairs,59
str2bool,59
prepare_data,59
tile,59
__setattr__,58
__setitem__,58
build_generator,58
center_crop,57
bpe,57
Upsample,57
Decoder,57
check,57
test_for_masked_lm,57
log_images,56
resnet101,56
_make_causal_mask,56
train_one_epoch,56
get_feats,56
hub_models,56
sample_program_config,56
drop_path,55
_mp_fn,55
resnet34,55
VisionTransformer,55
scale,55
load_image,55
_construct_head,55
flip,55
model,55
copy,55
get_lm_head,55
rename_key,55
test_full_tokenizer,55
test_training_gradient_checkpointing,55
adjust_learning_rate,55
_get_bboxes_single,55
_get_target_single,55
after_train_iter,54
shape,54
set_bias,54
_initialize_weights,54
get_raw_unit_class,54
convert_raw_to_value,54
doc_to_target,54
preprocess_function,53
get_data,53
area,53
__contains__,53
init_,53
mode,53
get_results,53
_get_module,53
_prepare_for_class,53
max,53
create,53
__new__,52
aggregate,52
zero_grad,52
ToTensor,52
to_json_string,52
build_optimizer,52
parse,52
window_reverse,52
freeze,52
resize_token_embeddings,52
test_for_sequence_classification,52
get_input_output_texts,52
cli,52
Identity,51
hook,51
collate,51
inference_step,51
loss_single,51
train_dataloader,50
register,50
get_input,50
cat,50
flatten,50
test_for_multiple_choice,50
test_inference_no_head,50
has_training_docs,50
has_validation_docs,50
has_test_docs,50
_download,49
flush,49
train_model,49
Resize,49
resnet152,49
_LazyModule,49
level_to_args,49
val_dataloader,48
invert,48
all_gather,48
filter,48
merge,48
create_and_check_for_question_answering,48
create_and_check_for_token_classification,48
TransformerEncoder,48
after_step,48
before_train_epoch,47
make_dataset,47
set_random_seed,47
create_position_ids_from_input_ids,47
default_feature_extractor,47
is_dist_avail_and_initialized,47
update_config,47
reduce,47
DropPath,46
info,46
loss_fn,46
process_results,46
prepare,46
prepare_for_onnx_export_,46
is_pipeline_test_to_skip,46
global_avg,46
optimizer,46
train_epoch,45
get_dataloader,45
count_parameters,45
apply,45
mean,45
parallelize,45
create_and_check_for_masked_lm,45
prepare_config_and_inputs_for_decoder,45
get_version,45
median,45
version,45
validation_docs,45
Compose,44
Downsample,44
TransformerDecoder,44
create_and_check_decoder_model_past_large_inputs,44
evaluation,44
build_self_attention,44
can_reuse_epoch_itr_across_epochs,44
tf,44
initTestCase,44
ResBlock,43
make_res_layer,43
_augment,43
Generator,43
Dataset,43
get_prefix_bias_name,43
freeze_feature_encoder,43
test_decoder_model_past_with_large_inputs,43
PatchMerging,43
clone,43
build_criterion,43
_train_epoch,43
training_docs,43
main_worker,42
deparallelize,42
test_save_load_fast_init_from_base,42
image_processor_dict,42
add_meter,42
onnx_export,42
BaseModel,41
project,41
clear,41
tokenize_function,41
Timer,41
worker_init_fn,41
RandomCrop,41
forward_encoder,41
load_config,40
create_model,40
dtype,40
translate,40
after_train_epoch,40
_check_input_dim,40
_decode,40
batch_decode,40
test_resize_tokens_embeddings,40
SmoothedValue,40
init_distributed_mode,40
read_audio,40
construct_requests,40
aggregation,40
higher_is_better,40
_resnet,39
