File Name,Frequency
__init__,5246
utils,807
train,281
setup,216
main,191
model,185
config,165
test,156
builder,154
base,150
generate,137
dataset,124
util,119
resnet,110
logger,106
metrics,105
misc,104
trainer,99
transforms,85
run,78
common,76
loss,74
inference,73
transformer,70
data,67
conf,63
models,58
data_utils,57
version,53
losses,53
attention,52
eval,51
prepare_dataset,51
registry,49
modules,46
default_runtime,44
constants,43
datasets,42
dataloader,40
sampler,38
base_model,37
benchmark,36
vit,36
evaluate,35
layers,35
metric,34
evaluation,34
cityscapes,34
ema,33
evaluator,32
model_utils,30
demo,30
checkpoint,30
unet,30
conftest,30
helpers,30
dist_utils,29
optimizer,29
build,29
transform,29
networks,28
test_utils,28
preprocess,26
loading,26
base_dataset,26
decoder,26
predict,25
ops,25
encoder,25
tokenizer,25
backbone,24
loader,24
vgg,24
collect_env,24
env,24
logging,24
lr_scheduler,24
mlp,24
default,24
distributed,23
scheduler,23
task,23
io,23
plot,23
tools,22
data_loader,22
parser,21
stat,21
dataset_utils,21
chia,21
pico,21
api,20
image,20
res_layer,20
cdr,20
chemprot,20
medm,20
ncbi,20
resnext,19
network,19
module,19
visualize,19
focal_loss,19
test_forward,19
net,19
conversation,18
analyze_logs,18
get_flops,18
publish_model,18
cross_entropy_loss,18
visualizer,18
conv,17
sample,17
coco,17
dataset_wrappers,17
timer,17
print_config,17
options,17
nn,17
densenet,17
fpn,17
norm,17
accuracy,17
browse_dataset,17
_ffi_api,17
train_utils,16
finetune,16
modeling_llama,16
retrieval,16
diffusion,16
wrappers,16
clip,16
speculative,16
comm,15
defaults,15
infer,15
convert,15
factory,15
ade20k,15
schedule_80k,15
custom,15
voc,15
random,15
_config,15
schedule_1x,15
classifier,15
hifigan,15
app,14
detr,14
memory,14
resnest,14
test_config,14
plotting,14
activations,14
imagenet,14
pascal_context,14
coco_instance,14
drop,14
utility,14
configuration,14
blocks,14
balancer,14
adapter_model,14
eval_utils,13
generator,13
prompt,13
pos_embed,13
torch_utils,13
training,13
eval_hooks,13
hrnet,13
make_divisible,13
se_layer,13
pretrain,13
functional,13
commands,13
class_names,13
normalization,13
compose,13
_utils,13
drive,13
formating,13
dice_loss,13
dense,13
agent,13
augmentations,13
yolo,13
file_utils,13
features,13
search,13
launch,13
distributions,13
unet_parts,13
ms_deform_attn,12
box_ops,12
stats,12
regnet,12
inverted_residual,12
setup_env,12
pytorch2onnx,12
base_trainer,12
efficientnet,12
swin_transformer,12
quantize,12
swin,12
train_net,12
chase_db1,12
hrf,12
test_time_aug,12
potsdam,12
stare,12
encoder_decoder,12
autoencoder,12
darknet,12
single_stage,12
two_stage,12
download,12
configs,12
unet_model,12
randaugment,12
_make,12
position_encoding,11
distributed_sampler,11
mobilenet_v2,11
mobilenet,11
paths,11
preprocessing,11
anchor_generator,11
sam,11
callbacks,11
params,11
loveda,11
formatting,11
augment,11
augmentation,11
match_cost,11
positional_encoding,11
chat,11
bdd100k,11
vision_transformer,11
args,11
conv2d,11
matcher,10
upfirdn2d,10
utils_qa,10
llava_trainer,10
core,10
llava_arch,10
extractor,10
split,10
cli,10
engine,10
hooks,10
nms,10
hourglass,10
quantizer,10
testing,10
merge_augs,10
vqa,10
lvis,10
decode_head,10
hub,10
client,10
environment,10
typing,10
confusion_matrix,10
vision,10
optims,10
schedule_2x,10
deepfashion,10
wider_face,10
submodule,10
schedule_3x,10
activation,10
coco_panoptic,10
mask_rcnn_r50_fpn,10
functions,10
fs,10
fs2_orig,10
ps_adv,10
nsf_hifigan,10
ddpm,10
test_commands,10
b,10
bm,10
j,10
jm,10
batchnorm,9
replicate,9
optimization,9
graph,9
controller,9
buffer,9
template,9
opt,9
nyu,9
ensemble,9
base_assigner,9
smooth_l1_loss,9
weight_init,9
blip2,9
visualization,9
simple_tokenizer,9
predictor,9
amg,9
encoders,9
optim,9
solver,9
rnn,9
run_training,9
sampling,9
samplers,9
lora,9
coco_detection,9
vis_utils,9
hungarian_assigner,9
yolo_head,9
yolox,9
post_processor,9
prompt_constructor,9
init,9
tester,9
gaussian_diffusion,9
generic,9
Qformer,9
correlation,9
point_sample,9
path,9
cascade_mask_rcnn_r50_fpn,9
filter,9
cpu_adam,9
base_processor,9
ddim,9
openaimodel,9
test_AerialMaritimeDrone_tiled,9
test_CottontailRabbits,9
test_Egohands_generic,9
test_NorthAmericaMushrooms,9
test_Packages,9
test_PascalVoc,9
test_Raccoon,9
test_ShellfishOpenImages,9
test_VehiclesOpenImages,9
test_aquarium,9
test_pistols,9
test_pothole,9
test_thermalDogsAndPeople,9
test_zero_shot_coco,9
clip_encoder,9
eva_vit,9
depthwise_conv2d,9
second,8
segmentation,8
plot_utils,8
mm_utils,8
configuration_utils,8
quantization,8
loss_utils,8
alexnet,8
test_nms,8
xception,8
__main__,8
senet,8
mean_ap,8
iou_loss,8
roi_align,8
server,8
test_common,8
pipeline,8
embed,8
llama_flash_attn_monkey_patch,8
process,8
import_utils,8
info,8
schedule_160k,8
schedule_20k,8
schedule_40k,8
isaid,8
self_attention_block,8
encoding,8
tensorboard,8
runner,8
load_data,8
epoch_based_runner,8
auto_augment,8
res2net,8
base_dense_head,8
rpn,8
kd_loss,8
squad,8
types,8
palette,8
tokenization_utils,8
optimizers,8
base_options,8
test_options,8
train_options,8
glue,8
image_utils,8
data_parallel,8
profiler,8
maskformer_head,8
ckpt_convert,8
hsi_drive,8
adam,8
unittest,8
masking,8
download_data,8
rerank,8
mixstyle,8
emotion_disc,8
timbre_disc,8
gradcam,8
blip_processors,8
helper,8
aspp,8
deeplabv3,8
common_utils,7
modeling_bert,7
discriminator,7
huggingface,7
modeling_utils,7
modeling_t5,7
op,7
merge,7
make_delta,7
mask_rcnn_r50_fpn_2x_coco,7
scnet,7
mse_loss,7
test_resnet,7
test_visualization,7
med,7
config_utils,7
basic,7
test_misc,7
pooling,7
exceptions,7
_version,7
mobilenetv2,7
autoaugment,7
approx_max_iou_assigner,7
assign_result,7
max_iou_assigner,7
base_sampler,7
combined_sampler,7
instance_balanced_pos_sampler,7
iou_balanced_neg_sampler,7
ohem_sampler,7
pseudo_sampler,7
random_sampler,7
sampling_result,7
bbox_overlaps,7
recall,7
mask_target,7
bbox_nms,7
anchor_head,7
fcos_head,7
ga_retina_head,7
ga_rpn_head,7
guided_anchor_head,7
retina_head,7
rpn_head,7
ssd_head,7
ssd_vgg,7
bbox_head,7
convfc_bbox_head,7
test_mixins,7
balanced_l1_loss,7
ghm_loss,7
