Word,Frequency
the,887671
of,399083
to,386518
a,254047
for,217475
is,197834
and,184487
in,180107
if,110904
or,108045
be,107955
with,104119
model,95896
optional,90886
this,87694
tensor,81216
from,77973
that,76969
int,72140
list,70395
as,67063
not,66633
are,64536
shape,64385
image,63950
args,61607
license,60973
x,60134
returns,57451
by,55916
torch,55542
input,54576
on,53706
defaults,52336
default,51692
all,49184
will,48550
used,48345
true,47781
str,47129
number,46658
each,46501
an,46001
it,44476
none,43271
use,43047
param,42030
data,40772
dict,40292
n,39260
can,38682
we,38394
s,36760
return,36453
float,36285
self,35715
output,35540
function,35146
test,34742
when,33500
bool,33354
class,33171
attention,33156
tuple,32482
parameters,32165
size,31917
set,31514
c,30675
value,30033
config,29756
layer,29215
which,29106
at,28999
file,28861
you,28781
only,28348
whether,27856
type,27518
t,27503
values,27077
under,27065
https,26974
batch,26056
sequence,25329
b,25059
should,25049
mask,24990
loss,24276
one,24057
false,23822
see,23420
e,23325
dataset,23321
array,23292
np,22611
i,22476
using,22345
h,22054
method,21355
name,21187
any,20792
y,19857
token,19587
may,19525
w,19514
models,19002
tokens,18828
text,18679
training,18567
org,18550
same,17747
get,17583
given,17461
have,17426
distributed,17398
path,17161
weights,17050
paddle,16976
d,16875
g,16847
has,16776
first,16627
object,16402
module,16365
images,16327
import,16250
configuration,16085
ndarray,15991
k,15952
time,15872
layers,15865
length,15546
inputs,15437
math,15366
compute,15347
key,15347
into,15339
print,15143
format,15089
dimension,14806
copyright,14680
apache,14588
where,14426
no,14391
indices,14351
arguments,14349
check,14288
labels,14209
device,14080
single,13965
more,13950
state,13921
dictionary,13721
m,13651
numpy,13614
parameter,13472
matrix,13439
index,13302
width,13253
results,13083
code,13046
example,12985
outputs,12965
f,12920
floattensor,12856
version,12855
note,12777
without,12671
required,12598
add,12482
specific,12415
sample,12388
forward,12322
encoder,12250
block,12234
tensors,12055
load,11998
z,11978
returned,11901
embeddings,11898
scale,11811
height,11747
language,11676
p,11641
provided,11625
either,11501
after,11393
last,11362
com,11339
states,11262
different,11168
step,11103
copy,11060
python,11057
position,11044
feature,11037
between,11027
target,10998
specified,10998
random,10916
dtype,10875
transformers,10817
string,10775
q,10769
r,10751
padding,10745
information,10705
nn,10699
then,10683
passed,10656
embedding,10633
create,10591
new,10511
so,10488
original,10429
features,10425
two,10417
l,10382
pytorch,10332
qml,10326
but,10310
save,10232
hidden,10221
decoder,10199
must,10068
containing,10028
generate,9914
channels,9901
based,9900
generated,9875
weight,9862
basis,9843
github,9834
need,9822
ids,9779
prompt,9776
base,9748
its,9661
head,9652
source,9604
samples,9513
wires,9477
transform,9466
boxes,9454
order,9375
per,9315
apply,9305
software,9279
mean,9184
linear,9140
mode,9136
case,9046
than,8956
j,8946
current,8888
tokenizer,8829
licensed,8816
also,8804
instance,8771
convert,8711
points,8646
keys,8643
label,8605
py,8573
range,8568
http,8491
except,8470
process,8459
other,8452
arxiv,8398
conditions,8351
instead,8343
corresponding,8341
multiple,8329
huggingface,8265
id,8254
v,8220
rights,8208
obtain,8201
axis,8191
non,8177
dim,8159
point,8121
reserved,8092
level,8036
box,8030
generation,8021
before,7992
make,7988
www,7951
update,7941
initialize,7929
run,7906
out,7876
pass,7869
classification,7860
examples,7804
transformer,7791
over,7762
end,7761
do,7693
obj,7692
here,7652
kind,7609
unless,7608
applicable,7582
u,7548
maximum,7540
following,7508
memory,7504
argument,7444
masked,7406
implied,7373
law,7369
directory,7356
channel,7326
express,7320
writing,7319
warranties,7310
result,7303
contains,7290
series,7277
operator,7216
log,7214
up,7211
node,7209
licenses,7207
otherwise,7180
scores,7071
train,7036
agreed,7020
kwargs,7014
governing,7013
compliance,7012
limitations,6989
permissions,6986
some,6982
operation,6914
steps,6902
error,6888
tests,6874
does,6829
heads,6822
todo,6813
optimizer,6763
map,6729
like,6687
defined,6677
graph,6597
rate,6554
checkpoint,6544
abs,6451
masks,6430
factor,6381
cpu,6363
cache,6351
files,6341
during,6339
score,6332
params,6309
calculate,6245
there,6209
prediction,6181
jax,6177
tf,6158
query,6111
start,6033
computed,6031
noise,5999
logits,5990
these,5971
split,5964
bias,5957
learning,5894
task,5776
zero,5765
details,5752
max,5735
multi,5711
pre,5689
o,5683
support,5632
evaluation,5627
names,5623
such,5613
cross,5598
pipeline,5587
video,5566
second,5566
gradient,5550
place,5546
sequences,5542
objects,5539
call,5527
settings,5486
main,5480
additional,5479
sampling,5457
correct,5457
classes,5452
norm,5448
standard,5432
applied,5400
element,5384
methods,5376
both,5376
dropout,5368
ignored,5344
attentions,5336
vector,5321
they,5299
copied,5289
ratio,5285
implementation,5281
normalization,5273
final,5249
average,5245
metrics,5243
them,5201
remove,5199
network,5150
gpu,5117
kernel,5099
top,5083
called,5068
added,5065
group,5055
paper,5029
sum,5023
blocks,5011
avoid,5007
want,4968
dimensions,4964
left,4952
uses,4943
inference,4906
space,4905
right,4888
their,4885
means,4866
every,4863
frame,4845
probability,4845
generator,4820
distribution,4818
initial,4796
filter,4786
attributes,4728
was,4719
keyword,4690
audio,4631
variable,4628
inc,4627
computing,4623
just,4616
datasets,4610
circuit,4597
pdf,4593
pixel,4586
clip,4569
how,4566
seed,4559
def,4553
diffusion,4550
disable,4549
selected,4549
context,4541
pil,4530
please,4528
your,4522
coordinates,4521
activation,4519
len,4498
expected,4487
frames,4480
environment,4468
part,4462
according,4457
fit,4444
bounding,4441
initialization,4435
representation,4435
ignore,4431
functions,4425
perform,4417
special,4409
dataloader,4365
user,4348
api,4337
custom,4327
supported,4327
stage,4312
predictions,4276
longtensor,4266
positions,4258
scaling,4257
depth,4252
center,4252
integer,4244
pretrained,4244
empty,4229
needed,4228
setting,4221
global,4209
reference,4201
scheduler,4200
noqa,4196
processing,4192
processor,4192
because,4170
timestep,4169
don,4169
along,4163
truth,4154
relative,4151
pad,4141
predicted,4140
metric,4138
ground,4104
loading,4099
elements,4095
total,4036
negative,4027
op,4020
match,4014
window,4009
blob,3989
algorithm,3985
change,3980
static,3978
what,3974
control,3943
line,3937
testing,3931
been,3928
large,3914
local,3912
json,3908
else,3880
measurement,3857
read,3852
root,3833
plot,3824
available,3811
equal,3804
next,3803
refer,3797
build,3782
representing,3767
column,3765
threshold,3752
since,3738
decoding,3732
keep,3720
full,3704
store,3689
regression,3686
define,3668
positive,3660
computes,3654
co,3653
options,3646
gt,3646
prepare,3644
epoch,3637
convolution,3630
valid,3624
within,3617
stride,3611
initializing,3600
optionally,3595
include,3575
while,3570
handle,3570
trainer,3570
guidance,3558
predict,3552
take,3534
conv,3532
init,3525
html,3524
types,3522
operations,3514
patch,3513
bboxes,3513
func,3503
callable,3501
directly,3499
nodes,3497
alpha,3491
documentation,3465
already,3463
union,3454
attribute,3448
indicates,3446
skip,3431
grid,3419
found,3418
works,3418
distance,3416
backbone,3416
info,3396
modules,3396
now,3388
softmax,3385
correctly,3378
style,3371
team,3355
color,3352
computation,3347
associated,3331
trained,3328
previous,3327
docs,3317
img,3285
bs,3283
segmentation,3276
modified,3275
variables,3266
rgb,3260
across,3252
above,3246
through,3235
utils,3235
encoding,3233
re,3219
resources,3213
contain,3213
loaded,3206
pair,3195
bbox,3195
lower,3179
system,3177
being,3176
utf,3176
mapping,3169
sure,3158
rank,3155
simple,3155
useful,3154
vocabulary,3152
timesteps,3151
gaussian,3142
env,3119
find,3107
precision,3106
always,3102
phi,3092
residual,3083
back,3082
stable,3081
normalize,3074
many,3064
raises,3064
fixed,3059
search,3044
ensure,3043
targets,3041
possible,3041
speed,3040
small,3038
vectors,3030
cuda,3017
crop,2987
extract,2986
prefix,2986
work,2984
components,2983
shift,2982
pylint,2970
question,2969
etc,2964
meta,2957
vit,2947
edge,2944
extra,2943
raw,2940
jnp,2931
lr,2929
bert,2923
created,2921
vision,2919
would,2904
word,2900
dataframe,2897
resolution,2890
qubit,2878
sampled,2874
folder,2868
parallel,2866
requires,2862
resize,2856
interface,2856
program,2854
preprocess,2851
authors,2844
transformation,2839
lens,2838
field,2837
backend,2837
times,2824
minimum,2823
form,2822
automatically,2821
encode,2820
columns,2817
saved,2817
classifier,2817
openmmlab,2804
item,2801
specify,2792
modeling,2775
quantization,2773
takes,2761
measurements,2761
pixels,2760
answer,2760
ax,2754
google,2747
including,2746
enable,2746
tasks,2745
qnode,2741
construct,2740
usually,2739
structure,2731
beta,2728
tape,2728
too,2725
pairs,2724
backward,2723
channeldimension,2723
transforms,2716
append,2715
corresponds,2711
validation,2710
below,2701
those,2699
architecture,2692
strings,2663
converted,2663
maps,2632
component,2631
coding,2627
updated,2626
library,2626
pt,2623
edit,2611
en,2609
groups,2604
tensorflow,2598
free,2596
usage,2587
best,2586
running,2584
frequency,2582
calling,2581
encoded,2574
prompts,2572
os,2572
latents,2568
about,2554
download,2554
quantum,2552
auto,2535
normalized,2528
arrays,2527
sparse,2525
sentence,2520
tree,2520
binary,2519
well,2518
defines,2518
scalar,2516
rotation,2513
operators,2509
via,2494
currently,2493
cls,2490
pipelines,2486
loop,2483
most,2478
our,2474
corporation,2470
necessary,2468
spatial,2467
positional,2465
detection,2463
projection,2454
evaluate,2446
needs,2439
min,2438
boolean,2437
action,2436
decomposition,2435
replace,2430
higher,2429
deviation,2427
matrices,2423
supports,2419
provide,2418
url,2417
axes,2410
select,2403
constant,2400
decode,2399
assert,2382
effect,2368
gradients,2366
reduction,2366
done,2361
eval,2360
angle,2360
dynamic,2358
probabilities,2346
product,2339
obtained,2335
converts,2328
represents,2323
common,2321
applies,2313
autotokenizer,2312
open,2301
std,2292
observation,2280
warning,2275
pennylane,2262
ops,2260
causal,2258
cfg,2255
row,2252
cannot,2246
theta,2233
iou,2230
normal,2229
creates,2227
choose,2212
content,2204
area,2198
might,2195
way,2194
detail,2191
var,2189
write,2188
ref,2184
override,2183
coordinate,2182
pretrainedtokenizer,2182
transformed,2179
offset,2169
checks,2168
long,2167
statistics,2166
logging,2149
present,2146
absolute,2145
stored,2141
initialized,2140
policy,2139
low,2133
general,2130
requests,2126
io,2124
inside,2123
less,2120
glossary,2119
processed,2117
similar,2116
light,2114
annotation,2113
meth,2112
mlp,2111
unet,2110
augmentation,2109
raised,2105
shapes,2100
related,2097
likelihood,2095
iteration,2092
valueerror,2083
description,2081
includes,2080
iterable,2080
unit,2079
sets,2075
weighted,2074
could,2069
post,2066
sub,2062
implements,2061
starting,2056
optimization,2055
doesn,2051
filename,2047
master,2044
future,2044
instances,2041
high,2040
table,2036
saving,2035
internal,2035
mass,2034
passing,2032
logger,2029
reduce,2026
script,2026
padded,2026
quality,2024
paths,2023
gpus,2023
prior,2012
num,2006
nested,2004
gate,2003
unique,2001
diffusers,1997
past,1995
attr,1986
flag,1984
instantiate,1982
denoising,1973
paddlepaddle,1967
relu,1964
sigma,1963
show,1955
wire,1953
determine,1951
document,1949
facebook,1942
power,1941
contexts,1941
lora,1939
actual,1937
cos,1930
matching,1929
exists,1928
wrapper,1925
randomly,1920
setup,1914
behavior,1911
larger,1911
fields,1909
performance,1904
vae,1902
taken,1897
docstring,1895
indicating,1894
real,1892
three,1871
resnet,1871
dimensional,1865
quantized,1865
calculation,1860
timeseries,1860
very,1859
background,1856
allows,1856
density,1853
relevant,1849
latent,1849
processes,1845
strategy,1842
zeros,1842
grad,1841
estimate,1841
once,1837
callback,1833
lambda,1829
better,1827
metadata,1827
experiment,1827
words,1824
cases,1824
bin,1821
agent,1820
bound,1817
val,1817
levels,1816
core,1816
dev,1812
schedule,1812
imagenet,1809
figure,1799
command,1799
location,1799
equivalent,1797
drop,1796
raise,1792
whose,1785
fine,1782
annotations,1779
sizes,1775
flow,1772
even,1771
execution,1770
square,1769
intermediate,1768
csv,1768
issues,1767
stream,1766
outside,1765
runs,1765
track,1762
trainable,1761
epsilon,1761
option,1760
patches,1759
pi,1757
implemented,1756
actions,1756
slice,1754
enabled,1748
pretrainedconfig,1743
convolutional,1741
temporal,1740
calls,1738
resized,1737
gamma,1736
performing,1736
profile,1735
bsz,1733
intel,1733
interval,1730
performed,1727
least,1723
adding,1721
cost,1720
try,1719
checkpoints,1719
down,1718
missing,1718
buffer,1716
resizing,1712
span,1709
consider,1705
affiliates,1704
losses,1702
direction,1697
branch,1696
batched,1694
phase,1690
sin,1689
overridden,1686
applying,1684
variance,1682
analysis,1681
reshape,1680
cached,1679
observations,1676
condition,1675
frac,1673
numbers,1673
access,1669
al,1669
calculated,1667
helper,1666
rescale,1666
decay,1665
iterations,1663
reset,1662
subclass,1659
desired,1658
covariance,1656
allow,1649
basic,1646
lists,1646
removed,1645
png,1640
event,1638
merge,1637
were,1637
rx,1637
net,1635
src,1635
message,1630
stochastic,1630
project,1629
tip,1629
fully,1626
upper,1621
invalid,1619
batches,1617
plt,1616
pooling,1615
off,1613
interpolation,1613
adapted,1607
et,1604
verify,1604
errors,1602
controlled,1601
defining,1600
radius,1599
subset,1577
fast,1577
shared,1575
implement,1575
downloading,1574
bar,1569
difference,1566
compatible,1564
progress,1563
openai,1562
bit,1561
due,1559
coefficients,1557
wise,1555
ones,1553
identifier,1551
learner,1549
exist,1548
around,1546
accuracy,1542
generates,1542
pattern,1541
posterior,1541
microsoft,1538
anchors,1538
terms,1536
idx,1536
llama,1531
tuples,1528
plain,1526
tracker,1524
signal,1516
count,1510
sqrt,1509
smaller,1506
res,1505
therefore,1503
gates,1503
fmt,1499
abstract,1498
preprocessing,1494
observable,1494
conditional,1490
assign,1487
sampler,1486
edges,1480
bounds,1473
configs,1469
integers,1468
units,1467
manually,1467
notes,1461
pred,1460
fill,1458
compression,1456
sequential,1456
response,1454
th,1450
entropy,1449
template,1446
networks,1446
stop,1444
several,1440
indicate,1439
uniform,1435
beam,1434
inherits,1433
half,1433
title,1431
allowed,1431
semantic,1431
later,1430
constructor,1420
record,1418
nan,1418
performs,1418
having,1414
dimensionality,1413
flip,1412
layernorm,1412
pauli,1411
hat,1409
draw,1409
another,1409
hf,1409
queries,1408
modify,1408
functional,1408
bn,1408
lengths,1407
however,1406
items,1404
property,1403
gelu,1402
rope,1401
references,1400
included,1394
dummy,1393
beginning,1392
parse,1391
temperature,1391
compatibility,1384
let,1381
particular,1379
region,1379
aspect,1379
inverse,1378
complex,1377
term,1377
solution,1374
partial,1371
request,1370
execute,1366
updates,1365
loader,1365
diagonal,1363
named,1361
retrieve,1360
proposals,1360
delta,1358
deterministic,1357
identity,1357
pretrainedmodel,1353
pandas,1351
gpt,1351
overlap,1351
devices,1346
stages,1344
side,1343
doctest,1342
mit,1340
keypoints,1337
ai,1336
represented,1336
account,1335
bottom,1335
adjoint,1335
further,1333
assume,1333
scales,1333
scaled,1331
assigned,1327
dense,1324
exception,1323
neural,1322
tweak,1320
still,1318
anchor,1318
regular,1317
resulting,1317
problem,1316
whole,1315
move,1313
magnitude,1312
doing,1311
provides,1311
cell,1311
entry,1310
vocab,1310
segment,1309
interaction,1304
considered,1300
calculates,1299
numerical,1298
latest,1298
unset,1297
fix,1295
waveform,1294
lines,1293
generating,1292
feed,1292
verbose,1290
coco,1287
specifies,1286
expand,1285
covariates,1285
similarity,1280
returning,1279
inferred,1279
chunk,1277
depending,1277
inf,1275
epochs,1273
ctx,1270
cosine,1268
detr,1267
exp,1266
inner,1263
constraints,1263
rows,1261
typically,1261
specifying,1260
confidence,1259
view,1258
yield,1258
doc,1251
entire,1250
counts,1247
author,1247
guide,1244
solver,1244
environments,1243
adds,1240
own,1240
txt,1238
jit,1237
changes,1236
nearest,1236
round,1235
schedulers,1232
shots,1231
qubits,1229
plus,1227
yaml,1226
representations,1225
cast,1224
gets,1221
rule,1211
simulation,1209
users,1207
chosen,1206
connected,1205
extracted,1203
bgr,1203
existing,1201
concatenate,1200
logic,1199
transpose,1199
easily,1198
overwrite,1197
redshift,1197
expval,1195
much,1192
parts,1192
weighting,1192
jpg,1191
conversion,1190
eta,1187
category,1186
until,1183
efficient,1179
matches,1179
cluster,1178
generic,1178
old,1177
ry,1177
put,1175
rand,1175
accelerator,1174
flatten,1172
measure,1170
container,1169
domain,1167
speech,1161
go,1156
estimation,1155
shot,1153
corpus,1153
built,1152
configure,1151
hamiltonian,1150
downsample,1143
fixme,1142
cropped,1142
discrete,1141
combination,1140
research,1140
coefficient,1139
individual,1139
equation,1137
shuffle,1137
building,1133
eps,1129
tensortype,1128
cat,1126
stores,1125
help,1124
sentences,1124
duration,1124
game,1122
few,1122
seconds,1121
force,1118
criterion,1118
mesh,1116
pool,1112
collect,1111
compare,1111
observed,1111
outcome,1111
plane,1111
together,1109
repo,1109
described,1109
changed,1108
corner,1106
gather,1104
adaptation,1104
runtime,1103
potential,1102
parent,1102
hook,1102
super,1094
dist,1094
definition,1093
faster,1091
estimator,1091
entries,1089
resample,1088
accessing,1087
velocity,1087
affine,1086
validate,1084
represent,1083
galaxy,1081
assumes,1080
onnx,1077
give,1076
mmcv,1076
infer,1075
lm,1075
transformations,1075
actually,1074
connection,1073
modeloutput,1073
underlying,1071
thus,1071
reduced,1070
evaluated,1069
summary,1068
respectively,1066
deprecated,1066
makes,1065
inplace,1065
matplotlib,1064
able,1063
videos,1062
layout,1062
properties,1061
spectrogram,1061
observables,1061
scope,1061
attn,1060
amount,1057
noisy,1055
tokenize,1053
tag,1050
private,1050
fits,1049
resource,1048
readthedocs,1047
package,1047
superclass,1046
volume,1045
initializes,1044
decorator,1044
conditioning,1043
quantile,1042
rotary,1042
rather,1041
tapes,1041
fitted,1040
matched,1039
configurations,1039
attend,1038
sort,1037
camera,1037
constructs,1037
detections,1035
