Word,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1
a,34243,21111,28925,27377,15951,30633,16869,28384,18720,19040,20662,28785,36640,27751,24381,27011,41040,43648,45446,41965,36849
aa,40,21,35,22,22,22,16,43,30,29,44,19,34,34,70,75,68,67,72,50,23
aaron,1,0,11,11,1,4,3,0,1,0,1,0,0,1,0,0,2,0,1,1,0
ab,49,22,35,46,8,54,27,11,26,37,24,10,40,25,103,70,53,42,46,54,67
abandon,12,3,1,1,2,25,1,3,2,4,1,3,15,10,0,34,2,1,3,0,0
abandoned,3,1,0,6,0,3,1,0,0,3,5,1,1,1,3,0,0,0,1,0,0
abc,60,16,46,20,14,61,11,21,22,14,16,25,43,70,36,66,32,23,16,28,22
abdomen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,2,2,0,0,0,0
abilities,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,7,0
ability,30,22,21,17,13,9,8,11,11,8,10,12,7,8,11,12,31,35,29,42,40
able,231,141,165,170,117,245,83,274,138,164,182,259,417,292,137,183,380,365,402,422,303
abnormal,1,0,0,0,0,9,10,27,19,32,34,44,23,38,12,14,22,41,30,24,22
abnormalities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0
about,741,476,696,472,278,607,380,557,430,434,395,568,656,540,520,517,708,637,777,707,521
above,2254,772,1007,741,420,825,448,776,531,474,514,918,839,545,754,962,857,866,1095,1377,1043
abraham,1,0,0,0,0,0,0,0,0,0,0,0,145,0,2,0,6,1,10,14,0
abroad,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abruptly,1,3,0,1,1,3,1,1,3,2,1,1,2,0,1,2,0,1,2,2,0
absence,41,10,17,10,5,20,8,26,11,14,21,31,66,28,2,23,60,77,47,42,44
absent,38,16,18,25,14,30,14,22,19,10,27,15,19,18,18,19,26,15,23,10,22
absolute,367,276,306,293,226,390,264,400,370,354,414,538,512,383,312,433,446,554,554,474,531
absolutely,6,0,4,1,2,2,1,4,11,2,4,8,2,7,9,4,1,6,4,4,2
absorb,13,1,2,1,3,0,0,4,1,5,2,2,3,4,6,7,4,8,3,4,3
absorbed,5,3,3,5,2,8,3,6,2,7,3,6,6,7,5,8,9,8,6,2,2
absorption,19,8,0,4,5,5,2,0,6,4,4,19,5,2,3,2,4,5,8,0,7
abstract,115,62,43,55,48,108,18,36,22,24,18,65,43,42,34,53,44,138,56,116,98
abstracts,10,5,12,7,2,8,4,7,1,4,4,0,2,13,0,2,4,2,4,1,0
absurd,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,1,2,0,0,0,4
abundance,25,0,19,1,1,1,0,0,1,6,4,4,2,4,4,0,4,0,2,0,11
abundant,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,3,0,0,0,0,0
abuse,3,2,4,1,2,0,1,1,0,1,1,5,3,0,2,1,1,1,2,1,0
ac,203,151,133,51,11,167,41,58,56,102,44,38,341,61,24,144,59,91,48,48,90
academic,15,2,0,1,2,13,0,4,33,22,33,34,21,3,1,3,14,16,14,6,1
academy,0,0,0,0,0,0,0,0,0,3,3,0,0,45,33,11,18,22,13,11,5
accelerated,57,8,10,7,15,12,1,5,1,3,2,9,1,4,3,6,5,3,6,7,4
acceleration,48,10,15,28,9,102,24,22,60,27,23,48,36,27,23,40,62,36,82,90,42
accept,187,115,205,90,68,105,75,129,88,88,122,170,143,91,74,118,166,169,158,197,162
acceptable,46,12,34,7,6,29,7,16,7,13,28,16,15,15,8,15,18,31,27,30,30
acceptance,31,8,5,3,6,2,1,18,7,2,1,1,6,2,5,16,8,11,16,49,15
accepted,40,21,31,11,16,23,15,19,3,16,9,22,44,20,19,41,39,51,53,73,82
accepting,18,17,37,8,5,2,4,8,2,4,4,11,10,3,14,10,12,8,20,7,13
accepts,52,25,47,27,29,45,20,36,24,34,26,40,53,39,25,122,171,114,434,198,161
access,463,198,265,319,148,353,176,252,148,249,175,296,222,246,288,329,581,483,819,676,785
accessed,54,21,40,17,8,27,10,24,16,20,22,13,21,13,29,44,37,62,38,42,50
accessible,45,6,25,28,10,22,7,11,13,6,1,11,7,5,29,14,8,13,15,29,37
accessories,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accident,3,7,7,4,2,4,2,7,3,1,0,3,3,0,1,2,4,4,2,5,2
accidental,6,9,3,8,4,8,8,2,3,4,7,4,14,8,0,9,1,5,11,5,8
