Skipped LLM_code/arxiv_dataset/2020/Q1/SynSeg-Net/torchsrc/ext/fcn.berkeleyvision.org/surgery.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q1/SynSeg-Net/torchsrc/ext/fcn.berkeleyvision.org/score.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 33)
Skipped LLM_code/arxiv_dataset/2020/Q1/DeepTract/config.py: invalid syntax (<unknown>, line 24)
Skipped LLM_code/arxiv_dataset/2020/Q1/qSGD/cifar10_WideResNet/cifar.py: invalid syntax (<unknown>, line 246)
Skipped LLM_code/arxiv_dataset/2020/Q1/core-bitcoin-net-simulator/localtestnet.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 129)
Skipped LLM_code/arxiv_dataset/2020/Q1/core-bitcoin-net-simulator/stopminers.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 14)
Skipped LLM_code/arxiv_dataset/2020/Q1/core-bitcoin-net-simulator/bitcoin/qa/rpc-tests/keypool.py: multiple exception types must be parenthesized (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2020/Q1/core-bitcoin-net-simulator/bitcoin/qa/rpc-tests/wallet.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2020/Q1/core-bitcoin-net-simulator/bitcoin/qa/rpc-tests/reindex.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2020/Q1/core-bitcoin-net-simulator/bitcoin/qa/rpc-tests/invalidateblock.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 29)
Skipped LLM_code/arxiv_dataset/2020/Q1/core-bitcoin-net-simulator/bitcoin/qa/rpc-tests/getblocktemplate_longpoll.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 53)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/main.py: invalid syntax (<unknown>, line 218)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/differential_privacy/privacy_accountant/python/gaussian_moments.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 111)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/differential_privacy/multiple_teachers/analysis.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 142)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/namignizer/names.py: expected an indented block after 'if' statement on line 256 (<unknown>, line 262)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/text2bin.py: multiple exception types must be parenthesized (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/nearest.py: multiple exception types must be parenthesized (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/wordsim.py: multiple exception types must be parenthesized (<unknown>, line 45)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/swivel.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 166)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/swivel/prep.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 121)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/data_utils.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 539)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/wiki_data.py: invalid syntax (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/neural_programmer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 116)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 548)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_programmer/parameters.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 62)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/compression/encoder.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/compression/decoder.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 70)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/compression/msssim.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 194)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/street/python/vgsl_model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 173)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/video_prediction/prediction_train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 186)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/syntaxnet/syntaxnet/conll2tree.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 91)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/neural_gpu/neural_gpu_trainer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 444)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/im2txt/im2txt/evaluate.py: multiple exception types must be parenthesized (<unknown>, line 146)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/autoencoder/MaskingNoiseAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/autoencoder/AdditiveGaussianNoiseAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/autoencoder/VariationalAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 50)
Skipped LLM_code/arxiv_dataset/2020/Q1/GSM/model_zoo/models/autoencoder/AutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 47)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/setup.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/eval_lm.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/generate.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/preprocess.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/score.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/bert-nmt/fairseq_cli/interactive.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q1/Trained-Rank-Pruning/cifar-nuclear-regularization.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 212)
Skipped LLM_code/arxiv_dataset/2020/Q1/Trained-Rank-Pruning/cifar-TRP.py: invalid syntax (<unknown>, line 529)
Skipped LLM_code/arxiv_dataset/2020/Q1/ClinicalNotesICU/config.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2020/Q1/X-Temporal/x_temporal/interface/temporal_helper.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 361)
Skipped LLM_code/arxiv_dataset/2020/Q1/teachDeepRL/teachDRL/spinup/utils/test_policy.py: invalid syntax (<unknown>, line 6)
Skipped LLM_code/arxiv_dataset/2020/Q1/teachDeepRL/teachDRL/spinup/examples/bench_ppo_cartpole.py: invalid syntax (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q1/teachDeepRL/teachDRL/spinup/exercises/problem_set_1/exercise1_2.py: invalid syntax (<unknown>, line 94)
Skipped LLM_code/arxiv_dataset/2020/Q1/teachDeepRL/teachDRL/spinup/exercises/problem_set_2/exercise2_2.py: invalid syntax (<unknown>, line 3)
Skipped LLM_code/arxiv_dataset/2020/Q1/FADNet/detecter.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 113)
Skipped LLM_code/arxiv_dataset/2020/Q1/FADNet/kitti_finetune.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 189)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/ReferenceFrames/ThAr_ReferenceLines/thar_update_ManualCheck.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 73)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/ReferenceFrames/ThAr_ReferenceLines/thar_update.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 183)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/ReferenceFrames/ThAr_ReferenceLines/thar_compare.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 28)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/ReferenceFrames/ThAr_ReferenceLines/thar_update_ceres.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 178)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Continuum/contest.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 117)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Continuum/continuum.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 301)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/GLOBALutils/GLOBALutils.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/SSEphem/update_ssephem.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/correlation.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 303)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/anchos.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 84)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/correlation2.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 310)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/all.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q1/cafextractor/utils/Correlation/vels.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 4)
