Variable Name,Frequency
x,16713
out,7820
model,6690
data,6164
result,5274
output,4970
loss,4175
y,3749
img,3725
args,3315
outputs,3267
parser,2922
name,2907
s,2726
mask,2636
path,2561
optimizer,2515
logger,2314
n,2144
labels,2005
m,1874
dataset,1835
ret,1810
w,1726
batch_size,1721
__all__,1672
p,1652
scores,1598
image,1553
f,1511
h,1476
res,1457
b,1425
d,1404
v,1399
value,1388
inputs,1386
a,1379
i,1368
t,1361
net,1360
c,1352
r,1349
results,1321
device,1299
label,1296
target,1287
text,1241
idx,1193
line,1150
url,1136
k,1129
data_root,1118
optimizer_config,1117
start,1116
train_cfg,1113
msg,1112
dataset_type,1111
log_level,1085
load_from,1074
checkpoint_config,1066
total_epochs,1066
workflow,1066
log_config,1065
dist_params,1065
resume_from,1065
lr_config,1064
config,1057
test_cfg,1053
work_dir,1052
img_norm_cfg,1039
logits,1010
end,985
indices,973
test_pipeline,948
z,943
train_pipeline,939
params,935
X,925
mod,915
filename,902
key,898
bboxes,897
x1,891
features,873
weight,860
scale,846
version,837
residual,828
input,810
A,797
hidden_states,797
weights,780
index,778
state,775
offset,768
dist,763
lines,758
pred,757
images,756
losses,751
score,743
size,740
func,720
alpha,720
evaluation,710
tmp,705
shape,696
tokens,696
x2,695
batch,693
y1,674
values,656
bbox,654
g,653
layers,645
l,640
nin,633
B,630
buf,615
cfg,608
obj,603
opt,603
mean,601
prefix,597
input_ids,597
lr,589
im,567
checkpoint,560
parts,553
preds,551
outs,549
match,549
inds,541
rois,540
root,535
num_classes,533
proposals,532
head_mask,526
downsample,512
dtype,510
N,506
y2,505
env,503
input_shape,496
C,488
xs,484
temp,483
tokenizer,483
ctx,480
node,478
predictions,474
u,473
val,471
imgs,470
files,468
std,467
padding,464
other,464
stride,459
width,457
suffix,457
scheduler,454
context,450
boxes,448
encoding,448
df,445
diff,442
targets,442
output_dir,433
pos_inds,433
mask_feats,432
learning_rate,430
masks,429
length,426
info,423
q,422
item,419
mode,417
count,415
points,415
kernel,413
state_dict,412
cmd,411
gt_bboxes,409
tensor,408
scale_factor,407
kwargs,404
req,404
M,401
stream,401
start_time,397
pos,389
proposal_list,387
in_channels,384
order,383
expansion,383
ax,382
bbox_pred,382
mask_pred,379
keep,374
layer_keys,374
body,373
height,373
headers,372
token_type_ids,371
module,369
fn,369
j,369
bias,367
R,367
train_loader,365
criterion,365
step,363
attention_mask,361
anchors,360
names,356
fig,356
metadata,355
noise,351
attn,346
handle,344
conv,343
__version__,342
correct,340
gt,338
loss_fct,337
samples,334
fp,334
sigma,332
keys,331
loc,328
num,325
response,325
img_shape,325
summary,324
acc,322
total_loss,321
rs,321
message,318
examples,317
var,316
layer,315
typ,315
position_ids,315
W,313
config_and_inputs,313
sample,311
ys,311
train_dataset,310
flags,310
base,309
ious,308
Y,307
T,307
assign_result,304
content,303
identity,303
dt,302
action,302
input_mask,302
query,302
fname,301
anno,301
scheme,301
probs,297
cls_score,297
network,296
conn,295
data_dir,295
_,293
beta,293
token,292
delta,290
timeout,288
