Word,Frequency
the,303510
of,164757
to,131326
a,103311
for,89108
in,81347
and,78794
is,73437
if,43419
this,40177
with,38879
tensor,38079
x,35290
be,35047
list,34466
or,33876
model,32388
args,31640
from,31428
returns,27701
shape,26723
int,26012
each,25656
default,24819
image,24614
that,24410
n,23353
param,23141
as,23073
are,22993
data,22672
on,22165
self,21850
by,21508
torch,20758
input,20689
number,20586
not,20236
all,19251
size,18890
optional,18667
license,18387
return,18217
an,17722
it,17065
true,17027
class,16897
file,16741
we,16529
c,16505
float,16496
output,16423
dict,16207
str,16171
used,16150
batch,15952
s,15857
use,15565
i,15513
will,14942
set,14895
loss,14834
none,14781
dataset,14781
parameters,14422
print,14090
b,13992
training,13784
function,13684
t,13008
bool,12272
w,12201
layer,12132
h,11727
source,11633
can,11440
which,11178
at,11058
e,10693
only,10558
https,10540
get,10185
value,10124
k,10090
one,9868
tuple,9856
when,9273
test,9170
config,9165
compute,8937
path,8921
name,8796
under,8783
sequence,8647
target,8512
false,8398
np,8396
should,8372
values,8309
module,8247
obj,8240
given,8211
array,8149
images,7910
same,7855
first,7831
copyright,7826
index,7724
add,7695
weights,7659
g,7631
see,7564
mask,7550
type,7522
load,7502
you,7481
feature,7238
arguments,7212
its,7176
length,7159
dictionary,7128
using,7123
object,7108
whether,7100
time,7089
org,7059
numpy,7043
code,7013
y,6981
into,6939
train,6806
where,6796
directory,6748
labels,6679
matrix,6632
have,6590
method,6504
attention,6487
sample,6436
scale,6189
has,6154
no,6149
outputs,6136
d,6020
features,6018
any,5996
format,5878
tokens,5870
level,5823
string,5800
state,5757
py,5750
box,5729
single,5689
results,5674
root,5638
m,5605
label,5599
ndarray,5583
layers,5574
boxes,5566
then,5545
token,5506
samples,5505
com,5499
weight,5465
forward,5423
random,5370
models,5341
note,5318
after,5253
dim,5244
learning,5243
network,5218
r,5190
nn,5189
create,5177
licensed,5165
mean,5141
new,5131
encoder,5129
original,5088
based,5064
split,5036
channels,5015
between,4989
map,4988
but,4981
save,4971
may,4947
specific,4893
pytorch,4851
tree,4826
indices,4813
inputs,4711
so,4690
step,4685
len,4684
base,4643
inc,4611
range,4579
f,4574
update,4572
log,4557
max,4557
instance,4556
per,4527
found,4520
p,4510
head,4509
distributed,4479
arxiv,4477
example,4428
key,4383
current,4378
optimizer,4374
check,4365
last,4285
github,4282
convert,4274
points,4269
lr,4260
version,4258
different,4249
do,4226
block,4194
scores,4194
two,4194
sentence,4187
end,4159
order,4136
mode,4136
defaults,4121
rate,4109
without,4068
facebook,4065
decoder,4058
dimension,4047
id,4035
contains,3999
affiliates,3999
over,3998
padding,3977
tf,3957
abs,3922
parameter,3893
truth,3875
other,3864
device,3829
must,3821
than,3816
z,3804
mit,3803
average,3789
corresponding,3761
configuration,3761
containing,3756
make,3736
run,3730
ground,3669
epoch,3667
specified,3665
out,3650
width,3643
case,3632
bbox,3623
more,3617
files,3605
embedding,3598
maximum,3588
linear,3547
classes,3543
language,3523
need,3518
graph,3516
some,3508
todo,3504
point,3502
also,3495
j,3495
prediction,3469
keys,3467
gradient,3464
import,3459
copy,3450
before,3449
pre,3435
returned,3399
generate,3395
spatial,3393
score,3362
text,3329
here,3327
start,3319
either,3318
transform,3310
classification,3299
build,3296
sum,3294
vector,3280
conv,3276
up,3272
evaluation,3266
position,3265
initialize,3229
floattensor,3207
height,3189
top,3188
non,3177
channel,3168
multiple,3164
python,3156
bs,3155
implementation,3147
result,3144
pdf,3143
convolution,3118
embeddings,3083
apply,3080
during,3073
distance,3070
left,3067
task,3058
os,3052
system,3048
following,3038
checkpoint,3037
process,3028
provided,3019
v,3012
alpha,3008
bboxes,2993
there,2983
information,2979
depth,2965
right,2927
gt,2922
line,2922
hidden,2906
l,2904
required,2893
initial,2887
like,2886
factor,2872
resnet,2868
tensors,2865
predictions,2853
these,2842
examples,2828
word,2807
bounding,2804
calculate,2749
frame,2731
elements,2709
append,2680
otherwise,2674
stride,2671
trained,2643
positive,2642
probability,2632
software,2613
beta,2612
apache,2601
targets,2600
reference,2582
center,2578
masks,2570
math,2567
json,2561
else,2558
options,2555
axis,2548
paper,2548
activation,2545
datasets,2544
workers,2543
params,2536
remove,2535
longtensor,2530
pretrained,2524
txt,2510
pass,2502
bias,2490
variable,2483
norm,2480
fairseq,2460
states,2457
opt,2451
ids,2434
http,2422
info,2412
tokenizer,2406
computes,2393
