Skipped LLM_code/arxiv_dataset/2021/Q3/Talk-to-Edit/models/archs/stylegan2/convert_weight.py: invalid syntax (<unknown>, line 249)
Skipped LLM_code/arxiv_dataset/2021/Q3/deep-video-mvs/dataset/scannet-export/scannet-export.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 165)
Skipped LLM_code/arxiv_dataset/2021/Q3/one_layer_lottery_ticket/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q3/2DAE/MNIST_model.py: unmatched ')' (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2021/Q3/DGCN-for-image-captioning/DGCN-Eva Part/__init__.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2021/Q3/DGCN-for-image-captioning/DGCN-Eva Part/bleu/bleu.py: '[' was never closed (<unknown>, line 30)
Skipped LLM_code/arxiv_dataset/2021/Q3/DGCN-for-image-captioning/DGCN generated/transformer/utils.py: expected an indented block after function definition on line 14 (<unknown>, line 15)
Skipped LLM_code/arxiv_dataset/2021/Q3/segtran/code/networks/aj_i3d/toy.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q3/granite/scripts/eval_full/evaluate_ate_scale.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 206)
Skipped LLM_code/arxiv_dataset/2021/Q3/DecentralizedFL/MNIST_DFL_splitData_copypaste.py: expected 'except' or 'finally' block (<unknown>, line 290)
Skipped LLM_code/arxiv_dataset/2021/Q3/GD-VCR/generate_tsv_gt.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 507)
Skipped LLM_code/arxiv_dataset/2021/Q3/GD-VCR/generate_tsv.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 425)
Skipped LLM_code/arxiv_dataset/2021/Q3/SGLKT-VisDial/visdialch/utils/connection_counter.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2021/Q3/LTVRR/lib/modeling/reldn_heads_fc.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 119)
Skipped LLM_code/arxiv_dataset/2021/Q3/LTVRR/lib/modeling/model_builder_fc.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 502)
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/faster-rcnn/utils/.___init__.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/faster-rcnn/utils/._filter_annotations.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/faster-rcnn/utils/._trainer.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/faster-rcnn/utils/._utils.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/faster-rcnn/utils/._create_classes_list.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/faster-rcnn/utils/._detection2accuracy.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/faster-rcnn/utils/._visualize_evaluation.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/faster-rcnn/utils/._merge_annotations.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/densenet/unit_tests/._metric_tests.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/densenet/utils/._metrics.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/Cut-Paste/training-code/densenet/utils/._dataset.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q3/WhenPigsFlyContext/human/expGravity/custom.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 61)
Skipped LLM_code/arxiv_dataset/2021/Q3/nope/InferSent/encoder/models.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q3/nope/archive/mturk_files/mturk-run_07_judgment_reannotations3.py: unexpected indent (<unknown>, line 137)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/differential_privacy/privacy_accountant/python/gaussian_moments.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 111)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/differential_privacy/multiple_teachers/analysis.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 142)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/namignizer/names.py: expected an indented block after 'if' statement on line 256 (<unknown>, line 262)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/swivel/text2bin.py: multiple exception types must be parenthesized (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/swivel/nearest.py: multiple exception types must be parenthesized (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/swivel/wordsim.py: multiple exception types must be parenthesized (<unknown>, line 45)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/swivel/swivel.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 166)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/swivel/prep.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 121)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/neural_programmer/data_utils.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 539)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/neural_programmer/wiki_data.py: invalid syntax (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/neural_programmer/neural_programmer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 116)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/neural_programmer/model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 548)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/neural_programmer/parameters.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 62)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/compression/encoder.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/compression/decoder.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 70)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/compression/msssim.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 194)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/street/python/vgsl_model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 173)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/video_prediction/prediction_train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 186)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/syntaxnet/syntaxnet/conll2tree.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 91)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/neural_gpu/neural_gpu_trainer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 444)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/im2txt/im2txt/evaluate.py: multiple exception types must be parenthesized (<unknown>, line 146)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/autoencoder/MaskingNoiseAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/autoencoder/AdditiveGaussianNoiseAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/autoencoder/VariationalAutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 50)
Skipped LLM_code/arxiv_dataset/2021/Q3/SAKDN/tf_model_zoo/tf_model_zoo/models/autoencoder/AutoencoderRunner.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 47)
Skipped LLM_code/arxiv_dataset/2021/Q3/repose/lib/utils/meshrenderer/scenerenderer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 50)
Skipped LLM_code/arxiv_dataset/2021/Q3/repose/lib/utils/meshrenderer/box3d_renderer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 56)
Skipped LLM_code/arxiv_dataset/2021/Q3/BSP-NET-original/evaluation/eval_bspnet_pc.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 78)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/pretrain.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/data.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/main.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/loss.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/stream_train_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 172)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 39)
Skipped LLM_code/arxiv_dataset/2021/Q3/SA-ConvONet/scripts/dataset_matterport/build_dataset.py: closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2021/Q3/OQA/model_zoo.py: unindent does not match any outer indentation level (<unknown>, line 203)
Skipped LLM_code/arxiv_dataset/2021/Q3/NMC/data_preprocessing/remove_bad.py: expected ':' (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2021/Q3/alignps/tools/run_train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q3/OneNet/tools/plain_train_net.py: invalid decimal literal (<unknown>, line 225)
Skipped LLM_code/arxiv_dataset/2021/Q3/OneNet/tools/benchmark.py: invalid decimal literal (<unknown>, line 98)
