Function Name,Frequency
__init__,30515
forward,14680
__call__,2461
main,1866
__len__,1636
__getitem__,1563
from_pretrained,1452
call,1317
__repr__,929
train,694
setUp,580
step,579
update,576
init_weights,570
reset,555
backward,542
run,504
parse_args,420
__iter__,407
evaluate,386
__str__,362
_init_weights,352
reset_parameters,337
Model,334
build,325
_make_layer,308
get_input_embeddings,308
compute,304
add_args,301
get_output_embeddings,300
Loss,278
normalize_input,274
prepare_mean_std,273
normalize_target,273
denormalize_output,273
setup,272
test,272
_get_target,261
build_model,258
_compute_score,244
decode,243
set_input_embeddings,243
_compute_embedding,241
_front_end,240
Bottleneck,235
loss,227
protocol_parse,221
encode,220
extra_repr,220
BasicBlock,219
save,204
sample,183
load_state_dict,182
prepare_config_and_inputs,179
_prune_heads,178
prepare_config_and_inputs_for_common,175
close,174
test_config,170
predict,169
ResNet,168
conv3x3,167
save_checkpoint,167
get,167
load,157
render,155
save_vocabulary,150
__getattr__,148
state_dict,147
prune_heads,145
__setstate__,144
initialize,143
max_positions,141
size,141
prepare_inputs_for_generation,141
forward_features,139
from_config,135
process,134
forward_train,134
vocab_size,133
serving_output,133
generate,132
test_model_from_pretrained,132
get_labels,131
tearDown,130
__exit__,126
__getstate__,126
fit,126
build_inputs_with_special_tokens,125
get_classifier,124
load_dataset,123
_tokenize,123
__enter__,121
load_data,120
get_config,120
reset_classifier,119
inference,118
get_loss,118
__del__,117
collater,117
get_lr,116
transform,116
_convert_id_to_token,116
AverageMeter,115
validate,115
get_message,111
_convert_token_to_id,111
convert_tokens_to_string,111
log,107
get_train_examples,106
get_dev_examples,106
get_special_tokens_mask,105
get_model,104
compute_loss,104
seed,103
set_output_embeddings,103
transpose_for_scores,102
get_vocab,101
get_test_examples,101
extract_features,100
dummy_inputs,100
create_token_type_ids_from_sequences,100
Config,99
Trainer,98
Block,98
accuracy,98
add,97
_cfg,95
simple_test,95
num_tokens,94
get_parser,91
normalize,91
_init_layers,89
get_params,88
Attention,87
get_args,87
name,87
set_epoch,86
training_step,86
on_epoch_end,86
target_dictionary,85
_create_examples,85
tokenize,84
save_model,84
aug_test,84
train_step,83
get_encoder,83
set_seed,83
get_examples,83
_reorder_cache,83
no_weight_decay,82
conv1x1,81
write,81
to,80
setup_task,80
get_dataset,80
get_targets,79
eval,79
forward_single,79
ordered_indices,78
__eq__,78
init,77
resnet50,77
extract_feat,77
Mlp,76
get_bboxes,76
get_decoder,75
supports_prefetch,74
collate_fn,74
message,74
source_dictionary,73
prefetch,72
adjust_learning_rate,72
get_image,72
TrainableLinearFb,72
upgrade_state_dict_named,71
_get_module,71
compute_metrics,71
flops,71
test_full_tokenizer,71
compute_output_shape,71
_get_obs,71
__post_init__,70
load_model,70
resnet18,70
print,69
get_world_size,68
_LazyModule,68
get_rank,67
wrapper,66
start,66
Encoder,66
synchronize_between_processes,65
reorder_encoder_out,65
_forward,65
reduce_metrics,65
get_tokenizer,65
convert,64
get_input_output_texts,64
num_attention_heads,64
search_forward,64
basic_forward,64
load_checkpoint,62
cli_main,62
download,62
parse,61
create_custom_forward,61
custom_forward,61
shape,61
train_model,61
get_flops,60
mkdir,60
get_transform,60
hidden_size,60
ConvBNReLU,59
resize,59
load_image,59
MLP,59
avg,58
sizes,58
__next__,58
Dataset,58
create_model,58
ModelArguments,58
configure_optimizers,57
_reset_parameters,57
test_for_masked_lm,57
get_example_from_tensor_dict,57
reset_model,57
get_range,57
build_encoder,56
test_model,56
Identity,56
_resize_token_embeddings,56
validation_step,55
base_architecture,55
preprocess,55
build_decoder,54
get_normalized_probs,54
clear,54
func,54
load_annotations,54
DataTrainingArguments,54
_inner_forward,54
train_one_epoch,53
gelu,53
get_dataloader,53
optimize_parameters,53
test_for_sequence_classification,53
test_for_token_classification,53
copy,52
device,52
f,52
test_for_question_answering,52
save_pretrained,52
__setattr__,51
model,51
get_embedding,51
ToTensor,51
Logger,51
crop,51
to_dict,51
query,51
get_weights,51
build_dataset,50
value,50
make_dataset,50
to_tensor,50
forward_test,50
test_for_multiple_choice,50
plot,50
resnet101,50
Linear,49
initModel,49
is_main_process,48
reorder_incremental_state,48
setUpClass,48
main_worker,48
observation,48
_evaluate,48
get_pairs,47
num_hidden_layers,47
display,47
norm1,47
forward_dummy,47
PatchEmbed,46
next,46
forward_decoder,46
inverse,46
optimizer_config,46
resnet34,46
bpe,45
Normalize,45
Transformer,45
get_data,45
modify_commandline_options,45
_freeze_stages,45
viewer_setup,45
pad,44
extract,44
create_and_check_model,44
prepare_data,44
ResNetBasicblock,44
logging_outputs_can_be_summed,43
flush,43
_init_weight,43
str2bool,43
create,42
score,42
LayerNorm,42
Discriminator,42
worker_init_fn,42
_forward_impl,42
get_templates,42
median,41
Generator,41
visualize,41
lr_lambda,41
_check_input_dim,41
update_learning_rate,41
resnet152,41
test_forward,40
on_train_begin,40
make_res_layer,40
trainModel,40
SmoothedValue,39
global_avg,39
build_optimizer,39
build_embedding,39
get_logger,39
Decoder,39
load_json,39
_mp_fn,39
Compose,39
status_code,39
predictForRanking,39
step_update,38
aggregate_logging_outputs,38
collate,38
merge,38
prepare,38
to_json_string,38
evaluation,38
test_step,37
train_dataloader,37
assign,37
register,37
Upsample,37
MetricLogger,36
zero_grad,36
Embedding,36
compute_score,36
build_dataset_for_inference,36
load_config,36
preprocess_image,36
count_parameters,36
drop_path,36
_shape,36
test_model_common_attributes,36
