File Name,Frequency
__init__,3970
utils,680
train,282
setup,203
test,198
main,164
config,156
builder,154
model,148
base,142
dataset,131
misc,120
transforms,108
resnet,102
logger,100
loss,100
util,97
metrics,95
transformer,78
build,74
inference,72
models,69
evaluate,65
trainer,64
losses,63
conf,59
run,58
data,52
common,51
eval,48
version,42
attention,40
preprocess,39
layers,38
datasets,37
default_runtime,35
evaluation,35
predict,35
checkpoint,35
data_utils,34
registry,34
backbone,33
dataloader,32
demo,31
cityscapes,30
collect_env,29
engine,29
visualizer,29
benchmark,28
modules,28
loading,27
sampler,27
evaluator,27
loader,26
stat,26
helpers,26
constants,26
accuracy,25
fpn,25
decoder,25
lr_scheduler,24
eval_hooks,24
distributed_sampler,23
distributed,23
image,23
analyze_logs,23
print_config,23
publish_model,23
dataset_wrappers,23
swin,23
mlp,23
optimizer,23
vit,23
formating,22
args,22
coco,22
compose,22
ema,22
encoder,22
base_model,22
data_utils_for_inference,22
data_utils_for_training,22
transform,21
vgg,21
pytorch2onnx,21
get_flops,21
focal_loss,21
visualize,21
test_utils,20
augmentation,20
io,20
client,20
prepare_data_csv,20
voc,19
hrnet,19
cross_entropy_loss,19
position_encoding,19
unet,19
tools,19
server,19
blocks,19
samplers,18
browse_dataset,18
positional_encoding,18
visualization,18
norm,18
net,18
schedule_2x,17
training,17
coco_panoptic,17
test_time_aug,17
res_layer,17
resnext,17
dist_utils,17
factory,17
defaults,17
matcher,17
base_dataset,16
classifier,16
networks,16
coco_instance,16
custom,16
dice_loss,16
setup_env,16
criterion,16
layer,16
preprocessing,16
predictor,16
plot,16
server_manager,16
client_manager,16
message_define,16
timer,15
resnest,15
mobilenet_v2,15
memory,15
wrappers,15
tokenizer,15
functional,15
scheduler,15
augmentations,15
download,15
parser,15
dataset_list,15
model_utils,14
wider_face,14
deepfashion,14
mask_rcnn_r50_fpn,14
eval_metric,14
regnet,14
layer_decay_optimizer_constructor,14
swin_transformer,14
nms,14
imagenet,14
const,14
app,14
train_utils,13
cascade_mask_rcnn_r50_fpn,13
regnet2mmdet,13
se_layer,13
inverted_residual,13
make_divisible,13
single_stage,13
class_names,13
vision_transformer,13
features,13
comm,13
template,13
metric,13
test_config,13
bert,13
env,13
hubconf,13
group_sampler,12
option,12
data_loader,12
detr,12
two_stage,12
anchor_generator,12
match_cost,12
test_misc,12
test_losses,12
options,12
weight_init,12
log,12
deform_conv,12
dataset_mapper,12
train_net,12
logging,12
convnext,12
prepare,12
schedule_1x,11
test_torchserver,11
pascal_voc,11
confusion_matrix,11
analyze_results,11
formatting,11
auto_augment,11
retinanet,11
merge_augs,11
test_necks,11
test_setup_env,11
_init_paths,11
sampling,11
vis,11
load_data,11
upfirdn2d,11
network,11
api,11
model_cfgs,11
generate,10
onnx2tensorrt,10
lvis,10
res2net,10
efficientnet,10
kd_loss,10
rpn,10
base_sampler,10
mean_ap,10
image_demo,10
pointnet2_utils,10
visual,10
parta2,10
h3dnet,10
votenet,10
activations,10
pos_embed,10
resnet18,10
letKD-2,10
letKD-1,10
Models,10
general,10
x3d,10
simclr,9
average_meter,9
agent,9
discriminator,9
schedule_20e,9
mse_loss,9
fast_rcnn,9
bbox_overlaps,9
test_forward,9
checkpoints,9
pointnet2_modules,9
decode_head,9
encoder_decoder,9
test_loading,9
test_transform,9
cifar,9
densenet,9
clip,9
module,9
data_util,9
tests,9
base_trainer,9
test_common,9
test_resnet,9
head,9
pascal_context,9
stare,9
drive,9
chase_db1,9
hrf,9
mae,9
byol,9
mixup,9
cifar10,9
box_ops,9
vis_utils,9
load_model,9
extract_features,9
renderer,9
arguments,8
seg_cosine_200e,8
cyclic_40e,8
seg_cosine_50e,8
cosine,8
schedule_3x,8
mmdet_schedule_1x,8
cyclic_20e,8
functions,8
coco_detection,8
coco_instance_semantic,8
download_dataset,8
xml_style,8
base_dense_head,8
yolo_head,8
bbox_head,8
hourglass,8
darknet,8
gaussian_focal_loss,8
iou_loss,8
smooth_l1_loss,8
cascade_rcnn,8
yolo,8
fcos,8
base_assigner,8
recall,8
structures,8
test_visualization,8
test_version,8
epoch_based_runner,8
segmentation,8
default,8
position_embedding,8
embedder,8
kitti_dataset,8
load,8
fuse_conv_bn,8
dgcnn,8
dla,8
plotting,8
analysis,8
graph,8
ssim_torch,8
linear,8
core,8
test_eval_hook,8
test_sampler,8
test_formatting,8
test_roi_extractor,8
test_position_encoding,8
webcam_demo,8
render,8
ensemble,8
convert,8
drop,8
random,8
conftest,8
resize,8
dist_util,8
mask,8
image_utils,8
builtin,8
test_mobilenet_v2,8
apps,8
plots,8
box_utils,8
plot_utils,8
magenta_chord_recognition,8
flac2wav,8
dataset_utils,8
opt,8
views,8
urls,8
cnn,8
lstm,8
seg_cosine_150e,7
training_loop,7
persistence,7
deformable_detr_r50_16x2_50e_coco,7
cityscapes_instance,7
lvis_v0.5_instance,7
voc0712,7
lvis_v1_instance,7
cityscapes_detection,7
faster_rcnn_r50_fpn,7
faster_rcnn_r50_fpn_2x_coco,7
detr_r50_8x2_150e_coco,7
test_robustness,7
coco_error_analysis,7
robustness_eval,7
detectron2pytorch,7
upgrade_model_version,7
openimages,7
panoptic_evaluation,7
instaboost,7
dense_test_mixins,7
anchor_free_head,7
ckpt_convert,7
gaussian_target,7
balanced_l1_loss,7
varifocal_loss,7
seesaw_loss,7
ae_loss,7
gfocal_loss,7
ghm_loss,7
pisa_loss,7
pixel_decoder,7
dropblock,7
channel_mapper,7
scnet,7
faster_rcnn,7
contextmanagers,7
profiling,7
util_mixins,7
point_generator,7
demodata,7
tblr_bbox_coder,7
delta_xywh_bbox_coder,7
pseudo_bbox_coder,7
yolo_bbox_coder,7
base_bbox_coder,7
bucketing_bbox_coder,7
legacy_delta_xywh_bbox_coder,7
