Skipped LLM_code/arxiv_dataset/2024/Q4/RobotDiffuse/datasets/data_pipeline/motion_planners/prm.py: Lambda expression parameters cannot be parenthesized (<unknown>, line 230)
Skipped LLM_code/arxiv_dataset/2024/Q4/ASB/pyopenagi/tools/imdb/top_series.py: invalid syntax (<unknown>, line 3)
Skipped LLM_code/arxiv_dataset/2024/Q4/ASB/pyopenagi/tools/meteosource_weather/find_place.py: f-string: unmatched '[' (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2024/Q4/FairLay-ML/fairlearn_exponentiated_gradient.py: invalid syntax (<unknown>, line 22)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/performance/monitor.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/performance/clients.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/performance/shifter.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 50)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/performance/setter.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 35)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/functional/advanced.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/functional/basic.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/functional/stats.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/functional/startup.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 14)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/functional/64bit.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/functional/expiry.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2024/Q4/CAMP/CAMPServer/tests/lib/memcache.py: multiple exception types must be parenthesized (<unknown>, line 366)
