Variable Name,Projects Count
x,460
parser,422
model,412
args,402
loss,379
data,352
y,327
output,327
out,310
batch_size,308
optimizer,296
mask,283
i,272
n,269
s,247
dataset,246
result,246
outputs,244
device,239
labels,238
h,231
idx,230
p,230
f,230
label,227
m,227
config,226
res,226
c,221
results,216
r,216
k,214
name,212
a,212
img,210
w,209
v,209
params,208
t,206
inputs,202
path,201
pred,200
d,198
start,197
index,193
filename,192
target,192
b,192
scores,180
indices,175
count,173
logger,172
lines,171
alpha,170
weights,170
end,168
batch,167
layers,167
lr,163
features,163
mean,161
z,159
score,156
line,154
value,153
logits,153
N,152
size,149
values,148
scale,148
l,147
state,144
image,143
checkpoint,142
j,141
losses,138
files,138
x1,137
key,136
x2,134
diff,134
__all__,134
train_loader,133
shape,133
start_time,132
text,130
offset,130
g,129
weight,129
num,127
fig,126
ret,126
std,124
scheduler,124
acc,123
width,123
tmp,122
X,122
preds,122
targets,122
images,121
tokens,121
df,121
correct,119
val,119
ax,119
state_dict,118
criterion,117
q,115
input,115
dist,113
writer,113
kwargs,111
total,110
pos,110
padding,109
length,109
train_dataset,108
u,106
residual,106
predictions,105
msg,104
temp,104
K,104
y1,103
num_classes,103
keys,103
delta,102
height,101
trainer,101
dim,101
eps,101
beta,100
step,100
probs,100
A,99
net,97
sample,97
prefix,95
C,94
model_name,93
words,92
epoch,91
tokenizer,91
T,91
precision,90
recall,90
test_loader,90
total_loss,90
names,90
expansion,90
root,89
samples,89
info,89
opt,89
tensor,89
e,89
prob,88
__version__,88
ind,88
metrics,87
ids,87
grad,87
M,87
theta,86
seed,85
norm,85
B,85
R,84
item,83
gamma,83
bias,83
pool,83
model_path,82
counter,82
stride,82
y2,81
save_path,81
_,81
downsample,81
file_name,81
file_path,81
stats,80
input_shape,80
classes,79
layer,79
fn,78
word,78
url,78
mode,77
output_dir,77
colors,77
cfg,77
noise,76
im,76
max_len,76
token,76
options,76
order,76
row,76
cls,75
dtype,75
bs,75
header,75
D,74
split,74
f1,74
imgs,74
W,74
mu,74
ratio,73
accuracy,73
rank,73
transform,73
vocab,72
pad,72
var,72
color,72
classname,72
block,71
embeddings,71
xs,71
t1,71
id,71
context,71
left,71
learning_rate,71
H,71
factor,71
masks,71
x0,71
valid,71
datasets,70
dx,70
test,69
version,69
fname,69
test_dataset,69
reader,68
tp,68
idxs,68
sigma,68
sampler,68
P,68
dataloader,68
gt,68
train,67
query,67
L,67
response,67
input_size,67
epochs,66
train_data,66
feat,66
img_path,65
embedding,65
module,65
metadata,65
source,65
Y,65
threshold,65
cnt,64
meta,64
paths,64
fp,63
obj,63
content,63
train_sampler,63
cols,62
models,62
points,62
lengths,62
summary,61
y_pred,61
data_loader,61
t2,61
inp,61
input_ids,61
file,61
right,61
cmd,60
match,60
prediction,60
rows,60
global_step,60
in_channels,60
defaults,60
train_loss,60
seq,59
grads,59
val_loader,59
ds,59
steps,59
kernel_size,59
base,59
area,59
parts,58
data_dir,58
test_data,58
dy,58
examples,57
blocks,57
ys,57
progress,57
extensions,57
encoder,57
src,57
bbox,57
radius,56
feature,56
log,56
attention_mask,56
G,56
kernel,56
frame,56
offsets,56
save_dir,56
center,56
union,55
feats,55
output_shape,55
groups,55
rng,55
inds,55
conv,55
suffix,55
iou,55
label_list,55
modules,55
param,55
parameters,54
step_size,54
loader,54
S,54
splits,54
log_probs,54
keep,53
denom,53
