Function Name,Projects Count
__init__,558
forward,453
__getitem__,362
__len__,361
main,327
train,304
__call__,235
update,189
reset,173
__repr__,166
evaluate,160
__iter__,142
test,140
_make_layer,129
run,129
step,128
BasicBlock,127
save,120
Bottleneck,118
__str__,117
ResNet,110
backward,108
save_checkpoint,102
AverageMeter,102
conv3x3,101
load,95
init_weights,84
parse_args,83
predict,82
Trainer,80
load_data,79
validate,77
reset_parameters,75
get,74
close,73
accuracy,71
eval,69
sample,69
normalize,68
__getattr__,68
add,67
encode,67
decode,63
__exit__,62
Logger,62
__enter__,61
conv1x1,60
load_model,60
load_state_dict,59
get_lr,59
get_model,56
__setstate__,56
initialize,55
resnet50,54
setup,54
write,52
transform,52
log,52
load_checkpoint,51
resnet18,51
save_model,48
wrapper,48
resnet101,47
resnet34,47
loss,47
__next__,45
tokenize,44
build_model,44
extra_repr,44
inference,43
__setitem__,43
Model,42
resnet152,42
set_seed,42
to,42
get_rank,42
get_world_size,42
Identity,41
parse,41
__del__,41
Dataset,40
state_dict,40
Compose,40
adjust_learning_rate,40
Normalize,39
__getstate__,38
__eq__,38
name,37
set_epoch,37
process,37
generate,37
_init_weights,37
make_dataset,37
Encoder,37
ToTensor,37
convert,36
MLP,36
mkdir,36
fit,36
resize,36
copy,36
pad,35
score,35
size,35
info,35
load_dataset,34
preprocess,34
start,34
softmax,34
build,33
Timer,33
Discriminator,33
create_model,32
get_logger,32
get_dataset,32
get_args,32
build_dataset,32
compute_loss,31
avg,31
train_step,31
to_dict,30
collate_fn,30
_resnet,29
all_gather,29
RandomCrop,29
get_data,29
model,29
register,29
extract_features,29
zero_grad,29
download,28
call,28
Attention,28
Decoder,28
setUp,28
train_epoch,28
get_loss,27
__contains__,27
get_optimizer,27
get_config,27
ResBlock,27
clear,27
get_params,27
cross_entropy,27
from_pretrained,26
VGG,26
mkdirs,26
init,26
value,26
f,26
resnext50_32x4d,25
render,25
read,25
InputExample,25
device,25
gelu,25
flush,25
setup_logger,25
plot,25
crop,25
build_backbone,25
str2bool,25
_forward,24
_initialize_weights,24
BaseDataset,24
save_image,24
synchronize,24
ConcatDataset,24
build_optimizer,24
resnext101_32x8d,23
conv2d,23
Transformer,23
LayerNorm,23
InputFeatures,23
Block,23
postprocess,23
weights_init,23
set_random_seed,23
FocalLoss,23
Generator,23
next,23
RandomHorizontalFlip,23
__setattr__,23
Resize,23
read_data,23
mask,23
print,23
_forward_impl,22
train_one_epoch,22
get_batch,22
load_vocab,22
shape,22
TransformerEncoderLayer,22
get_labels,22
flatten,22
Config,22
update_learning_rate,22
apply,22
ResNet50,22
__hash__,22
load_config,22
is_main_process,22
Linear,22
translate,22
Conv2d,21
collate,21
TransformerEncoder,21
default_loader,21
ResNet18,21
train_model,21
_make_stage,21
extract,21
stop,21
reduce_dict,21
get_parser,21
TransformerDecoder,21
TransformerDecoderLayer,21
dtype,20
decoder,20
training_step,20
get_pairs,20
keys,20
_save,20
conv,20
visualize,20
Evaluator,20
ResidualBlock,20
wide_resnet50_2,19
wide_resnet101_2,19
Net,19
