Word,2020_Q1,2020_Q2,2020_Q3,2020_Q4,2021_Q1,2021_Q2,2021_Q3,2021_Q4,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1
a,0.012114473482125456,0.015383771444409585,0.01509867914743099,0.012137932845622696,0.012967833876705442,0.012930886863154264,0.011584063301441513,0.013216997899499112,0.013068021977959777,0.011908672496789998,0.011777914181238228,0.012544942662038346,0.01200598931150284,0.012416835614877691,0.0110292143542838,0.012540014536133823,0.01229933197379015,0.012644562767187338,0.012283029751978087,0.011871431450506105,0.013071917686906147
aa,1.2260959684673929e-05,1.0105073516815805e-05,1.2744810656230302e-05,6.565382271206458e-06,2.674270310488726e-05,7.085741009080377e-06,1.5206521085163791e-05,1.3939975731769522e-05,4.301856760622615e-05,8.409337097212462e-06,2.7662240231294483e-05,1.7113433408446712e-05,1.7414921886967206e-05,1.2010536328783971e-05,1.1786846664911735e-05,2.614865858956656e-05,2.692917899779637e-05,1.3490051761328608e-05,2.0533208936309194e-05,1.40006329759856e-05,1.6803410093127224e-05
aaron,1.0970332349445094e-05,0.0,4.901850252396269e-06,0.0,5.942822912197168e-07,0.0,0.0,0.0,2.264135137169797e-06,0.0,0.0,0.0,3.554065691217797e-07,0.0,0.0,3.150440793923682e-07,4.5642676267451475e-07,3.372512940332152e-07,3.2083138962983115e-07,0.0,2.270731093665841e-07
ab,7.098450343758591e-06,1.924775907964915e-05,1.2254625630990673e-05,1.3495508001924386e-05,8.319952077076036e-06,3.6609661880248615e-05,6.347069670329235e-05,1.9642693076584326e-05,1.4150844607311233e-05,1.5767507057273366e-05,1.3354184939245612e-05,1.0745644233210726e-05,1.5993295610480085e-05,9.265270882204778e-06,1.04771970354771e-05,1.6382292128403146e-05,1.1867095829537383e-05,8.43128235083038e-06,1.0266604468154597e-05,1.915876091450661e-05,3.42880395143542e-05
abandon,6.453136676144174e-07,2.405969884956144e-06,4.90185025239627e-07,2.553204216580289e-06,1.1885645824394337e-06,5.904784174233648e-07,1.5867674175823087e-05,3.168176302674891e-06,1.1320675685848985e-06,0.0,3.815481411213032e-06,3.9798682345224915e-07,0.0,6.863163616447984e-07,3.2741240735865933e-06,1.4807071731441305e-05,4.5642676267451475e-07,3.372512940332152e-07,0.0,1.1053131296830735e-06,1.8165848749326727e-06
abandoned,0.0,9.623879539824575e-07,4.90185025239627e-07,2.1884607570688195e-06,5.942822912197168e-07,0.0,1.983459271977886e-06,0.0,5.660337842924493e-07,0.0,4.292416587614661e-06,3.9798682345224915e-07,0.0,0.0,1.3096496294346374e-06,0.0,0.0,3.372512940332152e-07,0.0,0.0,4.541462187331682e-07
abc,1.1615646017059511e-05,1.0105073516815805e-05,1.4705550757188808e-05,2.3343581408734074e-05,8.914234368295753e-06,3.779061871509535e-05,1.1900755631867315e-05,1.3939975731769522e-05,8.490506764386739e-06,8.409337097212462e-06,6.677092469622806e-06,5.969802351783737e-06,1.4927075903114748e-05,6.863163616447984e-06,5.1731160362668175e-05,1.1656630937517623e-05,1.2779949354886414e-05,1.1466543997129317e-05,6.737459182226454e-06,1.7685010074929177e-05,9.309997484029948e-06
abdomen,0.0,0.0,0.0,0.0,0.0,0.0,6.611530906592953e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdominal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76935176401629e-07,0.0,7.108131382435594e-07,6.863163616447984e-07,0.0,0.0,9.128535253490295e-07,6.745025880664304e-07,0.0,0.0,0.0
abilities,0.0,0.0,0.0,0.0,0.0,5.904784174233648e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.548248147173187e-07,3.150440793923682e-07,0.0,0.0,2.8874825066684803e-06,0.0,0.0
