file,800-1199_match_rate,800-1199_error_rate,1200-1599_match_rate,1200-1599_error_rate,1600-1999_match_rate,1600-1999_error_rate,2000+_match_rate,2000+_error_rate
Qwen_python_ans_match_report.csv,9.24%,17.39%,18.44%,23.12%,24.84%,34.28%,27.73%,33.61%
Qwen_python_ref_match_report.csv,9.24%,11.68%,11.43%,15.58%,16.67%,20.13%,19.33%,25.21%
Qwen_cpp_ans_match_report.csv,13.73%,19.95%,21.26%,22.43%,30.30%,35.90%,33.37%,44.85%
Qwen_cpp_ref_match_report.csv,9.33%,11.66%,12.85%,18.69%,27.15%,21.54%,38.29%,33.26%
Gemma_python_ans_match_report.csv,5.43%,10.60%,9.87%,18.44%,15.41%,20.13%,15.97%,26.89%
Gemma_python_ref_match_report.csv,6.25%,9.51%,11.17%,13.25%,20.44%,21.07%,20.17%,30.25%
Gemma_cpp_ans_match_report.csv,5.70%,12.95%,11.68%,17.06%,18.04%,18.21%,21.55%,25.29%
Gemma_cpp_ref_match_report.csv,8.03%,8.55%,12.62%,15.65%,27.15%,18.21%,33.37%,31.62%
Deepseek_python_ans_match_report.csv,5.43%,13.59%,15.32%,20.52%,23.90%,23.27%,17.65%,30.25%
Deepseek_python_ref_match_report.csv,5.43%,10.87%,12.73%,11.43%,18.55%,18.55%,22.69%,28.57%
Deepseek_cpp_ans_match_report.csv,11.92%,16.06%,20.56%,24.30%,33.27%,28.20%,35.48%,41.92%
Deepseek_cpp_ref_match_report.csv,10.88%,13.47%,20.79%,19.63%,32.92%,25.74%,43.79%,34.31%
GPT_python_ans_match_report.csv,6.25%,14.13%,22.34%,27.79%,35.22%,36.48%,40.34%,61.34%
GPT_python_ref_match_report.csv,7.07%,14.13%,13.51%,23.12%,27.04%,28.62%,26.89%,36.97%
GPT_cpp_ans_match_report.csv,13.21%,15.80%,27.57%,29.44%,45.18%,48.16%,50.00%,76.35%
GPT_cpp_ref_match_report.csv,8.03%,14.77%,14.95%,21.50%,32.05%,23.99%,45.55%,38.64%
Gemini_python_ans_match_report.csv,4.62%,10.33%,10.13%,14.81%,21.07%,19.50%,22.69%,24.37%
Gemini_python_ref_match_report.csv,5.98%,8.70%,10.65%,13.51%,19.50%,11.95%,17.65%,21.01%
Gemini_cpp_ans_match_report.csv,5.44%,10.36%,10.05%,16.12%,23.99%,20.32%,33.49%,30.91%
Gemini_cpp_ref_match_report.csv,6.48%,8.29%,11.92%,10.75%,26.44%,13.31%,33.02%,24.24%
Llama4_python_ans_match_report.csv,1.90%,11.96%,10.91%,14.29%,21.07%,16.67%,23.53%,27.73%
Llama4_python_ref_match_report.csv,4.08%,7.88%,9.35%,13.25%,14.47%,13.21%,17.65%,21.01%
Llama4_cpp_ans_match_report.csv,3.89%,12.69%,13.55%,14.72%,26.62%,17.69%,28.92%,36.89%
Llama4_cpp_ref_match_report.csv,6.22%,10.36%,12.15%,14.25%,27.15%,14.89%,34.89%,27.99%
