submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
15926,0.4606,0.7844,0.5078
55246,0.3165,0.5512,0.6049
19768,0.2993,0.5433,0.2158
75920,0.4446,1.0000,0.4446
19821,0.0352,0.2996,0.1494
1,0.3185,0.3417,0.9490
64080,0.2616,0.4313,0.5021
3,0.2668,0.7453,0.3980
108733,0.4575,0.5339,0.6091
112112,0.2652,0.3168,0.2890
101612,0.1980,0.5271,0.6757
47057,0.4669,0.9214,0.5204
69382,0.2908,0.5078,0.3300
43242,0.2587,0.7937,0.3796
45907,0.6128,0.7835,0.6420
55387,0.3174,0.9372,0.3297
133788,0.4095,0.4566,0.5471
75817,0.4865,0.7339,0.4704
129419,0.3772,0.7978,0.4673
118342,0.4826,0.5393,0.7282
147830,0.3636,0.3818,0.4267
96634,0.4545,0.6571,0.6186
156010,0.2880,0.3533,0.6220
185783,0.4616,0.8646,0.5339
161617,0.2707,0.9973,0.2714
112137,0.3486,0.5630,0.5939
118364,0.2997,0.3193,0.4773
118445,0.2104,0.3137,0.6111
192365,0.3718,0.3034,0.4516
192392,0.2024,0.2333,0.4692
200570,0.2987,0.3374,0.8899
200270,0.2615,0.3625,0.5687
148341,0.3392,0.5472,0.4421
192311,0.4262,0.2820,0.3319
210996,0.3651,0.2952,0.6642
112077,0.3929,0.4338,0.5634
211002,0.3211,0.4003,0.5551
218090,0.5156,0.6709,0.7249
224339,0.2199,0.2596,0.6653
143196,0.4560,1.0000,0.4560
224151,0.4118,0.4164,0.3745
200214,0.2094,0.6647,0.2955
178292,0.4174,0.9758,0.4278
239732,0.1306,0.1258,0.9786
244683,0.3768,0.5823,0.6638
178390,0.5442,0.5617,0.5880
258060,0.3579,0.2691,0.3554
249813,0.1711,0.2367,0.6797
258061,0.5822,0.5576,0.5622
272361,0.6762,1.0000,0.6762
297611,0.2742,0.2742,1.0000
200168,0.2338,0.3813,0.4238
297601,0.1984,0.1818,0.3685
303113,0.2119,0.3380,0.3328
224382,0.2291,0.7797,0.2107
307903,0.4803,0.5083,0.4314
285017,0.2370,0.3594,0.3574
258309,0.7145,0.8989,0.7916
244637,0.1689,0.9388,0.1822
224283,0.1363,0.1561,0.3903
307917,0.5516,0.7456,0.4446
307987,0.8690,0.8845,0.9782
308031,0.1360,0.2751,0.3653
315047,0.5028,0.5564,0.5560
303554,0.2624,0.4142,0.4242
308146,0.1381,0.0906,0.4834
293441,0.2885,0.9715,0.2637
249812,0.0702,0.1040,0.6060
308152,0.0615,0.0749,0.4869
337884,0.5030,0.7195,0.6635
