submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
126,0.3806,0.3806,0.5548
47,0.3809,0.3102,0.3794
13664,0.1725,0.2023,0.6702
13097,0.1987,0.9750,0.1820
20121,0.1030,0.3086,0.4536
19968,0.1796,0.2877,0.8313
20647,0.3877,0.3024,0.4294
30695,0.3700,0.3991,0.2390
32545,0.2450,0.2312,0.1160
33376,0.1219,0.1589,0.2832
27941,0.2234,0.2154,0.5401
33321,0.1034,0.3704,0.2423
45936,0.2297,0.1816,0.7226
39142,0.3873,0.5780,0.4824
52900,0.5347,0.2593,0.3562
46428,0.0482,0.2787,0.0940
55553,0.3871,0.5445,0.7912
52537,0.3542,0.8563,0.3560
59962,0.2731,0.7446,0.4277
65738,0.2758,0.5267,0.2266
60092,0.1507,0.9987,0.1453
65740,0.7361,0.9321,0.7897
65995,0.1804,0.4054,0.2479
73002,0.1286,0.1866,0.4330
92079,0.2616,0.9806,0.2728
73007,0.1550,0.5523,0.1517
92791,0.4525,0.9537,0.4273
99074,0.4567,1.0000,0.4567
73585,0.4554,0.4554,1.0000
92163,0.2763,0.3031,0.3442
105411,0.3454,1.0000,0.3454
79294,0.4419,0.6433,0.3585
99111,0.1911,0.3221,0.2932
112768,0.2829,0.8025,0.3525
105521,0.0752,0.0960,0.3677
92833,0.2205,0.7890,0.2932
112199,0.0829,0.2909,0.2301
119336,0.3090,0.8988,0.2982
118431,0.1574,0.1675,0.9395
132357,0.5448,0.6221,0.3924
119337,0.0938,0.1652,0.1466
132798,0.0533,0.0552,0.1570
103043,0.3173,0.6208,0.3727
125226,0.3039,0.3253,0.4871
134628,0.1983,0.1564,0.2698
145319,0.1213,0.7265,0.1669
138721,0.0519,0.0991,0.1085
152784,0.2155,0.2072,0.1635
119342,0.1626,0.8425,0.1756
159033,0.0875,0.3507,0.1874
159238,0.0973,0.1175,0.2622
146515,0.2991,0.4748,0.2393
148905,0.2236,0.3489,0.2570
159240,0.2681,0.7813,0.2397
171693,0.2109,1.0000,0.2109
172201,0.2384,0.5457,0.6156
162836,0.4255,0.7323,0.6142
178275,0.0839,0.0839,0.4973
162839,0.2356,0.9619,0.2270
178344,0.1147,0.3696,0.2625
154797,0.1270,0.3673,0.1308
184937,0.8597,0.9272,0.9394
186540,0.2677,0.6774,0.3439
185133,0.1184,0.7459,0.1060
192136,0.1303,0.1347,0.2852
191418,0.0979,0.2149,0.2643
200165,0.1702,0.1815,0.2459
199687,0.2069,0.7470,0.2699
211035,0.1572,0.2033,0.8225
200167,0.2114,0.2900,0.6889
218888,0.4307,0.7986,0.5296
211368,0.1335,0.1911,0.3703
211375,0.0562,0.1753,0.1731
220199,0.2795,0.3767,0.2168
224899,0.4411,1.0000,0.4411
195257,0.4235,0.5375,0.6188
188429,0.2048,0.2565,0.4132
225018,0.4087,0.4644,0.9809
219465,0.1139,0.1373,0.5145
230355,0.2884,0.8612,0.3113
231061,0.1721,0.2198,0.3047
226689,0.1253,0.6105,0.3792
