submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
19821,0.1208,0.1260,0.9727
19768,0.5350,0.6694,0.8504
11553,0.4551,1.0000,0.4551
15926,0.3653,1.0000,0.3653
11776,0.2491,0.9592,0.2608
11501,0.3237,0.2624,0.2575
3,0.2203,0.2416,0.9911
31543,0.3027,0.3414,0.4598
11549,0.3395,0.3647,0.5859
20122,0.4691,0.4724,0.7494
6,0.1922,0.2324,0.5856
31644,0.2009,0.2823,0.3732
16001,0.3291,1.0000,0.3291
35453,0.4376,0.3062,0.3862
31504,0.2446,0.6165,0.2120
19829,0.6796,1.0000,0.6796
17873,0.5672,1.0000,0.5672
45907,0.6336,0.6645,0.5758
35394,0.2798,0.5232,0.3539
35393,0.4111,0.9978,0.4184
87,0.6216,1.0000,0.6216
55503,0.2618,1.0000,0.2618
43241,0.3656,0.9996,0.3644
1,0.3274,1.0000,0.3274
55246,0.3107,1.0000,0.3107
45970,0.0816,0.3502,0.1149
47057,0.3972,0.5334,0.4401
43242,0.4973,0.9995,0.4972
56363,0.2965,0.4793,0.2948
43205,0.4398,1.0000,0.4398
69337,0.8180,0.5605,0.5642
31790,0.1884,1.0000,0.1884
75874,0.7375,0.5912,0.6835
55387,0.2790,1.0000,0.2790
55394,0.0471,1.0000,0.0471
69622,0.4499,0.6333,0.2695
55393,0.3039,1.0000,0.3039
75817,0.5585,0.4190,0.7609
56371,0.3135,0.2108,0.2964
55390,0.4715,1.0000,0.4715
64065,0.4186,1.0000,0.4186
46775,0.2481,1.0000,0.2481
76824,0.1792,1.0000,0.1792
84059,0.3242,0.3808,0.3671
55395,0.3604,0.4272,0.3244
55271,0.1246,1.0000,0.1246
96634,0.3740,0.5468,0.4668
91549,0.2566,1.0000,0.2566
69584,0.5696,0.9965,0.5626
56242,0.1990,1.0000,0.1990
91551,0.0944,1.0000,0.0944
83873,0.2653,0.8183,0.2848
69382,0.2577,1.0000,0.2577
108743,0.3966,0.3181,0.6620
101612,0.4593,0.4449,0.4094
112081,0.3189,0.3632,0.6973
108733,0.5343,0.4032,0.6839
84138,0.2967,1.0000,0.2967
112112,0.1735,1.0000,0.1735
118342,0.6745,0.5596,0.7271
96588,0.2948,1.0000,0.2948
101961,0.1796,1.0000,0.1796
101742,0.4645,0.3647,0.5176
119358,0.4546,0.9965,0.4620
98122,0.2004,1.0000,0.2004
133788,0.4240,1.0000,0.4240
109105,0.2360,0.9931,0.2388
129419,0.3984,0.3071,0.3497
101601,0.1824,1.0000,0.1824
112077,0.4686,1.0000,0.4686
112137,0.3272,0.9953,0.3658
133845,0.2219,0.2271,0.6172
112424,0.0853,1.0000,0.0853
143071,0.3092,0.3153,0.5070
118364,0.3624,1.0000,0.3624
135140,0.3881,0.5423,0.5758
143196,0.3297,0.4783,0.4982
129489,0.3606,0.6119,0.3712
118445,0.2433,1.0000,0.2433
147830,0.2372,0.4125,0.2106
147780,0.1487,0.1401,0.9456
147951,0.2673,0.2574,0.8335
148341,0.3897,0.5059,0.4765
156125,0.2868,1.0000,0.2868
156003,0.4740,0.5761,0.3685
162199,0.1696,0.2289,0.4102
134367,0.3502,1.0000,0.3502
156010,0.3354,1.0000,0.3354
143199,0.0464,1.0000,0.0464
143252,0.1910,0.9007,0.1910
174497,0.2539,0.5473,0.3656
161617,0.2414,0.4656,0.0958
129325,0.2971,1.0000,0.2971
156160,0.2772,1.0000,0.2772
168932,0.1012,0.6639,0.1258
156144,0.1646,0.0934,0.3203
161613,0.1973,0.2413,0.4502
168408,0.4214,1.0000,0.4214
148114,0.1424,0.9435,0.1424
174534,0.1455,1.0000,0.1455
178590,0.3956,1.0000,0.3956
175068,0.2170,0.2075,0.9924
161624,0.3230,1.0000,0.3230
169147,0.1749,0.3460,0.4116
178639,0.1936,0.3835,0.1702
185877,0.1536,1.0000,0.1536
168425,0.8296,0.9519,0.8401
185883,0.1499,0.9372,0.1924
175836,0.3388,1.0000,0.3388
164646,0.1941,1.0000,0.1941
192392,0.2297,0.2899,0.6174
192311,0.3433,1.0000,0.3433
174673,0.4817,1.0000,0.4817
200270,0.2756,0.2776,0.5511
178292,0.2562,1.0000,0.2562
178390,0.5127,1.0000,0.5127
192365,0.3579,1.0000,0.3579
