submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
126,0.3500,0.3889,0.6000
13097,0.3784,1.0000,0.3784
47,0.5357,0.8750,0.5333
19968,0.3023,0.3421,0.5217
20121,0.5333,1.0000,0.5333
20647,0.4250,0.4500,0.8696
32545,0.5172,0.6154,0.5556
30695,0.2923,1.0000,0.2923
45936,0.2973,0.3824,0.7500
27941,0.3077,0.3871,0.5135
33376,0.3519,0.2879,0.3846
39142,0.5714,1.0000,0.5714
33321,0.2381,1.0000,0.2381
46428,0.6111,1.0000,0.6111
55553,0.5833,1.0000,0.5833
65738,0.5862,0.9565,0.5667
52900,0.4194,0.4483,0.6800
59962,0.2542,1.0000,0.2542
52537,0.3939,1.0000,0.3939
65995,0.2500,1.0000,0.2500
60092,0.3256,0.6765,0.4500
65740,0.8571,1.0000,0.8571
79294,0.3514,1.0000,0.3514
73585,0.8333,1.0000,0.8333
73002,0.4651,0.4524,0.5385
92079,0.4667,0.8077,0.5000
73007,0.5484,1.0000,0.5484
99074,0.7000,1.0000,0.7000
92791,0.6190,1.0000,0.6190
92163,0.3462,0.8611,0.3830
92833,0.2537,1.0000,0.2537
99111,0.4286,1.0000,0.4286
105411,0.5714,1.0000,0.5714
112199,0.2708,0.2642,0.5000
112768,0.6364,1.0000,0.6364
105521,0.3659,0.7931,0.4444
103043,0.4127,1.0000,0.4127
118431,0.3529,0.2857,0.7143
132357,0.4839,1.0000,0.4839
119337,0.3542,0.3542,0.8462
119336,0.4237,1.0000,0.4237
125226,0.3968,1.0000,0.3968
132798,0.3438,0.5600,0.4000
134628,0.3288,0.4068,0.5769
119342,0.2800,1.0000,0.2800
138721,0.4706,0.7692,0.4375
152784,0.2564,0.3793,0.4167
145319,0.3333,0.4048,0.8000
159033,0.2115,0.4419,0.2895
159238,0.4474,0.6562,0.4545
146515,0.5000,1.0000,0.5000
159240,0.4468,1.0000,0.4468
162839,0.3133,0.5696,0.3068
154797,0.2826,1.0000,0.2826
172201,0.4583,0.6087,0.5000
171693,0.3235,1.0000,0.3235
178275,0.2059,0.4815,0.4516
178344,0.3256,1.0000,0.3256
186540,0.5357,1.0000,0.5357
162836,0.2976,0.3857,0.4824
185133,0.4390,0.4865,0.4500
191418,0.4118,0.7368,0.3846
192136,0.4375,1.0000,0.4375
