submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
47,0.3180,1.0000,0.3180
126,0.3062,1.0000,0.3062
2269,0.1085,1.0000,0.1085
6317,0.4502,0.9932,0.4819
6916,0.1336,1.0000,0.1336
13097,0.2244,0.9750,0.1941
13551,0.1135,1.0000,0.1135
13664,0.2505,1.0000,0.2505
19968,0.1484,0.8601,0.1726
20121,0.2030,1.0000,0.2030
20647,0.3946,0.9647,0.4421
27892,0.1764,1.0000,0.1764
27941,0.2172,1.0000,0.2172
30695,0.1155,0.9027,0.1494
32545,0.2125,1.0000,0.2125
33321,0.2134,1.0000,0.2134
33376,0.1419,0.2236,0.1739
39142,0.5251,1.0000,0.5251
42719,0.1701,1.0000,0.1701
45936,0.2177,0.2623,0.5103
46428,0.1078,1.0000,0.1078
52537,0.3101,0.6036,0.2179
52900,0.2597,0.2363,0.4811
55553,0.5156,1.0000,0.5156
59962,0.2826,1.0000,0.2826
60092,0.0503,0.2144,0.0602
65738,0.1824,1.0000,0.1824
65740,0.6245,1.0000,0.6245
65995,0.1494,0.1347,0.8671
73002,0.3300,0.7221,0.3562
73007,0.2470,0.9921,0.2581
73585,0.2524,1.0000,0.2524
79294,0.4366,1.0000,0.4366
80115,0.3371,0.9867,0.3413
90017,0.3141,0.5022,0.4847
92079,0.2186,0.9234,0.2155
92163,0.2603,1.0000,0.2603
92791,0.2900,1.0000,0.2900
92833,0.2004,0.2365,0.7031
99074,0.2860,1.0000,0.2860
99111,0.1906,1.0000,0.1906
103043,0.3194,1.0000,0.3194
105411,0.2778,1.0000,0.2778
105521,0.1144,0.9887,0.1318
112199,0.0862,1.0000,0.0862
112768,0.4080,1.0000,0.4080
118431,0.1735,0.1586,0.7167
119336,0.3890,1.0000,0.3890
119337,0.1668,1.0000,0.1668
119342,0.3003,0.0000,0.0000
125226,0.3097,0.9906,0.3046
132357,0.5075,1.0000,0.5075
132798,0.1535,0.3442,0.8785
134628,0.2282,0.2482,0.7624
138721,0.0751,0.0890,0.5728
140667,0.2805,0.9528,0.2806
145189,0.3109,1.0000,0.3109
145319,0.0801,0.8260,0.0931
146515,0.1576,1.0000,0.1576
147162,0.2048,0.5091,0.6861
148905,0.3136,0.9987,0.3227
152784,0.1090,0.2583,0.3659
153749,0.2472,0.3054,0.1856
154797,0.1934,0.2941,0.3949
159033,0.1329,0.0939,0.1219
159238,0.1165,1.0000,0.1165
159240,0.3140,0.4159,0.2589
162836,0.3714,1.0000,0.3714
162839,0.1806,0.1207,0.1763
167398,0.3485,1.0000,0.3485
169286,0.2045,1.0000,0.2045
171693,0.1455,0.9848,0.1386
172201,0.4111,0.6408,0.2892
174115,0.2135,1.0000,0.2135
178275,0.0890,0.1317,0.1793
178335,0.2023,1.0000,0.2023
178344,0.0843,1.0000,0.0843
184937,0.6346,1.0000,0.6346
185133,0.0847,0.0981,0.5268
186540,0.4433,1.0000,0.4433
188429,0.1332,1.0000,0.1332
191418,0.1748,0.1587,0.2004
192136,0.0614,1.0000,0.0614
195257,0.2648,0.9993,0.2638
199687,0.2284,0.4191,0.7571
200165,0.2933,1.0000,0.2933
200167,0.1736,0.9188,0.1918
205014,0.2519,0.9734,0.2317
211035,0.1529,0.6757,0.1945
211368,0.0782,0.0937,0.8345
211375,0.0358,0.2834,0.1479
218888,0.2706,0.7575,0.2262
219465,0.2012,1.0000,0.2012
220199,0.2835,1.0000,0.2835
220207,0.2395,1.0000,0.2395
222199,0.1962,1.0000,0.1962
224899,0.3247,1.0000,0.3247
225018,0.1611,0.4901,0.0920
226689,0.0960,1.0000,0.0960
230355,0.5114,0.8545,0.5985
231061,0.2339,1.0000,0.2339
231063,0.2774,0.3324,0.3113
234221,0.5170,1.0000,0.5170
236602,0.0438,0.0504,0.0575
236606,0.4101,1.0000,0.4101
236615,0.0325,0.0718,0.1037
243459,0.1610,1.0000,0.1610
246537,0.1597,0.1835,0.8702
246741,0.2500,0.1938,0.6966
249795,0.0182,0.3180,0.0572
249798,0.1338,1.0000,0.1338
249868,0.2211,1.0000,0.2211
251915,0.1886,1.0000,0.1886
256380,0.0654,1.0000,0.0654
256381,0.2717,1.0000,0.2717
256405,0.5757,0.8201,0.7113
262960,0.4911,0.3789,0.4623
269557,0.1442,0.4854,0.2195
269813,0.8851,1.0000,0.8851
270632,0.2127,0.2398,0.4689
276001,0.1130,1.0000,0.1130
276004,0.1639,0.8313,0.1241
277555,0.4629,1.0000,0.4629
282306,0.1623,0.2890,0.3673
282508,0.1206,1.0000,0.1206
282647,0.1369,0.6679,0.2049
290391,0.2295,1.0000,0.2295
291677,0.0731,0.0817,0.3921
294765,0.0855,0.9593,0.0768
294958,0.2964,0.8865,0.4087
